area,col,combined.core,combined.first3_step,draw,method,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,own.core,own.first3_step,section,set,state
LS1,7,007788,2,Draw1,A,0,1,0,1,6,3,Midday,Set3,Delaware4
LS1,7,0088,2,Draw1,B,0,0,0,0,67788,2,Midday,Set3,Delaware4
LS1,7,00,2,Draw1,C,0,0,0,0,77,2,Midday,Set3,Delaware4
LS1,7,0078,2,Draw1,D,0,0,0,0,0778,2,Midday,Set3,Delaware4
LS1,7,3788,4,Draw1,E,0,0,0,0,167,4,Midday,Set3,Delaware4
LS1,7,00,2,Draw1,T,0,1,0,0,677,2,Midday,Set3,Delaware4
LS1,6,007788,2,Draw1,A,0,1,0,1,6,3,Midday,Set3,Delaware4
LS1,6,0088,2,Draw1,B,0,0,0,0,67788,2,Midday,Set3,Delaware4
LS1,6,00,2,Draw1,C,0,0,0,0,77,2,Midday,Set3,Delaware4
LS1,6,0078,2,Draw1,D,0,0,0,0,0778,2,Midday,Set3,Delaware4
LS1,6,3788,4,Draw1,E,0,0,0,0,167,4,Midday,Set3,Delaware4
LS1,6,00,2,Draw1,T,0,1,0,0,677,2,Midday,Set3,Delaware4
LS1,5,00778,2,Draw1,A,0,1,0,1,6,3,Midday,Set3,Delaware4
LS1,5,008,2,Draw1,B,0,0,0,0,6778,2,Midday,Set3,Delaware4
LS1,5,00,2,Draw1,C,0,0,0,0,77,2,Midday,Set3,Delaware4
LS1,5,007,2,Draw1,D,0,0,0,0,077,2,Midday,Set3,Delaware4
LS1,5,0078,2,Draw1,E,0,0,0,1,67,3,Midday,Set3,Delaware4
LS1,5,00,2,Draw1,T,0,1,0,0,677,2,Midday,Set3,Delaware4
LS1,7,007788,3,Draw1,A,0,2,0,0,66,3,Midday,Set2,Delaware4
LS1,7,00588,2,Draw1,B,0,0,0,1,66,3,Midday,Set2,Delaware4
LS1,7,005,2,Draw1,C,0,0,0,0,77,2,Midday,Set2,Delaware4
LS1,7,078,3,Draw1,D,0,0,0,0,6,3,Midday,Set2,Delaware4
LS1,7,38,5,Draw1,E,0,0,0,0,166,5,Midday,Set2,Delaware4
LS1,7,005,2,Draw1,T,0,0,0,0,77,2,Midday,Set2,Delaware4
LS1,6,00778,3,Draw1,A,0,2,0,0,66,3,Midday,Set2,Delaware4
LS1,6,0058,2,Draw1,B,0,0,0,1,66,3,Midday,Set2,Delaware4
LS1,6,005,2,Draw1,C,0,0,0,0,77,2,Midday,Set2,Delaware4
LS1,6,0057,2,Draw1,D,0,0,0,0,0677,2,Midday,Set2,Delaware4
LS1,6,0078,3,Draw1,E,0,0,0,0,0667,3,Midday,Set2,Delaware4
LS1,6,005,2,Draw1,T,0,0,0,0,77,2,Midday,Set2,Delaware4
LS1,5,00778,3,Draw1,A,0,2,0,0,66,3,Midday,Set2,Delaware4
LS1,5,005,2,Draw1,B,0,0,0,0,006677,2,Midday,Set2,Delaware4
LS1,5,005,2,Draw1,C,0,0,0,0,77,2,Midday,Set2,Delaware4
LS1,5,0057,2,Draw1,D,0,0,0,0,0677,2,Midday,Set2,Delaware4
LS1,5,007,3,Draw1,E,0,0,0,1,006677,2,Midday,Set2,Delaware4
LS1,5,005,2,Draw1,T,0,0,0,0,77,2,Midday,Set2,Delaware4
LS1,7,00778,4,Draw1,A,0,2,0,1,466,3,Midday,Set1,Delaware4
LS1,7,00558,2,Draw1,B,0,0,0,1,66,3,Midday,Set1,Delaware4
LS1,7,0055,2,Draw1,C,0,0,0,0,77,2,Midday,Set1,Delaware4
LS1,7,00557,2,Draw1,D,0,0,0,0,0677,2,Midday,Set1,Delaware4
LS1,7,0078,4,Draw1,E,0,0,0,1,066,5,Midday,Set1,Delaware4
LS1,7,0055,2,Draw1,T,0,0,0,0,77,2,Midday,Set1,Delaware4
LS1,6,00778,3,Draw1,A,0,2,0,0,66,3,Midday,Set1,Delaware4
LS1,6,0055,2,Draw1,B,0,0,0,0,006677,2,Midday,Set1,Delaware4
LS1,6,0055,2,Draw1,C,0,0,0,0,77,2,Midday,Set1,Delaware4
LS1,6,00557,2,Draw1,D,0,0,0,0,0677,2,Midday,Set1,Delaware4
LS1,6,0057,3,Draw1,E,0,0,0,2,066,5,Midday,Set1,Delaware4
LS1,6,0055,2,Draw1,T,0,0,0,0,77,2,Midday,Set1,Delaware4
LS1,5,,5,Draw1,A,0,2,0,2,66,3,Midday,Set1,Delaware4
LS1,5,005,2,Draw1,B,0,0,0,1,66,3,Midday,Set1,Delaware4
LS1,5,005,2,Draw1,C,0,0,0,0,77,2,Midday,Set1,Delaware4
LS1,5,07,3,Draw1,D,0,0,0,0,6,3,Midday,Set1,Delaware4
LS1,5,007,3,Draw1,E,0,0,0,2,66,5,Midday,Set1,Delaware4
LS1,5,005,2,Draw1,T,0,0,0,0,77,2,Midday,Set1,Delaware4
LS1,7,7788,3,Draw1,A,0,3,0,1,889,4,Evening,Set3,Delaware4
LS1,7,557788,2,Draw1,B,0,0,0,2,889,4,Evening,Set3,Delaware4
LS1,7,55,2,Draw1,C,0,0,0,0,3388,2,Evening,Set3,Delaware4
LS1,7,5578,2,Draw1,D,0,0,0,0,33788,2,Evening,Set3,Delaware4
LS1,7,8,7,Draw1,E,0,0,0,2,3889,5,Evening,Set3,Delaware4
LS1,7,55,2,Draw1,T,0,2,0,0,3388,2,Evening,Set3,Delaware4
LS1,6,78,3,Draw1,A,0,2,0,1,89,4,Evening,Set3,Delaware4
LS1,6,5578,2,Draw1,B,0,0,0,2,89,4,Evening,Set3,Delaware4
LS1,6,55,2,Draw1,C,0,0,0,0,38,2,Evening,Set3,Delaware4
LS1,6,55,2,Draw1,D,0,0,0,0,38,2,Evening,Set3,Delaware4
LS1,6,278,4,Draw1,E,0,0,0,0,89,4,Evening,Set3,Delaware4
LS1,6,558,2,Draw1,T,0,2,0,0,389,2,Evening,Set3,Delaware4
LS1,5,78,3,Draw1,A,0,2,0,1,89,4,Evening,Set3,Delaware4
LS1,5,5578,2,Draw1,B,0,0,0,2,89,4,Evening,Set3,Delaware4
LS1,5,55,2,Draw1,C,0,0,0,0,38,2,Evening,Set3,Delaware4
LS1,5,55,2,Draw1,D,0,0,0,0,38,2,Evening,Set3,Delaware4
LS1,5,278,4,Draw1,E,0,0,0,0,89,4,Evening,Set3,Delaware4
LS1,5,558,2,Draw1,T,0,2,0,0,389,2,Evening,Set3,Delaware4
LS1,7,0078,3,Draw1,A,0,2,0,1,89,4,Evening,Set2,Delaware4
LS1,7,0078,3,Draw1,B,0,0,0,1,89,4,Evening,Set2,Delaware4
LS1,7,0055,2,Draw1,C,0,0,0,0,38,2,Evening,Set2,Delaware4
LS1,7,0055,2,Draw1,D,0,0,0,0,038,2,Evening,Set2,Delaware4
LS1,7,278,5,Draw1,E,0,0,0,1,089,4,Evening,Set2,Delaware4
LS1,7,0055,2,Draw1,T,0,1,0,0,38,2,Evening,Set2,Delaware4
LS1,6,078,3,Draw1,A,0,2,0,1,89,4,Evening,Set2,Delaware4
LS1,6,078,3,Draw1,B,0,0,0,1,89,4,Evening,Set2,Delaware4
LS1,6,055,2,Draw1,C,0,0,0,0,38,2,Evening,Set2,Delaware4
LS1,6,055,2,Draw1,D,0,0,0,0,38,2,Evening,Set2,Delaware4
LS1,6,278,5,Draw1,E,0,0,0,1,89,4,Evening,Set2,Delaware4
LS1,6,055,2,Draw1,T,0,1,0,0,038,2,Evening,Set2,Delaware4
