area,col,combined.core,combined.first3_step,draw,method,mode.agree_core,mode.len_delta_abs,mode.only_one,mode.time_to3_delta_abs,own.core,own.first3_step,section,set,state
LS1,7,3388,3,Draw1,A,0,0,0,1,23388,2,Midday,Set3,Indiana4
LS1,7,3388,2,Draw1,B,0,0,0,0,23388,2,Midday,Set3,Indiana4
LS1,7,335588,1,Draw1,C,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,7,335588,1,Draw1,D,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,7,33488,3,Draw1,E,0,0,0,0,388,3,Midday,Set3,Indiana4
LS1,7,335588,1,Draw1,T,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,6,3388,3,Draw1,A,1,0,0,1,3388,2,Midday,Set3,Indiana4
LS1,6,335588,1,Draw1,B,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,6,335588,1,Draw1,C,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,6,335588,1,Draw1,D,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,6,33488,3,Draw1,E,1,0,0,1,33488,2,Midday,Set3,Indiana4
LS1,6,335588,1,Draw1,T,1,0,0,0,335588,1,Midday,Set3,Indiana4
LS1,5,388,3,Draw1,A,1,0,0,1,388,2,Midday,Set3,Indiana4
LS1,5,35588,1,Draw1,B,1,0,0,0,35588,1,Midday,Set3,Indiana4
LS1,5,35588,1,Draw1,C,1,0,0,0,35588,1,Midday,Set3,Indiana4
LS1,5,35588,1,Draw1,D,1,0,0,0,35588,1,Midday,Set3,Indiana4
LS1,5,3488,3,Draw1,E,1,0,0,1,3488,2,Midday,Set3,Indiana4
LS1,5,35588,1,Draw1,T,1,0,0,0,35588,1,Midday,Set3,Indiana4
LS1,7,33889,3,Draw1,A,0,0,0,0,88,3,Midday,Set2,Indiana4
LS1,7,33889,2,Draw1,B,1,0,0,0,33889,2,Midday,Set2,Indiana4
LS1,7,335588,1,Draw1,C,1,0,0,0,335588,1,Midday,Set2,Indiana4
LS1,7,335588,1,Draw1,D,1,0,0,0,335588,1,Midday,Set2,Indiana4
LS1,7,488,5,Draw1,E,0,0,0,2,3488,3,Midday,Set2,Indiana4
LS1,7,335588,1,Draw1,T,1,0,0,0,335588,1,Midday,Set2,Indiana4
LS1,6,3889,3,Draw1,A,1,0,0,1,3889,2,Midday,Set2,Indiana4
LS1,6,3889,2,Draw1,B,1,0,0,0,3889,2,Midday,Set2,Indiana4
LS1,6,35588,1,Draw1,C,1,0,0,0,35588,1,Midday,Set2,Indiana4
LS1,6,35588,1,Draw1,D,1,0,0,0,35588,1,Midday,Set2,Indiana4
