state,area,section,set,draw,col,col_label,location,method,mode,area_rank,section_rank,set_rank,draw_rank,col_rank,step,value,length,unique_digits,is_3value,first_3value_step,last_change_step,steps_total_before_compaction,steps_kept_after_compaction
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,0,59940136677,11,8,False,3,4,29,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,1,5416677,7,5,False,3,4,29,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,2,516677,6,4,False,3,4,29,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,3,56677,5,3,True,3,4,29,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,own,1,1,3,1,7,4,77,2,1,True,3,4,29,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,0,59940136677,11,8,False,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,1,5416677,7,5,False,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,2,54166,5,4,False,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,3,5166,4,3,True,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,4,5166,4,3,True,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,5,566,3,2,True,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,6,566,3,2,True,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,A,combined,1,1,3,1,7,7,,0,0,False,3,7,8,8
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,0,59940136677,11,8,False,2,4,5,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,1,5416677,7,5,False,2,4,5,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,2,5166,4,3,True,2,4,5,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,3,566,3,2,True,2,4,5,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,own,1,1,3,1,7,4,,0,0,False,2,4,5,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,0,59940136677,11,8,False,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,1,5416677,7,5,False,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,2,4166,4,3,True,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,3,166,3,2,True,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,4,166,3,2,True,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,5,66,2,1,True,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,B,combined,1,1,3,1,7,6,,0,0,False,2,6,7,7
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,own,1,1,3,1,7,0,59940136677,11,8,False,1,3,4,4
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,own,1,1,3,1,7,1,16677,5,3,True,1,3,4,4
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,own,1,1,3,1,7,2,166,3,2,True,1,3,4,4
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,own,1,1,3,1,7,3,,0,0,False,1,3,4,4
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,combined,1,1,3,1,7,0,59940136677,11,8,False,1,5,6,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,combined,1,1,3,1,7,1,16677,5,3,True,1,5,6,5
Michigan4,LS1,Midday,Set3,Draw1,7,col7,Midday|Set3|Draw1|col7,C,combined,1,1,3,1,7,2,166,3,2,True,1,5,6,5
