section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set2,1,Draw1,2,4,1,0.0,1,1.0,True,True,True,True,001:1,001:4,21.0
Combined,Set3,2,Draw1,2,3,1,0.0,6,1.0,True,False,False,False,001:1;006:1;0016:1,001:2;006:1;0016:1,15.0
Midday,Set3,2,Draw1,2,3,1,0.0,6,1.0,True,False,False,False,001:1;006:1;0016:1,001:2;006:1;0016:1,15.0
Combined,Set3,4,Draw1,2,3,1,0.0,6,1.0,True,False,False,False,001:1;006:1,001:2;006:1,15.0
Midday,Set3,3,Draw1,2,3,1,0.0,6,1.0,True,False,False,False,001:1;006:1,001:2;006:1,15.0
Midday,Set3,4,Draw1,2,3,1,0.0,6,1.0,True,False,False,False,001:1;006:1,001:2;006:1,15.0
Combined,Set3,3,Draw1,2,3,1,0.0,6,1.0,True,False,False,False,001:1;006:1,001:2;006:1,15.0
Combined,Set1,7,Draw1,2,4,1,0.0,4,0.0,True,False,False,False,155:2;001:1;0066:1,001:2;155:2;0066:1,14.0
Combined,Set2,4,Draw1,2,3,1,0.0,5,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,14.0
Midday,Set3,6,Draw1,2,3,1,0.0,6,0.0,True,False,False,False,001:1;0011:1;006:1,001:2;0011:2;006:1,14.0
Combined,Set3,5,Draw1,2,3,1,0.0,6,0.0,True,False,False,False,001:1;006:1,001:2;006:1,14.0
Combined,Set3,7,Draw1,2,3,1,0.0,6,0.0,True,False,False,False,001:1;0011:1;006:1,001:2;0011:2;006:1,14.0
Combined,Set1,6,Draw1,2,4,1,0.0,4,0.0,True,False,False,False,155:2;001:1;0066:1,001:2;155:2;0066:1,14.0
Midday,Set2,4,Draw1,2,3,1,0.0,5,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,14.0
Midday,Set3,5,Draw1,2,3,1,0.0,6,0.0,True,False,False,False,001:1;006:1,001:2;006:1,14.0
Midday,Set2,3,Draw1,2,3,1,0.0,5,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,14.0
Midday,Set3,7,Draw1,2,3,1,0.0,6,0.0,True,False,False,False,001:1;0011:1;006:1,001:2;0011:2;006:1,14.0
Combined,Set2,3,Draw1,2,3,1,0.0,5,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,14.0
Combined,Set3,6,Draw1,2,3,1,0.0,6,0.0,True,False,False,False,001:1;0011:1;006:1,001:2;0011:2;006:1,14.0
Midday,Set2,6,Draw1,2,3,1,0.0,5,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Midday,Set2,7,Draw1,2,3,1,0.0,5,0.0,True,False,False,False,001:1;0011:1;0066:1,001:2;0011:2;0066:1,13.0
Midday,Set1,5,Draw1,2,3,1,0.0,4,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Combined,Set1,4,Draw1,2,3,1,0.0,4,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Midday,Set2,5,Draw1,2,3,1,0.0,5,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Combined,Set2,7,Draw1,2,3,1,0.0,5,0.0,True,False,False,False,0066:2;006:2;001:1,001:2;0011:2;0066:2,13.0
Midday,Set1,4,Draw1,2,3,1,0.0,4,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Combined,Set1,5,Draw1,2,3,1,0.0,4,1.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Combined,Set2,5,Draw1,2,3,1,0.0,5,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Combined,Set2,6,Draw1,2,3,1,0.0,5,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,13.0
Combined,Set1,4,Draw2,2,3,1,0.0,3,1.0,True,False,False,False,001:1;0066:1;0016:1,001:2;0066:1;0016:1,12.0
Midday,Set1,7,Draw1,2,3,1,0.0,4,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,12.0
Midday,Set1,6,Draw1,2,3,1,0.0,4,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,12.0
Midday,Set1,4,Draw2,2,3,1,0.0,3,1.0,True,False,False,False,001:1;0066:1;0016:1,001:2;0066:1;0016:1,12.0
Combined,Set1,6,Draw2,2,3,1,0.0,3,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,11.0
Midday,Set1,6,Draw2,2,3,1,0.0,3,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,11.0
Combined,Set1,4,Draw4,2,4,1,0.0,1,0.0,True,False,False,False,0011:1;001:1;0066:1,0011:2;001:2;0066:1,11.0
Combined,Set1,5,Draw2,2,3,1,0.0,3,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,11.0
Midday,Set1,5,Draw2,2,3,1,0.0,3,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,11.0
Combined,Set1,4,Draw3,2,3,1,0.0,2,0.0,True,False,False,False,001:1;0016:1;0066:1,001:2;0016:1;0066:1,10.0
Midday,Set1,4,Draw3,2,3,1,0.0,2,0.0,True,False,False,False,001:1;0016:1;0066:1,001:2;0016:1;0066:1,10.0
Midday,Set1,5,Draw3,2,3,1,0.0,2,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,10.0
Combined,Set1,5,Draw3,2,3,1,0.0,2,0.0,True,False,False,False,001:1;0066:1;006:1,001:2;0066:1;006:1,10.0
Combined,Set1,1,Draw7,2,3,1,0.0,1,0.0,True,False,False,False,001:2;0566:1;056:1,001:4;5066:1;506:1,9.0
Combined,Set1,2,Draw6,2,3,1,0.0,1,0.0,True,False,False,False,001:2;006:2,001:4;006:2,9.0
