section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,34,4,3,0.0,7,1.0,True,False,False,True,4899:1;899:1;489:1,9984:2;998:2;984:2,23.0
Combined,Set1,1,Draw1,5,4,1,0.0,1,1.0,True,True,True,True,004:1,004:4,21.0
Combined,Set1,1,Draw1,6,3,1,0.0,7,1.0,True,True,False,False,066:1,066:3,20.0
Combined,Set1,1,Draw1,17,3,1,0.0,7,1.0,True,True,False,False,667:1,667:3,20.0
Combined,Set1,1,Draw1,7,4,3,0.0,4,1.0,True,False,False,True,0667:1;067:1,0667:2;670:1,20.0
Combined,Set1,1,Draw1,0,2,1,0.0,1,1.0,True,False,False,False,499:1,994:2,8.0
Combined,Set1,1,Draw2,34,4,3,0.0,6,1.0,True,False,False,True,4899:1;899:1;489:1,9984:2;998:2;984:2,22.0
Combined,Set1,1,Draw2,5,4,1,0.0,1,1.0,True,True,True,True,004:1,004:4,21.0
Combined,Set1,1,Draw2,7,4,3,0.0,4,1.0,True,False,False,True,0667:1;067:1,0667:2;670:1,20.0
Combined,Set1,1,Draw2,6,3,1,0.0,6,1.0,True,True,False,False,066:1,066:3,19.0
Combined,Set1,1,Draw2,17,3,1,0.0,6,1.0,True,True,False,False,667:1,667:3,19.0
Combined,Set1,1,Draw2,0,2,1,0.0,1,1.0,True,False,False,False,499:1,994:2,8.0
Combined,Set1,1,Draw3,33,4,3,0.0,5,1.0,True,False,False,True,348899:1;38899:1;34889:1,998834:2;99883:2;98834:2,21.0
Combined,Set1,1,Draw3,7,4,3,0.0,4,1.0,True,False,False,True,02667:1;0667:1;0266:1,20667:2;0667:2;2066:2,20.0
Combined,Set1,1,Draw3,17,4,1,0.0,5,1.0,True,True,False,False,667:1;266:1,667:3;662:1,20.0
Combined,Set1,1,Draw3,6,3,1,0.0,5,1.0,True,True,False,False,066:1,066:3,18.0
Combined,Set1,1,Draw3,34,4,2,0.0,5,1.0,True,False,False,False,899:1;34899:1;399:1,998:2;99438:1;993:1,17.0
Combined,Set1,1,Draw3,0,3,2,0.0,5,1.0,True,False,False,False,388:1;499:1,883:2;994:1,15.0
Combined,Set1,1,Draw3,10,1,1,0.0,1,1.0,False,False,False,False,027:1,702:1,4.0
Combined,Set1,1,Draw4,33,4,3,0.0,4,1.0,True,False,False,True,348:3;348899:1;38899:1,998834:2;99883:2;98834:2,20.0
Combined,Set1,1,Draw4,30,4,4,0.0,3,1.0,True,False,False,True,23478:2;2348:2;234:2,324:4;24387:2;2438:2,20.0
Combined,Set1,1,Draw4,7,4,4,0.0,3,1.0,False,False,False,True,012667:1;01667:1;01266:1,201667:1;01667:1;20166:1,18.0
Combined,Set1,1,Draw4,17,4,3,0.0,4,1.0,True,False,False,False,1667:1;667:1;167:1,667:2;1667:1;671:1,17.0
Combined,Set1,1,Draw4,0,4,2,0.0,4,1.0,True,False,False,False,388:1;166:1;499:1,883:2;166:2;994:1,16.0
Combined,Set1,1,Draw4,34,4,2,0.0,4,1.0,True,False,False,False,899:1;34899:1;3499:1,998:2;99438:1;9943:1,16.0
Combined,Set1,1,Draw4,29,4,3,0.0,3,1.0,False,False,False,False,378:2;238:2,387:2;283:2,14.0
Combined,Set1,1,Draw4,6,3,1,0.0,4,1.0,True,False,False,False,0166:1;016:1;066:1,0166:2;016:2;066:1,13.0
Combined,Set1,1,Draw4,27,1,1,0.0,2,1.0,False,False,False,False,237:2,732:2,5.0
Combined,Set1,1,Draw4,10,1,1,0.0,1,1.0,False,False,False,False,027:1,702:1,4.0
