section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Combined,Set1,Draw1,1,004,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,1.0,004,4.0,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw2,1,004,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,1.0,004,4.0,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set3,Draw1,1,009,straight,28.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1.0,0.0,1.0,009,4.0,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set2,Draw1,1,001,straight,28.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1.0,0.0,1.0,001,4.0,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Evening,Set1,Draw3,1,348899,boxed,27.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,998834,2.0,boxed|cov4|span3|vstr2|mirror|hot2|dom_last|perm3
Evening,Set1,Draw4,1,348899,boxed,27.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,998834,2.0,boxed|cov4|span3|vstr2|mirror|hot2|dom_last|perm3
Combined,Set1,Draw3,1,348899,boxed,27.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,998834,2.0,boxed|cov4|span3|vstr2|mirror|hot2|dom_last|perm3
Combined,Set1,Draw4,1,348899,boxed,27.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,998834,2.0,boxed|cov4|span3|vstr2|mirror|hot2|dom_last|perm3
Combined,Set3,Draw1,3,499,straight,26.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,1.0,0.0,3.0,994,4.0,straight|cov4|span3|vstr2|vstr3|mirror|cons_full|hot1|cons_3v
Combined,Set3,Draw1,3,499,straight,26.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,1.0,0.0,3.0,994,4.0,straight|cov4|span3|vstr2|vstr3|mirror|cons_full|hot1|cons_3v
Evening,Set1,Draw5,1,1348899,boxed,26.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,9941388,1.0,boxed|cov4|span2|mirror|hot2|dom_last|perm4
Midday,Set1,Draw1,1,066,straight,26.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,7.0,066,3.0,straight|cov3|span7|vstr2|vstr3|hot2
Midday,Set1,Draw1,1,667,straight,26.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1.0,0.0,7.0,667,3.0,straight|cov3|span7|vstr2|vstr3|hot2
Combined,Set1,Draw5,1,1348899,boxed,26.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,9941388,1.0,boxed|cov4|span2|mirror|hot2|dom_last|perm4
Combined,Set1,Draw1,1,066,straight,26.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,7.0,066,3.0,straight|cov3|span7|vstr2|vstr3|hot2
Combined,Set1,Draw1,1,667,straight,26.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1.0,0.0,7.0,667,3.0,straight|cov3|span7|vstr2|vstr3|hot2
