section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Midday,Set1,Draw2,1,033,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,5.0,033,4.0,straight|cov4|span5|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Midday,Set1,Draw3,1,033,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,5.0,033,4.0,straight|cov4|span5|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw2,1,033,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,5.0,033,4.0,straight|cov4|span5|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw3,1,033,straight,34.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,5.0,033,4.0,straight|cov4|span5|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw1,1,003,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,1.0,003,4.0,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set3,Draw1,1,003,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,7.0,003,4.0,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set3,Draw1,1,003,straight,30.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,7.0,003,4.0,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set3,Draw1,2,003,straight,29.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,7.0,003,4.0,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set3,Draw1,2,003,straight,29.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,7.0,003,4.0,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set1,Draw1,1,003,straight,26.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,7.0,003,3.0,straight|cov3|span7|vstr2|vstr3|hot2
Combined,Set1,Draw1,1,003,straight,26.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,2,1.0,0.0,7.0,003,3.0,straight|cov3|span7|vstr2|vstr3|hot2
Midday,Set1,Draw1,1,03,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,True,2,1.0,0.0,1.0,03,4.0,straight|cov4|vstr2|vstr3|cons_full|hot2|dom_pair
Combined,Set2,Draw1,1,0033,straight,25.0,"R2,R6,R8",False,True,True,False,False,False,False,False,False,1,1.0,0.0,7.0,0033,3.0,straight|cov3|span7|vstr2|vstr3|hot1
Combined,Set1,Draw1,1,0036,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,4.0,0036,2.0,boxed|cov4|span4|vstr2|hot2|dom_last|perm3
Combined,Set1,Draw2,1,0036,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,4.0,0036,2.0,boxed|cov4|span4|vstr2|hot2|dom_last|perm3
Combined,Set1,Draw3,1,0036,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,4.0,0036,2.0,boxed|cov4|span4|vstr2|hot2|dom_last|perm3
Combined,Set3,Draw1,1,229,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,922,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,1,002279,boxed,25.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,3.0,0.0,3.0,700922,2.0,boxed|cov4|span3|vstr2|mirror|hot1|dom_last|perm3
