section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,4,Draw4,15,4,2,0.0,4,0.0,True,True,False,False,4455:2;445:2;599:1,599:3;4455:2;445:2,19.0
Combined,Set1,6,Draw2,15,4,1,0.0,5,0.0,True,True,False,False,044:2;599:1;445:1,599:3;440:2;445:1,19.0
Combined,Set1,1,Draw6,23,4,3,0.0,2,1.0,True,False,False,True,368:2;3668:1;3688:1,688:2;3866:1;3886:1,18.0
Combined,Set1,7,Draw1,15,4,2,0.0,2,0.0,True,True,False,False,099:2;599:1;044:1,599:3;990:2;440:1,17.0
Combined,Set1,2,Draw5,23,4,3,0.0,3,1.0,True,False,False,False,33688:1;368:1;688:1,688:2;33886:1;386:1,16.0
Combined,Set1,1,Draw7,23,4,3,0.0,1,0.0,True,False,False,True,368:3;138:2;3668:1,386:2;688:2;138:2,16.0
Combined,Set1,1,Draw5,23,4,3,0.0,3,1.0,True,False,False,False,368:2;3688:1;688:1,688:2;3886:1;386:1,16.0
Combined,Set1,4,Draw4,23,4,3,0.0,4,0.0,True,False,False,False,3368:2;1338:2;336:2,688:2;1338:2;336:2,16.0
Combined,Set1,1,Draw7,15,4,1,0.0,1,0.0,True,True,False,False,044:3;599:1;0449:1,599:3;440:3;9440:1,15.0
Combined,Set1,7,Draw1,23,4,3,0.0,3,0.0,True,False,False,False,688:2;33688:1;368:1,886:2;688:2;33886:1,15.0
Combined,Set3,5,Draw1,23,4,3,0.0,3,0.0,True,False,False,False,33688:1;688:1;3688:1,688:2;33886:1;3886:1,15.0
Combined,Set3,6,Draw1,23,4,3,0.0,3,0.0,True,False,False,False,33688:1;336688:1;1336688:1,688:2;33886:1;338866:1,15.0
Combined,Set1,3,Draw5,23,4,3,0.0,3,0.0,True,False,False,False,3368:2;336:2;33688:1,688:2;336:2;33886:1,15.0
Combined,Set3,7,Draw1,23,4,3,0.0,3,0.0,True,False,False,False,688:2;188:2;33688:1,688:2;886:2;188:2,15.0
Combined,Set1,2,Draw6,23,4,3,0.0,2,0.0,True,False,False,False,3668:1;33688:1;368:1,688:2;3866:1;33886:1,14.0
