section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,33,4,2,0.0,2,1.0,True,True,False,True,348:1,834:3,21.0
Combined,Set1,1,Draw1,30,4,3,0.0,5,1.0,True,False,False,True,347:1,734:2,21.0
Combined,Set1,1,Draw1,14,4,4,0.0,3,1.0,False,False,False,True,458:1,548:1,18.0
Combined,Set1,1,Draw2,33,4,2,0.0,6,1.0,True,True,False,True,3448:1;334:1;348:1,8344:3;334:3;834:3,25.0
Combined,Set1,1,Draw2,34,4,2,0.0,6,1.0,True,True,False,False,344:1,344:3,22.0
Combined,Set1,1,Draw2,30,4,3,0.0,5,1.0,True,False,False,True,33477:1;3347:1;3477:1,77334:2;7334:2;3477:1,21.0
Combined,Set1,1,Draw2,5,3,2,0.0,6,1.0,True,False,False,False,455:1,554:2,16.0
Combined,Set1,1,Draw2,29,3,2,0.0,4,1.0,True,False,False,False,3377:1;337:1,7733:2;733:2,14.0
Combined,Set1,1,Draw2,27,3,2,0.0,4,1.0,True,False,False,False,377:1,773:2,14.0
Combined,Set1,1,Draw2,14,3,3,0.0,1,1.0,False,False,False,False,458:1,548:1,10.0
Combined,Set1,1,Draw2,28,1,1,0.0,6,1.0,False,False,False,False,477:1,477:1,9.0
Combined,Set1,1,Draw2,4,2,2,0.0,3,1.0,False,False,False,False,558:1,558:1,9.0
Combined,Set1,1,Draw3,33,4,2,0.0,5,1.0,True,True,False,True,3448:1;334:1;348:1,8344:3;334:3;834:3,24.0
Combined,Set1,1,Draw3,30,4,3,0.0,5,1.0,True,False,False,True,33477:1;3347:1;3477:1,77334:2;7334:2;3477:1,21.0
Combined,Set1,1,Draw3,34,4,2,0.0,5,1.0,True,True,False,False,344:1,344:3,21.0
Combined,Set1,1,Draw3,5,3,2,0.0,5,1.0,True,False,False,True,455:1,554:2,18.0
Combined,Set1,1,Draw3,24,3,3,0.0,1,1.0,False,False,False,True,468:1,486:1,13.0
Combined,Set1,1,Draw3,29,3,2,0.0,2,1.0,True,False,False,False,3377:1;337:1,7733:2;733:2,12.0
Combined,Set1,1,Draw3,27,3,2,0.0,2,1.0,True,False,False,False,377:1,773:2,12.0
Combined,Set1,1,Draw3,8,2,2,0.0,3,1.0,False,False,False,False,5568:1;568:1,5568:1;568:1,9.0
Combined,Set1,1,Draw3,28,1,1,0.0,5,1.0,False,False,False,False,477:1,477:1,8.0
Combined,Set1,1,Draw3,2,1,1,0.0,4,1.0,False,False,False,False,556:1,556:1,7.0
Combined,Set1,1,Draw3,9,1,1,0.0,2,1.0,False,False,False,False,4556:1;456:1,6455:1;645:1,5.0
Combined,Set1,1,Draw3,4,1,1,0.0,2,1.0,False,False,False,False,558:1,855:1,5.0
Combined,Set1,1,Draw3,14,1,1,0.0,1,1.0,False,False,False,False,458:1,548:1,4.0
Combined,Set1,1,Draw4,34,4,3,0.0,4,1.0,True,True,False,True,344:2;34489:1;3449:1,344:5;98344:2;9443:1,24.0
Combined,Set1,1,Draw4,33,4,2,0.0,4,1.0,True,True,False,False,3448:2;348:2;334:1,334:3;8334:2;8344:2,20.0
Combined,Set1,1,Draw4,30,4,4,0.0,4,1.0,False,False,False,True,334778:1;33478:1;33477:1,433877:1;43387:1;33477:1,19.0
Combined,Set1,1,Draw4,24,3,3,0.0,2,1.0,False,False,False,True,34468:1;3468:1;3446:1,44386:1;4386:1;3644:1,14.0
Combined,Set1,1,Draw4,0,3,2,0.0,4,1.0,True,False,False,False,338:1;449:1,833:2;944:1,14.0
Combined,Set1,1,Draw4,23,3,3,0.0,4,1.0,False,False,False,False,368:1,386:1,13.0
Combined,Set1,1,Draw4,27,3,2,0.0,3,1.0,True,False,False,False,778:1;377:1,877:2;773:1,13.0
