section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Combined,Set1,Draw1,1,007,straight,32.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,3.0,007,4.0,straight|cov4|span3|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw2,1,007,straight,31.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,1.0,0.0,2.0,007,4.0,straight|cov4|span2|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw1,1,6677,boxed,31.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,7.0,6677,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set2,Draw1,1,039,straight,29.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1.0,0.0,3.0,093,4.0,straight|cov4|span3|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set2,Draw1,1,6677,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,7.0,6677,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|dom_last|perm2
Combined,Set1,Draw1,1,667,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,667,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw1,1,677,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,677,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw2,1,6677,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,6.0,6677,3.0,boxed|cov4|span6|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw1,2,6677,boxed,26.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,6677,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw2,1,667,boxed,26.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,6.0,667,3.0,boxed|cov4|span6|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw2,1,677,boxed,26.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,6.0,677,3.0,boxed|cov4|span6|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,556677,boxed,26.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,3.0,556677,2.0,boxed|cov4|span3|vstr2|hot2|dom_last|perm3
