section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,17,4,2,0.0,7,1.0,True,True,False,True,667:2;6677:1,667:6;6677:3,26.0
Combined,Set1,1,Draw1,3,4,1,0.0,3,1.0,True,True,True,True,007:1,007:4,23.0
Combined,Set1,1,Draw1,20,4,2,0.0,7,1.0,True,True,False,False,677:1,677:3,23.0
Combined,Set1,1,Draw1,19,3,1,0.0,7,1.0,True,True,False,False,669:1,966:3,20.0
Combined,Set1,1,Draw1,22,3,2,0.0,5,1.0,True,False,False,True,6679:1;679:1,9667:2;796:1,18.0
Combined,Set1,1,Draw1,9,3,2,0.0,5,1.0,True,False,False,False,5669:1;569:1,5966:2;596:2,15.0
Combined,Set1,1,Draw1,6,1,1,0.0,5,1.0,False,False,False,False,566:1,665:1,8.0
Combined,Set1,1,Draw1,7,1,1,0.0,4,1.0,False,False,False,False,5667:1;567:1,6675:1;675:1,7.0
Combined,Set1,1,Draw1,12,1,1,0.0,4,1.0,False,False,False,False,579:1,759:1,7.0
Combined,Set1,1,Draw2,3,4,1,0.0,2,1.0,True,True,True,True,007:1,007:4,22.0
Combined,Set1,1,Draw2,17,4,2,0.0,6,1.0,True,True,False,False,667:2;6677:1,667:6;6677:3,22.0
Combined,Set1,1,Draw2,20,4,2,0.0,6,1.0,True,True,False,False,677:1,677:3,22.0
Combined,Set1,1,Draw2,7,4,3,0.0,3,1.0,True,False,False,True,5667:2;56677:1;5677:1,56677:2;5667:2;6775:1,19.0
Combined,Set1,1,Draw2,19,3,1,0.0,5,1.0,True,True,False,False,669:1,966:3,18.0
Combined,Set1,1,Draw2,22,3,2,0.0,5,1.0,True,False,False,True,6679:1;679:1,9667:2;796:1,18.0
Combined,Set1,1,Draw2,9,3,2,0.0,5,1.0,True,False,False,False,5669:1;569:1,5966:2;596:2,15.0
Combined,Set1,1,Draw2,6,3,2,0.0,5,1.0,True,False,False,False,566:2,566:2;665:1,15.0
Combined,Set1,1,Draw2,12,1,1,0.0,4,1.0,False,False,False,False,579:1,759:1,7.0
Combined,Set1,1,Draw2,10,1,1,0.0,3,1.0,False,False,False,False,577:1,775:1,6.0
Combined,Set1,1,Draw3,17,4,2,0.0,5,1.0,True,True,False,False,667:2;6677:1,667:6;6677:3,21.0
Combined,Set1,1,Draw3,20,4,2,0.0,5,1.0,True,True,False,False,677:1,677:3,21.0
Combined,Set1,1,Draw3,7,4,3,0.0,3,1.0,True,False,False,True,567:2;5667:2;556677:1,556677:2;56677:2;567:2,19.0
Combined,Set1,1,Draw3,19,3,1,0.0,2,1.0,True,True,False,False,669:1,966:3,15.0
Combined,Set1,1,Draw3,6,3,2,0.0,5,1.0,True,False,False,False,566:2,566:2;665:1,15.0
Combined,Set1,1,Draw3,22,3,2,0.0,1,1.0,True,False,False,True,6679:1;679:1,9667:2;796:1,14.0
Combined,Set1,1,Draw3,2,3,2,0.0,3,1.0,True,False,False,False,5566:1;556:1,5566:2;556:2,13.0
Combined,Set1,1,Draw3,9,3,2,0.0,2,1.0,True,False,False,False,5669:1;569:1,5966:2;596:2,12.0
Combined,Set1,1,Draw3,3,1,1,0.0,3,1.0,False,False,False,False,5577:1;557:1,7755:1;755:1,6.0
Combined,Set1,1,Draw3,10,1,1,0.0,3,1.0,False,False,False,False,577:1,775:1,6.0
Combined,Set1,1,Draw3,12,1,1,0.0,1,1.0,False,False,False,False,579:1,759:1,4.0
Combined,Set1,1,Draw4,17,4,2,0.0,4,1.0,True,True,False,False,667:3;6677:2,667:8;6677:6,20.0
Combined,Set1,1,Draw4,20,4,2,0.0,4,1.0,True,True,False,False,677:2,677:6,20.0
Combined,Set1,1,Draw4,7,4,3,0.0,2,1.0,True,False,False,True,56677:2;5667:2;5677:2,556677:2;56677:2;55667:2,18.0
Combined,Set1,1,Draw4,21,3,3,0.0,4,1.0,False,False,False,True,3667:1;367:1,3667:1;637:1,16.0
Combined,Set1,1,Draw4,19,3,1,0.0,2,1.0,True,True,False,False,669:1,966:3,15.0
Combined,Set1,1,Draw4,22,3,2,0.0,1,1.0,True,False,False,True,66779:1;6679:1;6779:1,96677:2;9667:2;7796:1,14.0
Combined,Set1,1,Draw4,18,3,2,0.0,4,1.0,True,False,False,False,366:1,366:2,14.0
Combined,Set1,1,Draw4,6,3,2,0.0,4,1.0,True,False,False,False,566:3,566:3;665:1,14.0
Combined,Set1,1,Draw4,2,3,2,0.0,3,1.0,True,False,False,False,5566:1;556:1,5566:2;556:2,13.0
Combined,Set1,1,Draw4,9,3,2,0.0,2,1.0,True,False,False,False,5669:1;569:1,5966:2;596:2,12.0
Combined,Set1,1,Draw4,8,3,3,0.0,2,1.0,False,False,False,False,3566:1;356:1,5366:1;536:1,11.0
Combined,Set1,1,Draw4,3,1,1,0.0,2,1.0,False,False,False,False,5577:1;557:1,7755:1;755:1,5.0
Combined,Set1,1,Draw4,10,1,1,0.0,2,1.0,False,False,False,False,577:2,775:2,5.0
Combined,Set1,1,Draw4,12,1,1,0.0,1,1.0,False,False,False,False,5779:1;579:1,7759:1;759:1,4.0
Combined,Set1,1,Draw4,28,1,1,0.0,1,1.0,False,False,False,False,779:1,779:1,4.0
Combined,Set1,1,Draw5,21,4,3,0.0,3,1.0,False,False,False,True,66778:1;36677:1;6678:1,86677:1;36677:1;8667:1,17.0
Combined,Set1,1,Draw5,18,4,2,0.0,3,1.0,True,False,False,False,668:1;366:1,866:2;366:2,15.0
Combined,Set1,1,Draw5,5,3,2,0.0,3,1.0,True,False,False,False,455:1,554:2,13.0
Combined,Set1,1,Draw5,19,3,2,0.0,3,1.0,True,False,False,False,466:2;669:1,664:3;966:2,13.0
Combined,Set1,1,Draw5,9,3,3,0.0,3,1.0,False,False,False,False,4566:2;456:2;45669:1,6645:2;645:2;59466:1,12.0
Combined,Set1,1,Draw5,25,3,2,0.0,2,1.0,True,False,False,False,4669:1,9664:2,12.0
Combined,Set1,1,Draw5,24,3,3,0.0,3,1.0,False,False,False,False,4668:1;468:1,4866:1;486:1,12.0
Combined,Set1,1,Draw5,8,3,3,0.0,2,1.0,False,False,False,False,3566:1;55668:1;5668:1,5366:1;55668:1;5668:1,11.0
Combined,Set1,1,Draw5,27,3,2,0.0,3,1.0,False,False,False,False,778:1;377:1,877:1;377:1,11.0
Combined,Set1,1,Draw5,17,2,1,0.0,3,1.0,True,False,False,False,6677:3;667:3,6677:5;667:5,10.0
Combined,Set1,1,Draw5,20,2,1,0.0,3,1.0,True,False,False,False,677:3,677:5,10.0
Combined,Set1,1,Draw5,22,3,2,0.0,2,1.0,False,False,False,False,46677:1;4667:1;4677:1,46677:1;4667:1;6477:1,10.0
Combined,Set1,1,Draw5,28,2,1,0.0,3,1.0,False,False,False,False,477:2;779:1,477:2;779:1,8.0
Combined,Set1,1,Draw5,6,2,2,0.0,2,1.0,False,False,False,False,566:2,566:2,8.0
Combined,Set1,1,Draw5,30,1,1,0.0,3,1.0,False,False,False,False,4778:1;478:1,8477:1;847:1,6.0
Combined,Set1,1,Draw5,7,1,1,0.0,2,1.0,False,False,False,False,56677:2;5677:2,66775:2;6775:2,5.0
Combined,Set1,1,Draw5,2,1,1,0.0,2,1.0,False,False,False,False,5566:1;556:1,5566:1;556:1,5.0
Combined,Set1,1,Draw5,3,1,1,0.0,2,1.0,False,False,False,False,5577:1;557:1,7755:1;755:1,5.0
Combined,Set1,1,Draw5,10,1,1,0.0,2,1.0,False,False,False,False,577:3,775:3,5.0
Combined,Set1,1,Draw5,12,1,1,0.0,1,1.0,False,False,False,False,5779:1;579:1,7759:1;759:1,4.0
Combined,Set1,1,Draw6,12,4,2,0.0,2,1.0,True,False,False,True,259:1;2459:1;5779:1,592:2;5924:2;7759:1,17.0
Combined,Set1,1,Draw6,21,3,3,0.0,2,1.0,False,False,False,True,166778:1;16678:1;16778:1,186677:1;18667:1;68177:1,14.0
Combined,Set1,1,Draw6,18,4,2,0.0,2,1.0,True,False,False,False,1668:1;668:1;168:1,1866:2;866:2;186:2,14.0
Combined,Set1,1,Draw6,24,3,3,0.0,2,1.0,False,False,False,True,3466:1;14668:1;1468:1,4366:1;41866:1;4186:1,14.0
Combined,Set1,1,Draw6,20,4,2,0.0,2,1.0,True,False,False,False,677:3;177:1,677:5;771:2,14.0
Combined,Set1,1,Draw6,15,3,2,0.0,2,1.0,True,False,False,False,4455:1;445:1,5544:2;544:2,12.0
Combined,Set1,1,Draw6,5,3,2,0.0,2,1.0,True,False,False,False,455:2,554:3,12.0
Combined,Set1,1,Draw6,19,3,2,0.0,2,1.0,True,False,False,False,466:3;669:1,966:2;664:2;466:1,12.0
Combined,Set1,1,Draw6,17,3,1,0.0,2,1.0,True,False,False,False,6677:3;667:3;266:1,6677:5;667:5;662:1,11.0
Combined,Set1,1,Draw6,31,3,1,0.0,2,1.0,True,False,False,False,249:1;4477:1;447:1,924:2;4477:1;447:1,11.0
Combined,Set1,1,Draw6,22,3,2,0.0,2,1.0,False,False,False,False,46677:1;14477:1;2466:1,46677:1;44771:1;2466:1,10.0
Combined,Set1,1,Draw6,14,2,2,0.0,1,1.0,False,False,False,False,3455:1;345:1,5543:1;543:1,7.0
Combined,Set1,1,Draw6,25,2,1,0.0,2,1.0,False,False,False,False,4669:1;144:1,9664:1;441:1,7.0
Combined,Set1,1,Draw6,28,2,1,0.0,2,1.0,False,False,False,False,477:3;779:1,477:3;779:1,7.0
Combined,Set1,1,Draw6,9,2,1,0.0,1,1.0,False,False,False,False,45669:1;45566:1;4566:1,59664:1;66455:1;6645:1,6.0
Combined,Set1,1,Draw6,7,1,1,0.0,2,1.0,False,False,False,False,56677:2;5677:2;556677:1,66775:2;6775:2;667755:1,5.0
Combined,Set1,1,Draw6,3,1,1,0.0,2,1.0,False,False,False,False,5577:2;557:2,7755:2;755:2,5.0
Combined,Set1,1,Draw6,30,1,1,0.0,2,1.0,False,False,False,False,3477:1;347:1,3477:1;347:1,5.0
Combined,Set1,1,Draw6,10,1,1,0.0,2,1.0,False,False,False,False,577:3,775:3,5.0
Combined,Set1,1,Draw6,8,1,1,0.0,1,1.0,False,False,False,False,55668:1;5668:1;3566:1,55668:1;5668:1;5663:1,4.0
Combined,Set1,1,Draw6,2,1,1,0.0,1,1.0,False,False,False,False,5566:2;556:2,5566:2;556:2,4.0
Combined,Set1,1,Draw6,6,1,1,0.0,1,1.0,False,False,False,False,566:2,566:2,4.0
Combined,Set1,1,Draw6,4,1,1,0.0,1,1.0,False,False,False,False,355:1,553:1,4.0
