section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set1,Draw4,1,07788,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,4.0,08877,2.0,boxed|cov4|span4|vstr2|hot2|perm3,11,False
Combined,Set1,Draw4,2,07788,boxed,21.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,4.0,08877,2.0,boxed|cov4|span4|vstr2|hot2|perm3,11,False
Combined,Set3,Draw1,4,357788,boxed,20.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,3.0,538877,1.0,boxed|cov4|span3|mirror|hot1|perm4,11,False
Combined,Set3,Draw1,2,57788,boxed,20.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,4.0,58877,2.0,boxed|cov4|span4|vstr2|hot1|perm3,11,False
Combined,Set3,Draw1,3,57788,boxed,20.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,1,3.0,0.0,4.0,58877,2.0,boxed|cov4|span4|vstr2|hot1|perm3,11,False
Combined,Set2,Draw1,4,233577,boxed,19.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,523377,1.0,boxed|cov4|span2|mirror|hot1|perm4,11,False
Combined,Set1,Draw4,1,0788,boxed,18.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,3.0,0887,2.0,boxed|cov3|span3|vstr2|hot2|perm2,11,False
Combined,Set1,Draw2,3,235778,boxed,18.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,1.0,523877,1.0,boxed|cov4|mirror|hot1|perm4,11,False
Combined,Set2,Draw1,4,23357,boxed,18.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,52337,1.0,boxed|cov4|span2|mirror|hot1|perm4,11,False
Combined,Set1,Draw4,1,0288,boxed,17.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,2.0,2088,2.0,boxed|cov3|span2|vstr2|hot2|perm2,11,False
