section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Combined,Set1,Draw1,1,778,boxed,31.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,7.0,877,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set1,Draw2,1,778,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,6.0,877,3.0,boxed|cov4|span6|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set3,Draw1,1,7788,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,7.0,8877,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|dom_last|perm2
Combined,Set1,Draw3,1,7788,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,5.0,8877,3.0,boxed|cov4|span5|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set2,Draw1,1,077,straight,28.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1.0,0.0,1.0,077,4.0,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set1,Draw1,1,6788,boxed,28.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,7.0,6887,2.0,boxed|cov4|span7|vstr2|hot2|dom_last|perm3
Combined,Set1,Draw2,1,66788,boxed,28.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,6.0,66887,2.0,boxed|cov4|span6|vstr2|hot2|dom_last|perm3
Combined,Set1,Draw1,1,688,boxed,27.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,7.0,886,2.0,boxed|cov4|span7|vstr2|hot2|dom_last|perm2
Combined,Set2,Draw1,1,6788,boxed,26.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,3.0,0.0,7.0,6887,2.0,boxed|cov4|span7|vstr2|hot1|dom_last|perm3
Combined,Set3,Draw1,1,1688,boxed,26.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,1,2.0,0.0,7.0,1886,2.0,boxed|cov4|span7|vstr2|mirror|hot1|dom_last|perm2
Combined,Set1,Draw2,1,688,boxed,26.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,6.0,886,2.0,boxed|cov4|span6|vstr2|hot2|dom_last|perm2
Combined,Set3,Draw1,3,7788,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,8877,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,2,7788,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,8877,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,1,788,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,887,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,1,778,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,877,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set1,Draw1,2,778,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,877,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,788,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,5.0,887,3.0,boxed|cov4|span5|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,778,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,5.0,877,3.0,boxed|cov4|span5|vstr2|vstr3|hot2|perm2
Combined,Set2,Draw1,1,688,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2.0,0.0,7.0,886,2.0,boxed|cov4|span7|vstr2|hot1|dom_last|perm2
Combined,Set3,Draw1,3,788,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,887,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,3,778,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,877,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,2,788,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,887,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,2,778,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,877,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set1,Draw2,2,778,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,6.0,877,3.0,boxed|cov4|span6|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,2,7788,boxed,24.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,5.0,8877,3.0,boxed|cov4|span5|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw4,1,7788,straight,24.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,1.0,0.0,4.0,8877,3.0,straight|cov3|span4|vstr2|vstr3|hot2
Combined,Set1,Draw1,2,6788,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,7.0,6887,2.0,boxed|cov4|span7|vstr2|hot2|perm3
Combined,Set1,Draw1,1,688,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,7.0,886,2.0,boxed|cov4|span7|vstr2|hot2|perm2
Combined,Set1,Draw2,2,66788,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,6.0,66887,2.0,boxed|cov4|span6|vstr2|hot2|perm3
Combined,Set1,Draw2,1,6688,boxed,23.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,6.0,8866,2.0,boxed|cov4|span6|vstr2|hot2|perm2
Combined,Set1,Draw3,1,66889,boxed,23.0,"R2,R4,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,4.0,98866,2.0,boxed|cov3|span4|vstr2|hot2|dom_last|perm2
