section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Combined,Set1,Draw1,1,133,boxed,31.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,7.0,133,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set3,Draw1,1,004,straight,29.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1.0,0.0,2.0,004,4.0,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set3,Draw1,1,1133,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,7.0,1133,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|dom_last|perm2
Combined,Set2,Draw1,1,133,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,7.0,133,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|dom_last|perm2
Combined,Set1,Draw2,1,1337,boxed,26.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4.0,0.0,6.0,1337,1.0,boxed|cov4|span6|hot2|dom_last|perm4
Combined,Set1,Draw2,1,3677,boxed,25.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,4.0,0.0,5.0,3677,1.0,boxed|cov4|span5|hot2|dom_last|perm4
Combined,Set3,Draw1,1,113,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,113,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set3,Draw1,1,133,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,133,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set1,Draw1,3,133,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,133,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw1,2,133,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,133,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw3,1,12337,boxed,25.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,3.0,21337,1.0,boxed|cov4|span3|mirror|hot2|dom_last|perm4
Combined,Set1,Draw4,1,123377,boxed,25.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,213377,1.0,boxed|cov4|span2|mirror|hot2|dom_last|perm4
Combined,Set1,Draw7,1,559,straight,24.5,"R2,R4,R6",False,True,True,True,False,False,False,True,False,0,1.0,0.0,1.0,559,3.0,straight|cov3|vstr2|vstr3|single_left|dom_last
Combined,Set3,Draw1,2,004,straight,24.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,2.0,004,4.0,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set2,Draw1,1,558,boxed,24.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2.0,0.0,6.0,558,2.0,boxed|cov4|span6|vstr2|hot1|dom_last|perm2
