section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set1,Draw4,1,05568,boxed,24.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,4.0,0.0,2.0,55086,1.0,boxed|cov4|span2|mirror|hot2|dom_last|perm4,8,False
Combined,Set1,Draw4,1,0356,boxed,21.0,"R2,R4,R8",True,False,False,False,False,False,False,True,False,2,3.0,0.0,3.0,5036,1.0,boxed|cov3|span3|mirror|hot2|dom_last|perm3,8,False
Combined,Set3,Draw1,4,1133558,boxed,20.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,5511338,1.0,boxed|cov4|span2|mirror|hot1|perm4,8,False
Combined,Set1,Draw4,1,0568,boxed,20.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,2,4.0,0.0,2.0,5086,1.0,boxed|cov4|span2|mirror|hot2|perm4,8,False
Combined,Set1,Draw4,1,068,boxed,20.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,3.0,086,2.0,boxed|cov4|span3|vstr2|hot2|perm3,8,False
Combined,Set3,Draw1,2,11335,boxed,19.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,4.0,51133,1.0,boxed|cov4|span4|hot1|perm4,8,False
Combined,Set2,Draw1,4,113355,boxed,19.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,3.0,551133,1.0,boxed|cov4|span3|hot1|perm4,8,False
Combined,Set2,Draw1,5,1133558,boxed,19.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,0,4.0,0.0,2.0,5511338,1.0,boxed|cov4|span2|mirror|perm4,8,False
Combined,Set3,Draw1,5,1133558,boxed,19.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,0,4.0,0.0,2.0,5511338,1.0,boxed|cov4|span2|mirror|perm4,8,False
Combined,Set3,Draw1,3,113355,boxed,19.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,3.0,551133,1.0,boxed|cov4|span3|hot1|perm4,8,False
Combined,Set1,Draw6,1,03668,boxed,19.0,"R2,R4,R8",True,False,False,False,False,False,False,True,False,1,3.0,0.0,2.0,03866,1.0,boxed|cov3|span2|mirror|hot1|dom_last|perm3,8,False
Combined,Set2,Draw1,3,11335,boxed,19.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,4.0,51133,1.0,boxed|cov4|span4|hot1|perm4,8,False
Combined,Set1,Draw4,1,036,boxed,18.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,4.0,036,2.0,boxed|cov3|span4|vstr2|hot2|perm2,8,False
Combined,Set1,Draw6,1,0368,boxed,18.0,"R2,R4,R8",True,False,False,False,False,False,False,True,False,1,3.0,0.0,2.0,0386,1.0,boxed|cov3|span2|mirror|hot1|dom_last|perm3,8,False
Combined,Set1,Draw4,2,068,boxed,18.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,3.0,086,2.0,boxed|cov4|span3|vstr2|hot2|perm3,8,False
Combined,Set1,Draw3,1,356,boxed,17.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,3.0,0.0,4.0,536,1.0,boxed|cov3|span4|hot2|perm3,8,False
Combined,Set1,Draw5,1,0356,boxed,17.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,2,3.0,0.0,2.0,5036,1.0,boxed|cov3|span2|mirror|hot2|perm3,8,False
Combined,Set3,Draw1,3,1588,boxed,17.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,3.0,5188,1.0,boxed|cov4|span3|hot1|perm4,8,False
Combined,Set2,Draw1,4,15588,boxed,17.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,55188,1.0,boxed|cov4|span2|hot1|perm4,8,False
Combined,Set1,Draw5,1,068,boxed,17.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,3.0,086,2.0,boxed|cov3|span3|vstr2|hot2|perm2,8,False
Combined,Set1,Draw1,5,011338,boxed,17.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3.0,0.0,3.0,011338,1.0,boxed|cov3|span3|mirror|hot1|perm3,8,False
Combined,Set3,Draw1,3,11335,boxed,16.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,4.0,51133,1.0,boxed|cov3|span4|hot1|perm3,8,False
Combined,Set1,Draw1,5,01133558,boxed,16.0,"R4,R6",True,False,False,False,False,False,False,False,False,1,2.0,0.0,3.0,55083311,1.0,boxed|cov2|span3|mirror|hot1|perm2,8,False
Combined,Set2,Draw1,4,11335,boxed,16.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,4.0,51133,1.0,boxed|cov3|span4|hot1|perm3,8,False
Combined,Set3,Draw1,4,113358,boxed,16.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3.0,0.0,2.0,511338,1.0,boxed|cov3|span2|mirror|hot1|perm3,8,False
Combined,Set2,Draw1,4,1588,boxed,16.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,5188,1.0,boxed|cov4|span2|hot1|perm4,8,False
Combined,Set1,Draw4,2,0336,boxed,16.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,3.0,0336,2.0,boxed|cov3|span3|vstr2|hot2|perm2,8,False
Combined,Set1,Draw1,6,0113388,boxed,16.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,0,3.0,0.0,2.0,0113388,1.0,boxed|cov3|span2|mirror|perm3,8,False
Combined,Set1,Draw5,1,036,boxed,16.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,2.0,036,2.0,boxed|cov3|span2|vstr2|hot2|perm2,8,False
Combined,Set1,Draw2,4,117,boxed,15.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,1,2.0,0.0,4.0,711,2.0,boxed|cov3|span4|vstr2|hot1|perm2,17,False
Combined,Set2,Draw1,4,13355,boxed,15.0,"R4,R6,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,3.0,55331,1.0,boxed|cov3|span3|hot1|perm3,8,False
Combined,Set2,Draw1,5,113358,boxed,15.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,0,3.0,0.0,2.0,511338,1.0,boxed|cov3|span2|mirror|perm3,8,False
Combined,Set1,Draw2,3,117,boxed,15.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,1,2.0,0.0,4.0,711,2.0,boxed|cov3|span4|vstr2|hot1|perm2,17,False
Combined,Set3,Draw1,5,113358,boxed,15.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,0,3.0,0.0,2.0,511338,1.0,boxed|cov3|span2|mirror|perm3,8,False
Combined,Set1,Draw5,2,0368,boxed,15.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,2,3.0,0.0,2.0,0386,1.0,boxed|cov3|span2|mirror|hot2|perm3,8,False
Combined,Set3,Draw1,3,13355,boxed,15.0,"R4,R6,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,3.0,55331,1.0,boxed|cov3|span3|hot1|perm3,8,False
Combined,Set1,Draw4,3,0336,boxed,14.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,0,2.0,0.0,3.0,0336,2.0,boxed|cov3|span3|vstr2|perm2,8,False
Combined,Set1,Draw3,4,01688,boxed,14.0,"R2,R4,R6",True,False,False,False,False,False,False,False,False,0,3.0,0.0,2.0,01886,1.0,boxed|cov3|span2|mirror|perm3,8,False
Combined,Set1,Draw1,7,01133558,straight,14.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,81105533,1.0,straight|cov1|span3|mirror,8,False
Combined,Set1,Draw5,1,05568,straight,14.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,55068,1.0,straight|cov1|span2|mirror|hot2,8,False
Combined,Set1,Draw3,3,117,boxed,14.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,1,2.0,0.0,3.0,711,2.0,boxed|cov3|span3|vstr2|hot1|perm2,17,False
Combined,Set1,Draw1,5,0113355,straight,14.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,1105533,1.0,straight|cov1|span3|mirror|hot1,8,False
Combined,Set1,Draw1,5,0113558,straight,14.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,8110553,1.0,straight|cov1|span3|mirror|hot1,8,False
Combined,Set1,Draw1,6,01133558,straight,14.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,3.0,81105533,1.0,straight|cov1|span3|mirror,8,False
Combined,Set1,Draw5,2,0336,boxed,14.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,1.0,0336,2.0,boxed|cov3|vstr2|hot2|perm2,8,False
Combined,Set1,Draw2,5,01688,boxed,14.0,"R2,R4,R6",True,False,False,False,False,False,False,False,False,0,3.0,0.0,2.0,01886,1.0,boxed|cov3|span2|mirror|perm3,8,False
Combined,Set1,Draw2,6,01688,boxed,14.0,"R2,R4,R6",True,False,False,False,False,False,False,False,False,0,3.0,0.0,2.0,01886,1.0,boxed|cov3|span2|mirror|perm3,8,False
Combined,Set1,Draw1,5,013355,straight,13.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,105533,1.0,straight|cov1|span3|mirror|hot1,8,False
Combined,Set1,Draw3,4,117,boxed,13.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,0,2.0,0.0,3.0,711,2.0,boxed|cov3|span3|vstr2|perm2,17,False
Combined,Set1,Draw1,5,011355,straight,13.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,110553,1.0,straight|cov1|span3|mirror|hot1,8,False
Combined,Set1,Draw4,3,1177,boxed,13.0,"R4,R6,R8",False,True,False,False,False,False,False,False,False,0,2.0,0.0,2.0,7711,2.0,boxed|cov3|span2|vstr2|perm2,17,False
Combined,Set1,Draw7,1,01336,straight,13.0,"R2,R8",True,True,False,False,False,False,False,False,False,0,1.0,0.0,1.0,01336,2.0,straight|cov2|vstr2|mirror,8,False
Combined,Set3,Draw1,2,1335,boxed,13.0,"R4,R6,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,2.0,5331,1.0,boxed|cov3|span2|hot1|perm3,8,False
Combined,Set3,Draw1,4,133558,boxed,13.0,"R4,R8",True,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,558331,1.0,boxed|cov2|span2|mirror|hot1|perm2,8,False
