section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,23,4,2,0.0,7,1.0,True,True,False,True,133:1,133:3,26.0
Combined,Set1,1,Draw1,4,4,2,0.0,4,1.0,True,False,False,True,558:1,558:2,19.0
Combined,Set1,1,Draw2,21,4,4,0.0,6,1.0,False,False,False,True,1337:1;3677:1;137:1,1337:1;3677:1;371:1,21.0
Combined,Set1,1,Draw2,4,4,2,0.0,4,1.0,True,False,False,True,558:1,558:2,19.0
Combined,Set1,1,Draw2,29,3,2,0.0,6,1.0,True,False,False,False,337:1,337:2,16.0
Combined,Set1,1,Draw2,27,3,2,0.0,4,1.0,True,False,False,False,377:1,773:2,14.0
Combined,Set1,1,Draw2,20,2,1,0.0,6,1.0,True,False,False,False,677:1,677:2,13.0
Combined,Set1,1,Draw2,23,2,1,0.0,6,1.0,True,False,False,False,133:1,133:2,13.0
Combined,Set1,1,Draw3,21,4,4,0.0,5,1.0,False,False,False,True,12337:1;3677:1;1337:1,21337:1;3677:1;1337:1,20.0
Combined,Set1,1,Draw3,4,4,3,0.0,3,1.0,True,False,False,True,0558:1;058:1;558:1,5508:2;508:2;855:1,19.0
Combined,Set1,1,Draw3,29,4,2,0.0,5,1.0,True,False,False,False,337:1;233:1,337:2;332:2,17.0
Combined,Set1,1,Draw3,0,3,2,0.0,5,1.0,True,False,False,False,055:1,550:2,15.0
Combined,Set1,1,Draw3,8,3,3,0.0,4,1.0,False,False,False,False,356:1,536:1,13.0
Combined,Set1,1,Draw3,20,2,1,0.0,5,1.0,True,False,False,False,677:1,677:2,12.0
Combined,Set1,1,Draw3,23,2,1,0.0,5,1.0,True,False,False,False,133:1,133:2,12.0
Combined,Set1,1,Draw3,27,3,2,0.0,4,1.0,False,False,False,False,2337:1;377:1,2337:1;377:1,12.0
Combined,Set1,1,Draw3,7,1,1,0.0,4,1.0,False,False,False,False,5677:1,6775:1,7.0
Combined,Set1,1,Draw3,11,1,1,0.0,4,1.0,False,False,False,False,3577:1;357:1,7753:1;753:1,7.0
Combined,Set1,1,Draw3,10,1,1,0.0,4,1.0,False,False,False,False,577:1,775:1,7.0
Combined,Set1,1,Draw4,8,4,4,0.0,4,1.0,True,False,False,True,05568:1;0356:1;0568:1,086:2;036:2;55086:1,21.0
Combined,Set1,1,Draw4,21,4,4,0.0,4,1.0,False,False,False,True,123377:1;13377:1;1377:1,213377:1;13377:1;3771:1,19.0
Combined,Set1,1,Draw4,29,4,2,0.0,4,1.0,True,False,False,False,3377:1;233:1;337:1,3377:2;332:2;337:2,16.0
Combined,Set1,1,Draw4,20,4,2,0.0,4,1.0,True,False,False,False,177:1;677:1,771:2;677:2,16.0
Combined,Set1,1,Draw4,0,3,2,0.0,4,1.0,True,False,False,False,055:1,550:2,14.0
Combined,Set1,1,Draw4,27,3,2,0.0,3,1.0,True,False,False,False,377:2;23377:1;2337:1,377:3;23377:1;2337:1,13.0
Combined,Set1,1,Draw4,10,2,1,0.0,4,1.0,True,False,False,False,077:1,770:2,11.0
Combined,Set1,1,Draw4,23,2,1,0.0,4,1.0,True,False,False,False,133:1,133:2,11.0
Combined,Set1,1,Draw4,4,2,2,0.0,3,1.0,False,False,False,False,035:1;0558:1;058:1,503:1;5508:1;508:1,9.0
Combined,Set1,1,Draw4,11,2,1,0.0,3,1.0,False,False,False,False,03577:1;0357:1;0377:1,77053:1;7053:1;7703:1,8.0
Combined,Set1,1,Draw4,2,2,1,0.0,3,1.0,False,False,False,False,056:2;0556:1;556:1,506:2;5506:1;655:1,8.0
Combined,Set1,1,Draw4,3,1,1,0.0,4,1.0,False,False,False,False,0577:1;057:1,7705:1;705:1,7.0
Combined,Set1,1,Draw4,7,1,1,0.0,3,1.0,False,False,False,False,05677:1;0677:1,67705:1;6770:1,6.0
Combined,Set1,1,Draw5,21,4,3,0.0,3,1.0,False,False,False,True,13377:1;123377:1;1337:1,13377:1;177332:1;1337:1,17.0
Combined,Set1,1,Draw5,5,3,2,0.0,3,1.0,True,False,False,True,455:1;0455:1;045:1,554:2;5540:1;540:1,16.0
Combined,Set1,1,Draw5,29,4,2,0.0,3,1.0,True,False,False,False,233:1;3377:1;337:1,332:2;3377:1;337:1,15.0
Combined,Set1,1,Draw5,20,4,2,0.0,3,1.0,True,False,False,False,177:1;677:1,771:2;677:2,15.0
Combined,Set1,1,Draw5,8,3,3,0.0,3,1.0,True,False,False,False,0356:1;068:1;036:1,086:2;036:2;5036:1,14.0
Combined,Set1,1,Draw5,0,3,2,0.0,3,1.0,True,False,False,False,055:2,550:3,13.0
Combined,Set1,1,Draw5,30,3,2,0.0,3,1.0,True,False,False,False,2334:1;234:1;233477:1,3324:2;324:2;233477:1,13.0
Combined,Set1,1,Draw5,27,3,2,0.0,3,1.0,False,False,False,False,377:2;23377:1;2337:1,377:2;77332:1;7332:1,11.0
Combined,Set1,1,Draw5,10,2,1,0.0,3,1.0,True,False,False,False,077:1,770:2,10.0
Combined,Set1,1,Draw5,23,2,1,0.0,3,1.0,True,False,False,False,133:1,133:2,10.0
Combined,Set1,1,Draw5,24,3,2,0.0,2,1.0,False,False,False,False,1334:1;468:1;134:1,4133:1;684:1;413:1,10.0
Combined,Set1,1,Draw5,11,2,2,0.0,3,1.0,False,False,False,False,035577:1;03557:1;0377:1,770553:1;70553:1;7703:1,9.0
Combined,Set1,1,Draw5,4,2,2,0.0,3,1.0,False,False,False,False,0355:1;355:1;035:1,5503:1;553:1;503:1,9.0
Combined,Set1,1,Draw5,2,2,1,0.0,3,1.0,False,False,False,False,0556:2;056:2;556:1,5506:2;506:2;655:1,8.0
Combined,Set1,1,Draw5,22,2,1,0.0,3,1.0,False,False,False,False,1477:1;124:1,4771:1;241:1,8.0
Combined,Set1,1,Draw5,3,1,1,0.0,3,1.0,False,False,False,False,0557:2;057:2;05577:1,7055:2;705:2;77055:1,6.0
Combined,Set1,1,Draw5,33,1,1,0.0,3,1.0,False,False,False,False,334:1,334:1,6.0
Combined,Set1,1,Draw5,28,1,1,0.0,3,1.0,False,False,False,False,477:1,477:1,6.0
Combined,Set1,1,Draw5,7,1,1,0.0,2,1.0,False,False,False,False,05677:1;0677:1,67705:1;6770:1,5.0
Combined,Set1,1,Draw5,9,1,1,0.0,1,1.0,False,False,False,False,4556:1;456:1,6455:1;645:1,4.0
Combined,Set1,1,Draw5,14,1,1,0.0,1,1.0,False,False,False,False,048:1,408:1,4.0
Combined,Set1,1,Draw6,8,3,3,0.0,2,1.0,False,False,False,True,0368:2;03668:1;035568:1,0386:2;03866:1;550683:1,14.0
Combined,Set1,1,Draw6,3,4,2,0.0,2,1.0,True,False,False,False,05577:2;0577:2;0557:2,255:2;77055:2;7705:2,14.0
Combined,Set1,1,Draw6,18,4,2,0.0,2,1.0,True,False,False,False,366:2;668:1;1336:1,366:3;668:2;1336:2,14.0
Combined,Set1,1,Draw6,20,4,2,0.0,2,1.0,True,False,False,False,677:3;177:1,677:3;771:2,14.0
Combined,Set1,1,Draw6,23,3,3,0.0,2,1.0,True,False,False,False,368:2;3668:1;3366:1,3366:2;386:2;336:2,13.0
Combined,Set1,1,Draw6,21,4,2,0.0,2,1.0,False,False,False,False,36778:2;3678:2;6778:2,386677:1;38667:1;617733:1,12.0
Combined,Set1,1,Draw6,17,4,2,0.0,2,1.0,False,False,False,False,6677:2;266:2;667:2,6677:2;667:2;266:1,12.0
Combined,Set1,1,Draw6,11,3,2,0.0,2,1.0,False,False,False,False,0355778:2;055778:2;035577:2,8770553:2;877055:2;770553:2,10.0
Combined,Set1,1,Draw6,24,3,2,0.0,2,1.0,False,False,False,False,3468:1;1334:1;346:1,6834:1;4133:1;364:1,10.0
Combined,Set1,1,Draw6,10,2,1,0.0,2,1.0,True,False,False,False,077:2,770:4,9.0
Combined,Set1,1,Draw6,22,3,1,0.0,2,1.0,False,False,False,False,1477:1;2466:1;246:1,4771:1;6624:1;624:1,9.0
Combined,Set1,1,Draw6,14,2,2,0.0,2,1.0,False,False,False,False,03455:1;0345:1;034:1,55403:1;5403:1;403:1,8.0
Combined,Set1,1,Draw6,13,2,2,0.0,2,1.0,False,False,False,False,038:2,038:2,8.0
