section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,0,4,1,0.0,6,1.0,True,True,True,False,499:1,994:4,23.0
Combined,Set1,1,Draw1,25,4,2,0.0,7,1.0,True,False,False,True,11499:1;1499:1;199:1,99411:2;9941:2;199:2,22.0
Combined,Set1,1,Draw1,2,4,1,0.0,1,1.0,True,True,True,True,006:1,006:4,21.0
Combined,Set1,1,Draw1,19,4,1,0.0,7,1.0,True,False,False,False,1199:1;114:1;119:1,1199:2;411:2;119:2,18.0
Combined,Set1,1,Draw2,0,4,1,0.0,6,1.0,True,True,True,False,499:1,994:4,23.0
Combined,Set1,1,Draw2,2,4,1,0.0,1,1.0,True,True,True,True,006:1,006:4,21.0
Combined,Set1,1,Draw2,25,4,2,0.0,6,1.0,True,False,False,True,11499:1;1499:1;199:1,99411:2;9941:2;199:2,21.0
Combined,Set1,1,Draw2,19,4,1,0.0,6,1.0,True,False,False,False,1199:1;114:1;119:1,1199:2;411:2;119:2,17.0
Combined,Set1,1,Draw3,0,4,1,0.0,4,1.0,True,True,True,False,499:1,994:4,21.0
Combined,Set1,1,Draw3,25,4,2,0.0,5,1.0,True,False,False,True,11499:1;1499:1;199:1,99411:2;9941:2;199:2,20.0
Combined,Set1,1,Draw3,9,4,2,0.0,1,1.0,True,True,False,True,046:1,064:3,20.0
Combined,Set1,1,Draw3,22,4,3,0.0,2,1.0,True,False,False,True,129:1,192:2,18.0
Combined,Set1,1,Draw3,19,4,1,0.0,5,1.0,True,False,False,False,1199:1;114:1;119:1,1199:2;411:2;119:2,16.0
Combined,Set1,1,Draw4,0,4,1,0.0,4,1.0,True,True,True,False,499:1,994:4,21.0
Combined,Set1,1,Draw4,22,4,4,0.0,4,1.0,False,False,False,True,12269:1;2467:1;246:1,92216:1;2467:1;246:1,19.0
Combined,Set1,1,Draw4,25,4,2,0.0,4,1.0,True,False,False,True,11499:1;1499:1;199:1,99411:2;9941:2;199:2,19.0
Combined,Set1,1,Draw4,19,4,3,0.0,4,1.0,True,False,False,False,1199:1;114:1;119:1,1199:2;411:2;119:2,17.0
Combined,Set1,1,Draw4,28,3,2,0.0,4,1.0,True,False,False,False,229:1;247:1,922:2;724:1,14.0
Combined,Set1,1,Draw4,20,1,1,0.0,4,1.0,False,False,False,False,226:1,622:1,7.0
Combined,Set1,1,Draw4,17,1,1,0.0,1,1.0,False,False,False,False,126:1,216:1,4.0
Combined,Set1,1,Draw5,12,4,2,0.0,3,1.0,True,False,False,True,259:2;245:2;2259:1,5922:2;5992:2;59924:2,18.0
Combined,Set1,1,Draw5,28,3,1,0.0,3,1.0,True,True,False,False,224:2;2249:1;229:1,224:6;9224:2;922:2,16.0
Combined,Set1,1,Draw5,15,3,1,0.0,3,1.0,True,True,False,False,599:1,599:3,16.0
Combined,Set1,1,Draw5,19,3,2,0.0,3,1.0,True,False,False,False,146:2;1469:2;114:1,411:2;9641:2;996411:1,13.0
Combined,Set1,1,Draw5,22,3,2,0.0,3,1.0,False,False,False,False,2246:2;124:2;269:2,6224:2;241:2;962:2,11.0
Combined,Set1,1,Draw5,6,3,1,0.0,2,1.0,True,False,False,False,016:1;115:1,016:2;115:1,11.0
Combined,Set1,1,Draw5,7,3,2,0.0,3,1.0,False,False,False,False,0226:1;017:1;026:1,2206:1;170:1;206:1,11.0
Combined,Set1,1,Draw5,31,2,1,0.0,3,1.0,True,False,False,False,2499:1;249:1;299:1,9924:2;924:2;992:2,10.0
Combined,Set1,1,Draw5,25,2,1,0.0,3,1.0,True,False,False,False,469:2;699:1;14699:1,996:2;964:2;99641:1,10.0
Combined,Set1,1,Draw5,9,3,1,0.0,3,1.0,False,False,False,False,159:2;5699:1;11599:1,159:2;5996:1;11599:1,10.0
Combined,Set1,1,Draw5,10,2,2,0.0,3,1.0,False,False,False,False,022:1;225:1,220:1;225:1,9.0
Combined,Set1,1,Draw5,17,3,2,0.0,1,1.0,False,False,False,False,167:1;126:1,167:1;162:1,9.0
Combined,Set1,1,Draw5,0,2,2,0.0,1,1.0,False,False,False,False,116:1,116:1,7.0
Combined,Set1,1,Draw5,20,1,1,0.0,3,1.0,False,False,False,False,226:2,622:2,6.0
Combined,Set1,1,Draw6,28,3,1,0.0,2,1.0,True,True,False,True,224:2;2249:1;229:1,224:6;9224:2;922:2,18.0
Combined,Set1,1,Draw6,5,4,2,0.0,2,1.0,True,True,False,False,5599:1;559:1;059:1,5599:3;559:3;590:1,18.0
Combined,Set1,1,Draw6,12,4,2,0.0,2,1.0,True,False,False,True,0224:2;024:2;245:2,55992:2;5922:2;59224:2,17.0
Combined,Set1,1,Draw6,15,3,1,0.0,2,1.0,True,True,False,False,599:1,599:3,15.0
Combined,Set1,1,Draw6,23,3,3,0.0,2,1.0,False,False,False,True,368:1;138:1,386:1;138:1,14.0
Combined,Set1,1,Draw6,19,3,2,0.0,2,1.0,True,False,False,False,146:2;114:1;114699:1,411:2;641:2;996411:1,12.0
Combined,Set1,1,Draw6,9,4,1,0.0,2,1.0,False,False,False,False,014:2;115599:1;0569:1,401:2;115599:1;5906:1,11.0
Combined,Set1,1,Draw6,22,3,2,0.0,2,1.0,False,False,False,False,2246:2;269:2;1124699:1,6224:2;962:2;9924116:1,10.0
Combined,Set1,1,Draw6,18,3,2,0.0,2,1.0,False,False,False,False,1368:1;168:1,1386:1;681:1,10.0
Combined,Set1,1,Draw6,7,3,2,0.0,2,1.0,False,False,False,False,0226:1;017:1;026:1,2206:1;170:1;206:1,10.0
Combined,Set1,1,Draw6,31,2,1,0.0,2,1.0,True,False,False,False,2499:1;249:1;299:1,9924:2;924:2;992:2,9.0
Combined,Set1,1,Draw6,25,2,1,0.0,2,1.0,True,False,False,False,699:1;14699:1;4699:1,996:2;99641:1;9964:1,9.0
Combined,Set1,1,Draw6,8,3,2,0.0,1,1.0,False,False,False,False,01368:1;0138:1;0368:1,01386:1;0138:1;0683:1,9.0
Combined,Set1,1,Draw6,21,3,1,0.0,1,1.0,False,False,False,False,13678:1;12368:1;22368:1,13867:1;18362:1;83622:1,8.0
Combined,Set1,1,Draw6,6,2,2,0.0,2,1.0,False,False,False,False,016:1;1155:1;115:1,016:1;1155:1;115:1,8.0
Combined,Set1,1,Draw6,30,2,1,0.0,2,1.0,False,False,False,False,3478:1;2234:1;347:1,8347:1;3224:1;347:1,7.0
Combined,Set1,1,Draw6,0,2,2,0.0,1,1.0,False,False,False,False,116:1,116:1,7.0
Combined,Set1,1,Draw6,11,1,1,0.0,2,1.0,False,False,False,False,02237:1;0237:1;0223:1,70322:1;7032:1;0322:1,5.0
Combined,Set1,1,Draw6,24,1,1,0.0,2,1.0,False,False,False,False,3468:1,6834:1,5.0
Combined,Set1,1,Draw6,2,1,1,0.0,2,1.0,False,False,False,False,015:1;155:1,105:1;155:1,5.0
Combined,Set1,1,Draw6,33,1,1,0.0,2,1.0,False,False,False,False,348:1,834:1,5.0
Combined,Set1,1,Draw6,10,1,1,0.0,2,1.0,False,False,False,False,225:1;022:1,225:1;220:1,5.0
Combined,Set1,1,Draw6,20,1,1,0.0,2,1.0,False,False,False,False,226:2,622:2,5.0
Combined,Set1,1,Draw6,3,1,1,0.0,2,1.0,False,False,False,False,255:1,255:1,5.0
Combined,Set1,1,Draw6,27,1,1,0.0,2,1.0,False,False,False,False,223:1,322:1,5.0
Combined,Set1,1,Draw7,28,4,2,0.0,1,0.0,True,True,False,True,224:3;2249:3;229:3,224:9;9224:4;922:4,19.0
Combined,Set1,1,Draw7,5,4,1,0.0,1,0.0,True,True,False,True,559:2;455:2;5599:1,559:6;5599:3;455:2,18.0
Combined,Set1,1,Draw7,15,3,1,0.0,1,0.0,True,True,False,False,599:1,599:3,13.0
Combined,Set1,1,Draw7,23,3,3,0.0,1,0.0,False,False,False,True,368:2;138:2,386:2;138:2,12.0
Combined,Set1,1,Draw7,12,4,2,0.0,1,0.0,True,False,False,False,02249:2;2559:2;0224:2,55992:2;5992:2;92240:2,12.0
Combined,Set1,1,Draw7,18,4,2,0.0,1,0.0,True,False,False,False,168:3;1368:2;668:1,866:2;1386:2;681:2,12.0
Combined,Set1,1,Draw7,20,4,2,0.0,1,0.0,False,False,False,False,226:3;2266:1;177:1,622:3;6622:1;771:1,10.0
Combined,Set1,1,Draw7,19,3,1,0.0,1,0.0,True,False,False,False,114:1;6699:1;1199:1,411:2;9966:1;1199:1,9.0
Combined,Set1,1,Draw7,10,3,1,0.0,1,0.0,True,False,False,False,225:2;077:1,770:2;225:2,9.0
Combined,Set1,1,Draw7,9,4,1,0.0,1,0.0,False,False,False,False,014:2;069:2;019:2,401:2;906:2;019:2,9.0
Combined,Set1,1,Draw7,24,3,2,0.0,1,0.0,False,False,False,False,13689:2;3468:2;1389:2,19836:2;6834:2;1983:2,8.0
Combined,Set1,1,Draw7,31,2,1,0.0,1,0.0,True,False,False,False,22499:1;299:1,99224:2;992:2,7.0
Combined,Set1,1,Draw7,22,3,1,0.0,1,0.0,False,False,False,False,2246:3;1122499:1;122499:1,6224:3;9922411:1;992241:1,7.0
Combined,Set1,1,Draw7,21,3,1,0.0,1,0.0,False,False,False,False,22368:2;2368:2;2236:2,83622:2;8362:2;3622:2,7.0
Combined,Set1,1,Draw7,8,3,1,0.0,1,0.0,False,False,False,False,01368:2;0138:2;0368:2,01386:2;0138:2;0683:2,7.0
Combined,Set1,1,Draw7,7,2,2,0.0,1,0.0,False,False,False,False,0177:1;017:1,1770:1;701:1,6.0
Combined,Set1,1,Draw7,30,2,1,0.0,1,0.0,False,False,False,False,22349:2;2239:2;2234:2,93224:2;9322:2;3224:2,5.0
Combined,Set1,1,Draw7,33,2,1,0.0,1,0.0,False,False,False,False,348:2;389:2,834:2;983:2,5.0
Combined,Set1,1,Draw7,25,2,1,0.0,1,0.0,False,False,False,False,699:1;199:1,996:1;199:1,5.0
Combined,Set1,1,Draw7,2,1,1,0.0,1,0.0,False,False,False,False,015:1;155:1,105:1;155:1,3.0
Combined,Set1,1,Draw7,6,1,1,0.0,1,0.0,False,False,False,False,1155:1;115:1,1155:1;115:1,3.0
Combined,Set1,1,Draw7,3,1,1,0.0,1,0.0,False,False,False,False,255:2,255:2,3.0
Combined,Set1,1,Draw7,27,1,1,0.0,1,0.0,False,False,False,False,223:2,322:2,3.0
Combined,Set1,1,Draw7,34,1,1,0.0,1,0.0,False,False,False,False,899:1,998:1,3.0
Combined,Set1,1,Draw7,17,1,1,0.0,1,0.0,False,False,False,False,266:1,662:1,3.0
Combined,Set1,1,Draw7,14,1,1,0.0,1,0.0,False,False,False,False,039:1,093:1,3.0
Combined,Set1,2,Draw1,0,4,2,0.0,6,1.0,True,True,True,False,499:1;449:1;4499:1,994:4;944:4;9944:4,24.0
Combined,Set1,2,Draw1,25,4,2,0.0,7,1.0,True,False,False,False,114499:1;14499:1;11449:1,994411:2;99441:2;94411:2,19.0
Combined,Set1,2,Draw1,19,4,1,0.0,7,1.0,True,False,False,False,1199:1;1144:1;114:1,1199:2;4411:2;411:2,18.0
Combined,Set1,2,Draw1,22,4,2,0.0,5,1.0,True,False,False,False,124:1,241:2,17.0
Combined,Set1,2,Draw2,0,4,2,0.0,6,1.0,True,True,True,False,499:1;449:1;4499:1,994:4;944:4;9944:4,24.0
Combined,Set1,2,Draw2,25,4,2,0.0,6,1.0,True,False,False,False,114499:1;14499:1;11449:1,994411:2;99441:2;94411:2,18.0
Combined,Set1,2,Draw2,19,4,1,0.0,6,1.0,True,False,False,False,1199:1;1144:1;114:1,1199:2;4411:2;411:2,17.0
Combined,Set1,2,Draw2,22,4,2,0.0,4,1.0,True,False,False,False,124:1,241:2,16.0
Combined,Set1,2,Draw3,0,4,2,0.0,4,1.0,True,True,True,False,499:1;449:1;4499:1,994:4;944:4;9944:4,22.0
Combined,Set1,2,Draw3,31,4,2,0.0,4,1.0,True,True,False,False,249:1,924:3,20.0
Combined,Set1,2,Draw3,19,4,3,0.0,5,1.0,True,False,False,False,1199:1;1144:1;114:1,1199:2;4411:2;411:2,18.0
Combined,Set1,2,Draw3,22,4,3,0.0,4,1.0,True,False,False,False,1249:1;129:1;124:1,1924:2;192:2;241:1,17.0
Combined,Set1,2,Draw3,25,4,2,0.0,5,1.0,True,False,False,False,114499:1;14499:1;11449:1,994411:2;99441:2;94411:2,17.0
Combined,Set1,2,Draw4,28,4,2,0.0,4,1.0,True,True,False,False,224:1;229:1;2249:1,224:3;922:2;9224:2,20.0
Combined,Set1,2,Draw4,34,3,1,0.0,3,1.0,True,True,False,False,344:1;344899:1;34899:1,344:3;998344:2;99834:2,16.0
Combined,Set1,2,Draw4,24,4,4,0.0,3,1.0,False,False,False,False,11344899:1;1134499:1;1134489:1,99441138:1;9944113:1;9441138:1,15.0
Combined,Set1,2,Draw4,19,4,1,0.0,4,1.0,True,False,False,False,1199:1;1144:1;114:1,1199:2;4411:2;411:2,15.0
Combined,Set1,2,Draw4,25,4,1,0.0,4,1.0,True,False,False,False,199:1;114499:1;144:1,199:2;441:2;994411:1,15.0
Combined,Set1,2,Draw4,22,4,2,0.0,4,1.0,False,False,False,False,124:2;12249:1;2466:1,241:2;92241:1;2664:1,14.0
Combined,Set1,2,Draw4,0,3,2,0.0,4,1.0,True,False,False,False,166:1;499:1;4499:1,166:2;994:1;9944:1,14.0
Combined,Set1,2,Draw4,17,4,3,0.0,3,1.0,False,False,False,False,1667:1;266:1;667:1,1667:1;266:1;667:1,14.0
Combined,Set1,2,Draw4,33,2,1,0.0,3,1.0,True,False,False,False,3899:1;389:1;3489:1,9983:2;983:2;9834:2,10.0
Combined,Set1,2,Draw4,18,2,2,0.0,3,1.0,False,False,False,False,168:1;1138:1;113:1,186:1;1138:1;113:1,9.0
Combined,Set1,2,Draw4,20,2,1,0.0,4,1.0,False,False,False,False,226:1;127:1,622:1;172:1,9.0
Combined,Set1,2,Draw4,23,1,1,0.0,2,1.0,False,False,False,False,138:1,138:1,5.0
Combined,Set1,2,Draw4,21,1,1,0.0,1,1.0,False,False,False,False,268:1,862:1,4.0
Combined,Set1,2,Draw5,15,4,1,0.0,3,1.0,True,True,False,False,445:2;599:1,599:3;445:2,18.0
Combined,Set1,2,Draw5,28,3,1,0.0,3,1.0,True,True,False,False,224:2;2244:1;2249:1,224:6;2244:3;9224:2,16.0
Combined,Set1,2,Draw5,31,3,1,0.0,3,1.0,True,True,False,False,244:2;22449:1;2499:1,244:6;92244:2;9924:1,16.0
Combined,Set1,2,Draw5,12,4,2,0.0,3,1.0,True,False,False,False,259:2;2445:2;2259:1,5922:2;59224:2;592:2,15.0
Combined,Set1,2,Draw5,6,4,1,0.0,2,1.0,True,False,False,False,011:1;115:1;066:1,011:2;115:1;066:1,13.0
Combined,Set1,2,Draw5,19,3,1,0.0,3,1.0,True,False,False,False,1144:1;114:1;1199:1,4411:2;411:2;1199:1,12.0
Combined,Set1,2,Draw5,25,3,1,0.0,3,1.0,True,False,False,False,144:2;699:1;199:1,441:4;996:1;199:1,12.0
Combined,Set1,2,Draw5,17,4,2,0.0,2,1.0,False,False,False,False,1667:1;117:1;1167:1,1667:1;711:1;6117:1,12.0
Combined,Set1,2,Draw5,23,3,3,0.0,2,1.0,False,False,False,False,368:1;138:1,386:1;138:1,11.0
Combined,Set1,2,Draw5,0,3,2,0.0,1,1.0,True,False,False,False,116:1;166:1,116:2;166:2,11.0
Combined,Set1,2,Draw5,7,3,2,0.0,3,1.0,False,False,False,False,0226:1;02266:1;0117:1,2206:1;22066:1;1170:1,11.0
Combined,Set1,2,Draw5,24,3,2,0.0,2,1.0,False,False,False,False,689:2;1134468:1;113448:1,968:2;4411386:1;441138:1,10.0
Combined,Set1,2,Draw5,22,3,1,0.0,3,1.0,False,False,False,False,2246:2;1244:2;1124499:1,6224:2;2441:2;9924411:1,10.0
Combined,Set1,2,Draw5,9,3,1,0.0,3,1.0,False,False,False,False,159:2;5699:1;11599:1,159:2;5996:1;11599:1,10.0
Combined,Set1,2,Draw5,10,2,2,0.0,3,1.0,False,False,False,False,022:1;225:1,220:1;225:1,9.0
Combined,Set1,2,Draw5,34,3,1,0.0,2,1.0,False,False,False,False,344:1;399:1;899:1,344:1;993:1;998:1,9.0
Combined,Set1,2,Draw5,18,2,2,0.0,2,1.0,False,False,False,False,168:2;11368:1;1138:1,11386:1;186:1;1138:1,8.0
Combined,Set1,2,Draw5,33,2,1,0.0,2,1.0,False,False,False,False,3448:1;3899:1;348:1,8344:1;9983:1;834:1,7.0
Combined,Set1,2,Draw5,20,1,1,0.0,3,1.0,False,False,False,False,226:2;2266:1,622:2;6622:1,6.0
Combined,Set1,2,Draw5,30,1,1,0.0,2,1.0,False,False,False,False,234499:1;23499:1;23449:1,993244:1;99324:1;93244:1,5.0
Combined,Set1,2,Draw5,21,1,1,0.0,2,1.0,False,False,False,False,2368:1;236:1;268:1,8362:1;362:1;862:1,5.0
Combined,Set1,2,Draw5,14,1,1,0.0,2,1.0,False,False,False,False,3599:1,5993:1,5.0
Combined,Set1,2,Draw5,8,1,1,0.0,1,1.0,False,False,False,False,11568:1;1158:1,68115:1;8115:1,4.0
Combined,Set1,2,Draw6,5,4,2,0.0,2,0.0,True,True,False,False,5599:1;559:1;059:1,5599:3;559:3;590:1,17.0
Combined,Set1,2,Draw6,15,4,1,0.0,2,0.0,True,True,False,False,445:2;599:1;044:1,599:3;445:2;440:1,16.0
Combined,Set1,2,Draw6,28,3,1,0.0,2,0.0,True,True,False,False,224:2;2244:1;2249:1,224:6;2244:3;9224:1,14.0
Combined,Set1,2,Draw6,31,3,1,0.0,2,0.0,True,True,False,False,244:2;22449:1;2499:1,244:6;92244:1;9924:1,14.0
Combined,Set1,2,Draw6,18,4,2,0.0,2,0.0,True,False,False,False,1368:3;168:3;11368:2,1386:3;681:3;668:2,13.0
Combined,Set1,2,Draw6,6,4,1,0.0,2,0.0,True,False,False,False,011:1;1155:1;115:1,011:2;1155:1;115:1,12.0
Combined,Set1,2,Draw6,23,3,3,0.0,2,0.0,False,False,False,False,368:3;138:3;3668:1,386:3;138:3;3866:1,10.0
Combined,Set1,2,Draw6,19,3,1,0.0,2,0.0,True,False,False,False,1144:1;114:1;1199:1,4411:2;411:2;1199:1,10.0
Combined,Set1,2,Draw6,25,3,1,0.0,2,0.0,True,False,False,False,144:2;699:1;199:1,441:3;996:1;199:1,10.0
Combined,Set1,2,Draw6,9,4,1,0.0,2,0.0,False,False,False,False,014:2;115599:1;0569:1,401:2;115599:1;5906:1,10.0
Combined,Set1,2,Draw6,8,4,2,0.0,1,0.0,False,False,False,False,01138:1;01368:1;11568:1,01138:1;01386:1;68115:1,10.0
Combined,Set1,2,Draw6,17,4,2,0.0,1,0.0,False,False,False,False,117:1;667:1;266:1,711:1;667:1;662:1,10.0
Combined,Set1,2,Draw6,24,3,2,0.0,2,0.0,False,False,False,False,3468:3;134468:2;34468:2,6834:3;683441:2;68344:2,9.0
Combined,Set1,2,Draw6,12,3,2,0.0,2,0.0,False,False,False,False,2445:2;22459:1;25599:1,2445:2;59224:1;55992:1,9.0
Combined,Set1,2,Draw6,7,3,2,0.0,2,0.0,False,False,False,False,0226:1;02266:1;0117:1,2206:1;22066:1;1170:1,9.0
Combined,Set1,2,Draw6,22,3,1,0.0,2,0.0,False,False,False,False,2246:2;1124499:1;124499:1,6224:2;9924411:1;992441:1,8.0
Combined,Set1,2,Draw6,21,3,1,0.0,1,0.0,False,False,False,False,2368:2;236:2;11223668:1,8362:2;362:2;11836622:1,7.0
Combined,Set1,2,Draw6,34,3,1,0.0,1,0.0,False,False,False,False,344:2;399:1;899:1,344:2;993:1;998:1,7.0
Combined,Set1,2,Draw6,30,2,1,0.0,2,0.0,False,False,False,False,2234:2;239:2;234499:1,3224:2;932:2;993244:1,6.0
Combined,Set1,2,Draw6,33,2,1,0.0,2,0.0,False,False,False,False,348:3;3448:2;389:2,834:3;8344:2;983:2,6.0
Combined,Set1,2,Draw6,11,1,1,0.0,2,0.0,False,False,False,False,02237:1;0237:1;0223:1,70322:1;7032:1;0322:1,4.0
Combined,Set1,2,Draw6,2,1,1,0.0,2,0.0,False,False,False,False,015:1;155:1,105:1;155:1,4.0
Combined,Set1,2,Draw6,10,1,1,0.0,2,0.0,False,False,False,False,225:1;022:1,225:1;220:1,4.0
Combined,Set1,2,Draw6,20,1,1,0.0,2,0.0,False,False,False,False,226:2;2266:1,622:2;6622:1,4.0
Combined,Set1,2,Draw6,3,1,1,0.0,2,0.0,False,False,False,False,255:1,255:1,4.0
Combined,Set1,2,Draw6,27,1,1,0.0,2,0.0,False,False,False,False,223:2,322:2,4.0
Combined,Set1,2,Draw6,14,1,1,0.0,1,0.0,False,False,False,False,3599:1,5993:1,3.0
Combined,Set1,3,Draw1,0,4,2,0.0,6,1.0,True,True,True,False,499:1;449:1;4499:1,994:4;944:4;9944:4,24.0
Combined,Set1,3,Draw1,18,4,3,0.0,5,1.0,True,False,False,False,1366:1;136:1;366:1,1366:2;136:2;366:2,18.0
Combined,Set1,3,Draw1,22,4,4,0.0,5,1.0,False,False,False,False,11447799:1;11246:1;114477:1,99441177:1;24116:1;441177:1,17.0
Combined,Set1,3,Draw1,17,4,2,0.0,5,1.0,True,False,False,False,1177:1;117:1;1126:1,1177:2;117:2;6112:1,17.0
Combined,Set1,3,Draw1,20,4,2,0.0,5,1.0,True,False,False,False,177:1,177:2,17.0
Combined,Set1,3,Draw1,19,3,2,0.0,7,1.0,True,False,False,False,114:2;1199:1;1144:1,411:3;1199:1;4411:1,17.0
Combined,Set1,3,Draw1,25,2,2,0.0,7,1.0,False,False,False,False,114499:1;14499:1;11449:1,994411:1;99441:1;94411:1,13.0
Combined,Set1,3,Draw1,31,2,2,0.0,5,1.0,False,False,False,False,447799:1;4477:1;44799:1,994477:1;4477:1;99447:1,11.0
Combined,Set1,3,Draw1,28,2,1,0.0,5,1.0,False,False,False,False,7799:1;477:1;779:1,7799:1;477:1;779:1,10.0
Combined,Set1,3,Draw2,0,4,2,0.0,6,1.0,True,True,True,False,499:1;449:1;4499:1,994:4;944:4;9944:4,24.0
Combined,Set1,3,Draw2,18,4,3,0.0,4,1.0,True,False,False,False,1366:1;136:1;366:1,1366:2;136:2;366:2,17.0
Combined,Set1,3,Draw2,22,4,4,0.0,4,1.0,False,False,False,False,11447799:1;11246:1;114477:1,99441177:1;24116:1;441177:1,16.0
Combined,Set1,3,Draw2,17,4,2,0.0,4,1.0,True,False,False,False,1177:1;117:1;1126:1,1177:2;117:2;6112:1,16.0
Combined,Set1,3,Draw2,20,4,2,0.0,4,1.0,True,False,False,False,177:1,177:2,16.0
Combined,Set1,3,Draw2,19,3,2,0.0,6,1.0,True,False,False,False,114:2;1199:1;1144:1,411:3;1199:1;4411:1,16.0
Combined,Set1,3,Draw2,25,2,2,0.0,6,1.0,False,False,False,False,114499:1;14499:1;11449:1,994411:1;99441:1;94411:1,12.0
Combined,Set1,3,Draw2,31,2,2,0.0,4,1.0,False,False,False,False,447799:1;44799:1;4477:1,994477:1;99447:1;4477:1,10.0
Combined,Set1,3,Draw2,28,2,1,0.0,4,1.0,False,False,False,False,477:1;7799:1;779:1,477:1;7799:1;779:1,9.0
Combined,Set1,3,Draw3,0,4,2,0.0,4,1.0,True,True,True,False,499:1;449:1;4499:1,994:4;944:4;9944:4,22.0
Combined,Set1,3,Draw3,19,4,2,0.0,5,1.0,True,False,False,False,1199:2;114:2;119:2,1199:3;411:3;119:3,17.0
Combined,Set1,3,Draw3,25,4,2,0.0,5,1.0,True,False,False,False,199:2;114499:1;699:1,199:3;996:2;994411:1,17.0
Combined,Set1,3,Draw3,22,4,4,0.0,4,1.0,False,False,False,False,1124699:1;11447799:1;112499:1,9924116:1;99441177:1;992411:1,16.0
Combined,Set1,3,Draw3,18,4,3,0.0,3,1.0,True,False,False,False,13668:1;1368:1;668:1,668:2;13866:1;1386:1,16.0
Combined,Set1,3,Draw3,24,4,4,0.0,3,1.0,False,False,False,False,134668:1;13468:1;1348:1,413866:1;41386:1;4138:1,15.0
Combined,Set1,3,Draw3,17,4,2,0.0,3,1.0,True,False,False,False,1177:1;117:1,1177:2;117:2,15.0
Combined,Set1,3,Draw3,20,4,2,0.0,3,1.0,True,False,False,False,177:1,177:2,15.0
Combined,Set1,3,Draw3,31,3,2,0.0,4,1.0,True,False,False,False,2499:1;249:1;299:1,9924:2;924:2;992:2,14.0
Combined,Set1,3,Draw3,23,4,3,0.0,3,1.0,False,False,False,False,3668:1;138:1;368:1,3866:1;138:1;386:1,14.0
Combined,Set1,3,Draw3,28,2,1,0.0,3,1.0,False,False,False,False,7799:1;477:1;779:1,7799:1;477:1;779:1,8.0
Combined,Set1,3,Draw3,33,1,1,0.0,3,1.0,False,False,False,False,348:1,834:1,6.0
Combined,Set1,3,Draw4,28,4,2,0.0,4,0.0,True,True,False,False,224:1;229:1;2249:1,224:3;922:2;9224:2,19.0
Combined,Set1,3,Draw4,34,3,1,0.0,3,0.0,True,True,False,False,899:2;344:1;344899:1,344:3;998:3;998344:2,15.0
Combined,Set1,3,Draw4,18,4,2,0.0,3,0.0,True,False,False,False,668:2;168:2;1668:2,866:2;668:2;11866:1,14.0
Combined,Set1,3,Draw4,17,4,2,0.0,3,0.0,True,False,False,False,266:2;1177:1;117:1,7711:2;711:2;266:1,14.0
Combined,Set1,3,Draw4,19,4,1,0.0,4,0.0,True,False,False,False,1199:2;114:2;119:2,1199:3;411:3;119:3,14.0
Combined,Set1,3,Draw4,25,4,1,0.0,4,0.0,True,False,False,False,199:2;114499:1;14499:1,199:3;994411:1;99441:1,14.0
Combined,Set1,3,Draw4,22,4,2,0.0,4,0.0,False,False,False,False,124:2;1122499:1;122499:1,241:2;9922411:1;992241:1,13.0
Combined,Set1,3,Draw4,20,3,2,0.0,4,0.0,True,False,False,False,177:1;226:1;2266:1,771:2;622:1;6622:1,13.0
Combined,Set1,3,Draw4,21,4,3,0.0,2,0.0,False,False,False,False,1378:2;2668:2;136678:1,138667:1;26683:1;183662:1,12.0
Combined,Set1,3,Draw4,24,4,2,0.0,3,0.0,False,False,False,False,11899:2;1899:2;11344899:1,1998:2;99441138:1;6681199:1,12.0
Combined,Set1,3,Draw4,31,3,2,0.0,2,0.0,True,False,False,False,22499:1;299:1;4477:1,99224:2;992:2;4477:1,11.0
Combined,Set1,3,Draw4,23,3,3,0.0,2,0.0,False,False,False,False,138:2;3668:1;368:1,138:2;3866:1;386:1,10.0
