section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,0,4,2,0.0,7,1.0,True,False,False,True,055:1,550:2,22.0
Combined,Set1,1,Draw1,2,4,1,0.0,1,1.0,True,True,True,True,001:1,001:4,21.0
Combined,Set1,1,Draw1,15,4,2,0.0,5,1.0,True,True,False,False,459:1,594:3,21.0
Combined,Set1,1,Draw1,12,4,3,0.0,1,1.0,True,False,False,True,4579:1;579:1,5947:2;759:1,17.0
Combined,Set1,1,Draw1,31,3,2,0.0,1,1.0,True,False,False,False,479:1,947:2,11.0
Combined,Set1,1,Draw2,0,4,1,0.0,6,1.0,True,True,True,False,449:1;055:1,944:4;055:1,23.0
Combined,Set1,1,Draw2,15,4,2,0.0,6,1.0,True,True,False,False,4459:1;459:1;445:1,5944:3;594:3;445:1,22.0
Combined,Set1,1,Draw2,5,4,2,0.0,6,1.0,True,True,False,False,559:1;0559:1;059:1,559:3;5590:2;590:2,22.0
Combined,Set1,1,Draw2,9,4,3,0.0,4,1.0,True,False,False,True,01559:1;0159:1;019:1,55901:2;5901:2;901:2,20.0
Combined,Set1,1,Draw2,2,4,3,0.0,2,1.0,True,False,False,True,015:2;0155:1,501:2;1055:1;105:1,18.0
Combined,Set1,1,Draw2,31,3,1,0.0,6,1.0,True,False,False,False,447:1;479:1,447:2;794:1,15.0
Combined,Set1,1,Draw2,12,1,1,0.0,1,1.0,False,False,False,False,4579:1;579:1,7594:1;759:1,4.0
Combined,Set1,1,Draw3,15,4,4,0.0,5,1.0,True,True,False,False,599:1;04459:1;4459:1,599:3;5944:2;594:2,23.0
Combined,Set1,1,Draw3,5,4,2,0.0,5,1.0,True,True,False,False,5599:1;559:1;05599:1,5599:3;559:3;55990:2,21.0
Combined,Set1,1,Draw3,0,4,2,0.0,5,1.0,True,True,False,False,055:2;449:1,944:3;550:2;055:1,21.0
Combined,Set1,1,Draw3,9,4,3,0.0,2,1.0,True,False,False,True,015599:1;0199:1;019:1,559901:2;9901:2;901:2,18.0
