section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Combined,Set1,Draw1,1,2249,boxed,32.0,"R2,R4,R6,R8",True,True,True,False,False,False,False,True,False,2,2.0,0.0,7.0,9224,3.0,boxed|cov4|span7|vstr2|vstr3|mirror|hot2|dom_last|perm2
Combined,Set1,Draw1,4,22499,boxed,29.0,"R2,R4,R6,R8",True,True,True,False,True,False,False,False,False,1,2.0,0.0,5.0,99224,3.0,boxed|cov4|span5|vstr2|vstr3|mirror|cons_full|hot1|perm2
Combined,Set1,Draw1,4,224499,boxed,29.0,"R2,R4,R6,R8",True,True,True,False,True,False,False,False,False,1,2.0,0.0,4.0,992244,3.0,boxed|cov4|span4|vstr2|vstr3|mirror|cons_full|hot1|perm2
Combined,Set1,Draw1,4,2249,straight,29.0,"R2,R6,R8",True,True,True,False,True,False,False,False,False,1,1.0,0.0,7.0,9224,3.0,straight|cov3|span7|vstr2|vstr3|mirror|cons_full|hot1
Combined,Set2,Draw1,1,022,straight,28.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,1.0,0.0,1.0,022,4.0,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set1,Draw1,4,229,boxed,28.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,2.0,0.0,7.0,922,3.0,boxed|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v|perm2
Combined,Set1,Draw1,4,2299,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,True,False,False,False,False,1,2.0,0.0,5.0,9922,3.0,boxed|cov4|span5|vstr2|vstr3|cons_full|hot1|perm2
Combined,Set1,Draw1,4,22449,straight,27.0,"R2,R6,R8",True,True,True,False,True,False,False,False,False,1,1.0,0.0,4.0,92244,3.0,straight|cov3|span4|vstr2|vstr3|mirror|cons_full|hot1
Combined,Set1,Draw1,4,224,straight,27.0,"R2,R6,R8",False,True,True,False,True,True,False,False,False,1,1.0,0.0,7.0,224,3.0,straight|cov3|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Combined,Set1,Draw1,2,2249,boxed,27.0,"R2,R4,R6,R8",True,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,9224,3.0,boxed|cov4|span7|vstr2|vstr3|mirror|hot2|perm2
Combined,Set1,Draw1,1,229,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,7.0,922,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw2,1,2249,straight,27.0,"R2,R6,R8",True,True,True,False,False,False,False,False,False,2,1.0,0.0,6.0,9224,3.0,straight|cov3|span6|vstr2|vstr3|mirror|hot2
Combined,Set1,Draw2,1,2599,boxed,27.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,6.0,5992,2.0,boxed|cov4|span6|vstr2|hot2|dom_last|perm3
Combined,Set3,Draw1,1,778,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,1,2.0,0.0,5.0,877,3.0,boxed|cov4|span5|vstr2|vstr3|hot1|dom_last|perm2
