section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set2,Draw1,4,189,boxed,14.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,4.0,918,1.0,boxed|cov3|span4|hot1|perm3,24,False
Combined,Set1,Draw5,1,3469,straight,12.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,9634,1.0,straight|cov1|mirror|hot2,24,False
Combined,Set1,Draw2,6,344699,straight,11.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,996344,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw2,5,344699,straight,11.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,996344,1.0,straight|cov1|span2|mirror,24,False
Combined,Set1,Draw5,2,3468,boxed,11.0,"R2,R4",True,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,4386,1.0,boxed|cov2|mirror|hot2|perm2,24,False
Combined,Set1,Draw5,1,346,boxed,11.0,"R2,R4",False,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,436,1.0,boxed|cov2|hot2|perm2,24,False
Combined,Set1,Draw5,2,3689,boxed,11.0,"R4,R8",True,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,9683,1.0,boxed|cov2|mirror|hot2|perm2,24,False
Combined,Set1,Draw5,1,369,boxed,11.0,"R4,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,963,1.0,boxed|cov2|hot2|perm2,24,False
Combined,Set1,Draw3,3,34699,straight,11.0,R4,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,99634,1.0,straight|cov1|span2|mirror|hot1,24,False
Combined,Set1,Draw5,3,336899,boxed,11.0,"R4,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,1.0,996833,1.0,boxed|cov2|mirror|perm2,24,False
