section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw4,11,4,3,0.0,4,1.0,True,False,False,True,02788:1;0788:1;0288:1,20887:2;0887:2;2088:2,20.0
Combined,Set1,2,Draw2,11,4,3,0.0,3,1.0,True,False,False,False,027788:1;07788:1;02788:1,208877:2;08877:2;20887:2,16.0
Combined,Set1,2,Draw4,11,4,3,0.0,4,1.0,False,False,False,False,0788:2;02788:2;0288:2,0887:2;2088:2;208:2,15.0
Combined,Set1,2,Draw3,11,4,3,0.0,2,1.0,True,False,False,False,027788:1;07788:1;02788:1,208877:2;08877:2;20887:2,15.0
Combined,Set1,4,Draw2,11,4,4,0.0,3,1.0,False,False,False,False,02335578:1;03378:1;0335578:1,55203387:1;03387:1;5508337:1,15.0
Combined,Set1,3,Draw2,11,4,3,0.0,3,1.0,False,False,False,False,23358:1;2335:1;027788:1,52338:1;5233:1;208877:1,14.0
Combined,Set1,3,Draw4,11,3,2,0.0,4,0.0,False,False,False,False,0788:1;023388:1;023588:1,8870:1;088332:1;250883:1,11.0
Combined,Set3,6,Draw1,11,4,2,0.0,2,0.0,False,False,False,False,002357:1;00235:1;00357:1,250037:1;25003:1;50037:1,11.0
Combined,Set1,4,Draw3,11,3,2,0.0,3,0.0,False,False,False,False,02335578:1;0335578:1;0233557:1,87055332:1;8705533:1;7055332:1,10.0
Combined,Set1,5,Draw2,11,3,2,0.0,3,0.0,False,False,False,False,02335578:1;0335578:1;0233557:1,87055332:1;8705533:1;7055332:1,10.0
Combined,Set1,4,Draw4,11,2,1,0.0,4,0.0,False,False,False,False,023388:1;0788:1;003557:1,088332:1;8870:1;700553:1,8.0
Combined,Set1,5,Draw3,11,2,2,0.0,3,0.0,False,False,False,False,02335578:1;0335578:1;0233557:1,87055332:1;8705533:1;7055332:1,8.0
Combined,Set1,3,Draw3,11,2,1,0.0,3,1.0,False,False,False,False,23358:1;2335:1;0288:1,25833:1;5332:1;2088:1,8.0
Combined,Set1,5,Draw2,22,2,1,0.0,3,0.0,False,False,False,False,147:1;1147:1;246:1,471:1;4711:1;624:1,7.0
Combined,Set1,1,Draw5,11,2,1,0.0,2,1.0,False,False,False,False,02788:2;0288:2;0788:2,20887:2;2088:2;0887:2,7.0
Combined,Set1,2,Draw5,11,2,1,0.0,2,1.0,False,False,False,False,00357:1;02288:1;0228:1,70053:1;22088:1;2208:1,7.0
Combined,Set1,6,Draw2,22,2,1,0.0,3,0.0,False,False,False,False,147:1;1147:1;1477:1,471:1;4711:1;4771:1,7.0
Combined,Set2,4,Draw1,11,2,2,0.0,1,1.0,False,False,False,False,037:1,037:1,7.0
Combined,Set1,5,Draw3,22,2,1,0.0,3,0.0,False,False,False,False,1477:2;11477:1;2466:1,4771:2;47711:1;6624:1,7.0
Combined,Set2,5,Draw1,11,2,2,0.0,2,0.0,False,False,False,False,0235:1;0357:1;235:1,2503:1;7053:1;532:1,7.0
Combined,Set1,3,Draw5,22,2,1,0.0,3,0.0,False,False,False,False,1477:2;11477:1;1147:1,4771:2;47711:1;4711:1,7.0
Combined,Set1,1,Draw6,11,2,1,0.0,1,1.0,False,False,False,False,0288:2;028:2;02288:1,2088:2;208:2;22088:1,6.0
Combined,Set1,2,Draw5,22,1,1,0.0,3,1.0,False,False,False,False,1477:1;1147:1;147:1,4771:1;4711:1;471:1,6.0
Combined,Set1,1,Draw5,22,1,1,0.0,3,1.0,False,False,False,False,1477:1,4771:1,6.0
Combined,Set1,4,Draw2,22,1,1,0.0,3,1.0,False,False,False,False,147:1;467:1,471:1;647:1,6.0
Combined,Set2,6,Draw1,11,2,1,0.0,2,0.0,False,False,False,False,003557:1;235:1;0233:1,700553:1;532:1;2033:1,6.0
Combined,Set3,7,Draw1,11,2,1,0.0,2,0.0,False,False,False,False,002357:1;00357:1;00235:1,700532:1;70053:1;00532:1,6.0
Combined,Set1,5,Draw1,22,1,1,0.0,3,1.0,False,False,False,False,147:1;467:1,471:1;647:1,6.0
