section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why,family_id,is_exact_straight
Combined,Set1,Draw4,1,02788,boxed,25.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,True,False,2,3.0,0.0,2.0,20887,2.0,boxed|cov4|span2|vstr2|mirror|hot2|dom_last|perm3,11,False
Combined,Set1,Draw4,1,0788,boxed,22.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,4.0,0887,2.0,boxed|cov4|span4|vstr2|hot2|perm3,11,False
Combined,Set1,Draw2,2,027788,boxed,21.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,2,3.0,0.0,2.0,208877,2.0,boxed|cov4|span2|vstr2|mirror|hot2|perm3,11,False
Combined,Set1,Draw2,4,02335578,boxed,21.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,4.0,0.0,2.0,55203387,1.0,boxed|cov4|span2|mirror|hot1|perm4,11,False
Combined,Set1,Draw2,2,07788,boxed,20.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,3.0,08877,2.0,boxed|cov4|span3|vstr2|hot2|perm3,11,False
Combined,Set1,Draw3,2,027788,boxed,20.0,"R2,R4,R6,R8",True,True,False,False,False,False,False,False,False,2,3.0,0.0,1.0,208877,2.0,boxed|cov4|vstr2|mirror|hot2|perm3,11,False
Combined,Set1,Draw3,2,07788,boxed,18.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3.0,0.0,1.0,08877,2.0,boxed|cov4|vstr2|hot2|perm3,11,False
Combined,Set1,Draw4,1,0288,boxed,17.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,2.0,2088,2.0,boxed|cov3|span2|vstr2|hot2|perm2,11,False
Combined,Set1,Draw2,2,02788,boxed,17.0,"R2,R4,R8",True,True,False,False,False,False,False,False,False,2,2.0,0.0,2.0,20887,2.0,boxed|cov3|span2|vstr2|mirror|hot2|perm2,11,False
Combined,Set1,Draw3,2,02788,boxed,16.0,"R2,R4,R8",True,True,False,False,False,False,False,False,False,2,2.0,0.0,1.0,20887,2.0,boxed|cov3|vstr2|mirror|hot2|perm2,11,False
Combined,Set1,Draw4,2,0788,boxed,16.0,"R2,R6,R8",False,False,False,False,False,False,False,False,False,2,3.0,0.0,4.0,0887,1.0,boxed|cov3|span4|hot2|perm3,11,False
Combined,Set1,Draw2,2,0788,boxed,16.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,3.0,0887,2.0,boxed|cov3|span3|vstr2|hot2|perm2,11,False
Combined,Set1,Draw2,3,23358,boxed,15.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3.0,0.0,2.0,52338,1.0,boxed|cov3|span2|mirror|hot1|perm3,11,False
Combined,Set1,Draw2,2,0288,boxed,15.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,2.0,2088,2.0,boxed|cov3|span2|vstr2|hot2|perm2,11,False
Combined,Set1,Draw3,2,0288,boxed,15.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,2.0,2088,2.0,boxed|cov3|span2|vstr2|hot2|perm2,11,False
Combined,Set1,Draw2,4,03378,boxed,15.0,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3.0,0.0,2.0,03387,1.0,boxed|cov3|span2|mirror|hot1|perm3,11,False
Combined,Set1,Draw4,1,028,straight,15.0,"R2,R4",False,True,False,False,False,False,False,False,False,2,1.0,0.0,2.0,208,2.0,straight|cov2|span2|vstr2|hot2,11,False
Combined,Set1,Draw2,3,2335,boxed,14.0,"R2,R6,R8",False,False,False,False,False,False,False,False,False,1,3.0,0.0,3.0,5233,1.0,boxed|cov3|span3|hot1|perm3,11,False
Combined,Set1,Draw3,2,0788,boxed,14.0,"R2,R4,R8",False,True,False,False,False,False,False,False,False,2,2.0,0.0,1.0,0887,2.0,boxed|cov3|vstr2|hot2|perm2,11,False
Combined,Set1,Draw4,1,078,boxed,14.0,"R6,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,4.0,870,1.0,boxed|cov2|span4|hot2|perm2,11,False
Combined,Set1,Draw2,4,0335578,boxed,14.0,"R4,R6",True,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,5508337,1.0,boxed|cov2|span2|mirror|hot1|perm2,11,False
Combined,Set1,Draw5,1,027788,straight,14.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,208877,1.0,straight|cov1|mirror|hot2,11,False
Combined,Set1,Draw5,1,02288,straight,13.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,22088,1.0,straight|cov1|span2|hot2,11,False
Combined,Set1,Draw5,1,1477,straight,13.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,3.0,4771,1.0,straight|cov1|span3|hot2,22,False
Combined,Set1,Draw5,1,02788,straight,13.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,20887,1.0,straight|cov1|mirror|hot2,11,False
Combined,Set1,Draw2,5,02335578,straight,13.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,87055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,2,028,straight,13.0,"R2,R4",False,True,False,False,False,False,False,False,False,2,1.0,0.0,2.0,208,2.0,straight|cov2|span2|vstr2|hot2,11,False
Combined,Set1,Draw3,5,02335578,straight,13.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,87055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,4,0233557,straight,13.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,7055332,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw3,4,02335578,straight,13.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,87055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw4,2,02788,boxed,13.0,"R6,R8",True,False,False,False,False,False,False,False,False,2,2.0,0.0,2.0,88702,1.0,boxed|cov2|span2|mirror|hot2|perm2,11,False
Combined,Set1,Draw5,1,02788,straight,13.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,20887,1.0,straight|cov1|mirror|hot2,11,False
Combined,Set1,Draw3,2,028,straight,13.0,"R2,R4",False,True,False,False,False,False,False,False,False,2,1.0,0.0,2.0,208,2.0,straight|cov2|span2|vstr2|hot2,11,False
Combined,Set1,Draw2,4,023355,boxed,13.0,"R2,R6",True,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,552033,1.0,boxed|cov2|span2|mirror|hot1|perm2,11,False
Combined,Set1,Draw3,5,0233557,straight,12.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,7055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw5,1,0228,straight,12.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,2208,1.0,straight|cov1|span2|hot2,11,False
Combined,Set1,Draw4,2,078,boxed,12.0,"R6,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,4.0,870,1.0,boxed|cov2|span4|hot2|perm2,11,False
Combined,Set1,Draw5,1,0288,straight,12.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,2088,1.0,straight|cov1|span2|hot2,11,False
Combined,Set1,Draw2,4,033557,straight,12.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,705533,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw2,5,0233557,straight,12.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,7055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,5,0335578,straight,12.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,8705533,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw4,2,027788,straight,12.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,208877,1.0,straight|cov1|mirror|hot2,11,False
Combined,Set1,Draw3,5,0335578,straight,12.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,8705533,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,4,0233557,straight,12.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,7055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,4,0335578,straight,12.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,8705533,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,4,035578,straight,12.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,870553,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw5,1,07788,straight,12.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,08877,1.0,straight|cov1|hot2,11,False
Combined,Set3,Draw1,6,002357,boxed,12.0,"R4,R6",True,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,250037,1.0,boxed|cov2|span2|mirror|perm2,11,False
Combined,Set1,Draw2,3,027788,straight,12.0,R4,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,208877,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw4,4,023388,straight,11.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,088332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw5,2,02288,straight,11.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,22088,1.0,straight|cov1|span2|hot2,11,False
Combined,Set1,Draw4,3,023388,straight,11.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,088332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw5,1,0788,straight,11.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,0887,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw5,1,028,straight,11.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,208,1.0,straight|cov1|span2|hot2,11,False
Combined,Set3,Draw1,6,00235,boxed,11.0,"R4,R6",True,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,25003,1.0,boxed|cov2|span2|mirror|perm2,11,False
Combined,Set3,Draw1,7,002357,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,700532,1.0,straight|cov1|span2|mirror,11,False
Combined,Set3,Draw1,6,00357,boxed,11.0,"R4,R6",True,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,50037,1.0,boxed|cov2|span2|mirror|perm2,11,False
Combined,Set1,Draw2,4,07788,straight,11.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,08877,1.0,straight|cov1|span3|hot1,11,False
Combined,Set2,Draw1,6,003557,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,700553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,3,02788,straight,11.0,R4,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,20887,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set2,Draw1,7,003557,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,700553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw5,2,1477,straight,11.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,3.0,4771,1.0,straight|cov1|span3|hot2,22,False
Combined,Set1,Draw4,2,02788,straight,11.0,R4,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,20887,1.0,straight|cov1|mirror|hot2,11,False
Combined,Set1,Draw5,1,0288,straight,11.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,2088,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw5,1,0788,straight,11.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,0887,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw5,1,0377,straight,11.0,R6,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,7703,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw5,2,00357,straight,11.0,R6,True,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,70053,1.0,straight|cov1|mirror|hot2,11,False
Combined,Set1,Draw2,5,035578,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,870553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,3,07788,straight,11.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,08877,1.0,straight|cov1|span3|hot1,11,False
Combined,Set1,Draw2,5,033557,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,705533,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,5,023355,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,4,05578,straight,11.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,87055,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw2,4,03557,straight,11.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,70553,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw2,4,23355,boxed,11.0,"R6,R8",False,False,False,False,False,False,False,False,False,1,2.0,0.0,2.0,55332,1.0,boxed|cov2|span2|hot1|perm2,11,False
Combined,Set1,Draw2,4,2335,boxed,11.0,"R6,R8",False,False,False,False,False,False,False,False,False,1,2.0,0.0,3.0,5332,1.0,boxed|cov2|span3|hot1|perm2,11,False
Combined,Set1,Draw2,4,23358,straight,11.0,R8,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,83325,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw3,4,03378,boxed,11.0,"R2,R8",True,False,False,False,False,False,False,False,False,0,2.0,0.0,2.0,03387,1.0,boxed|cov2|span2|mirror|perm2,11,False
Combined,Set1,Draw3,5,035578,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,870553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,5,033557,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,705533,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,5,023355,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,4,035578,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,870553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,4,033557,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,705533,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,4,023355,straight,11.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,055332,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw4,2,0288,boxed,11.0,"R4,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,2.0,2088,1.0,boxed|cov2|span2|hot2|perm2,11,False
Combined,Set1,Draw4,3,0788,boxed,11.0,"R6,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,4.0,8870,1.0,boxed|cov2|span4|perm2,11,False
Combined,Set3,Draw1,7,00357,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,70053,1.0,straight|cov1|span2|mirror,11,False
Combined,Set3,Draw1,7,00235,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,00532,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw4,4,023355,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,055332,1.0,straight|cov1|mirror,11,False
Combined,Set1,Draw4,3,078,boxed,10.0,"R6,R8",False,False,False,False,False,False,False,False,False,0,2.0,0.0,4.0,870,1.0,boxed|cov2|span4|perm2,11,False
Combined,Set1,Draw6,1,1477,straight,10.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,4771,1.0,straight|cov1|span2|hot1,22,False
Combined,Set1,Draw5,1,037,straight,10.0,R6,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,703,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw7,1,023588,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,250883,1.0,straight|cov1|mirror,11,False
Combined,Set1,Draw6,1,1477,straight,10.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,4771,1.0,straight|cov1|span2|hot1,22,False
Combined,Set1,Draw6,1,02288,straight,10.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,1.0,22088,1.0,straight|cov1|hot1,11,False
Combined,Set1,Draw5,1,028,straight,10.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,208,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw4,2,07788,straight,10.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,1.0,08877,1.0,straight|cov1|hot2,11,False
Combined,Set1,Draw4,2,0288,straight,10.0,R4,False,False,False,False,False,False,False,False,False,2,1.0,0.0,2.0,2088,1.0,straight|cov1|span2|hot2,11,False
Combined,Set1,Draw3,2,0778,boxed,10.0,"R6,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,8770,1.0,boxed|cov2|hot2|perm2,11,False
Combined,Set1,Draw3,3,1477,straight,10.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,4771,1.0,straight|cov1|span3|hot1,22,False
Combined,Set1,Draw2,2,0778,boxed,10.0,"R6,R8",False,False,False,False,False,False,False,False,False,2,2.0,0.0,1.0,8770,1.0,boxed|cov2|hot2|perm2,11,False
Combined,Set1,Draw2,3,0788,straight,10.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,0887,1.0,straight|cov1|span3|hot1,11,False
Combined,Set1,Draw2,4,0788,straight,10.0,R4,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,0887,1.0,straight|cov1|span3|hot1,11,False
Combined,Set2,Draw1,7,023355,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,055332,1.0,straight|cov1|mirror,11,False
Combined,Set1,Draw6,2,002357,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,700532,1.0,straight|cov1|mirror,11,False
Combined,Set1,Draw7,1,023388,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,208833,1.0,straight|cov1|mirror,11,False
Combined,Set1,Draw4,3,023588,straight,10.0,R4,True,False,False,False,False,False,False,False,False,0,1.0,0.0,1.0,250883,1.0,straight|cov1|mirror,11,False
Combined,Set1,Draw3,5,03378,straight,10.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,70833,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,3,2335,straight,10.0,R6,False,False,False,False,False,False,False,False,False,1,1.0,0.0,3.0,5332,1.0,straight|cov1|span3|hot1,11,False
Combined,Set1,Draw3,4,03557,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,70553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,4,05578,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,87055,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,5,03557,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,70553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,5,05578,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,87055,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw3,3,23358,straight,10.0,R4,True,False,False,False,False,False,False,False,False,1,1.0,0.0,1.0,25833,1.0,straight|cov1|mirror|hot1,11,False
Combined,Set1,Draw2,4,0378,straight,10.0,R8,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,7083,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw2,5,03378,straight,10.0,R8,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,70833,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,4,0578,straight,10.0,R6,True,False,False,False,False,False,False,False,False,1,1.0,0.0,2.0,8705,1.0,straight|cov1|span2|mirror|hot1,11,False
Combined,Set1,Draw2,5,03557,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,70553,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,5,05578,straight,10.0,R6,True,False,False,False,False,False,False,False,False,0,1.0,0.0,2.0,87055,1.0,straight|cov1|span2|mirror,11,False
Combined,Set1,Draw2,4,02335,straight,10.0,R2,True,False,False,False,False,False,False,False,False,1,1.0,0.0,1.0,52033,1.0,straight|cov1|mirror|hot1,11,False
