section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,5,4,2,0.0,7,1.0,True,True,False,True,004:2;0044:1,004:3;4400:1;400:1,26.0
Combined,Set1,1,Draw1,12,4,3,0.0,7,1.0,True,False,False,True,00244:1;0244:1;0024:1,00244:2;0244:2;0024:2,23.0
Combined,Set1,1,Draw1,31,3,1,0.0,7,1.0,True,True,False,False,244:1,244:3,20.0
Combined,Set1,1,Draw1,3,3,2,0.0,6,1.0,True,False,False,False,002:1,002:2,16.0
Combined,Set1,1,Draw1,8,4,2,0.0,1,1.0,True,False,False,True,018:1,018:2,16.0
Combined,Set1,1,Draw1,15,2,2,0.0,7,1.0,False,False,False,False,044:1,440:1,13.0
Combined,Set1,1,Draw2,5,4,3,0.0,6,1.0,True,False,False,True,004:2;0049:1;009:1,0094:2;009:2;400:2,22.0
Combined,Set1,1,Draw2,12,4,3,0.0,6,1.0,True,False,False,True,00244:1;0244:1;0024:1,00244:2;0244:2;0024:2,22.0
Combined,Set1,1,Draw2,31,3,1,0.0,6,1.0,True,True,False,False,244:1,244:3,19.0
Combined,Set1,1,Draw2,15,4,2,0.0,6,1.0,True,False,False,False,049:1;044:1,094:2;440:1,18.0
Combined,Set1,1,Draw2,8,4,2,0.0,1,1.0,True,False,False,True,018:1,018:2,16.0
Combined,Set1,1,Draw2,3,3,2,0.0,5,1.0,True,False,False,False,002:1,002:2,15.0
Combined,Set1,1,Draw3,4,4,1,0.0,5,1.0,True,True,True,False,003:1,003:4,22.0
Combined,Set1,1,Draw3,12,4,3,0.0,5,1.0,True,False,False,True,002479:1;00249:1;0249:1,700924:2;00924:2;0924:2,21.0
Combined,Set1,1,Draw3,31,3,1,0.0,5,1.0,True,True,False,False,249:1;244:1,924:3;244:3,18.0
Combined,Set1,1,Draw3,24,4,4,0.0,3,1.0,False,False,False,True,148:1,418:1,18.0
Combined,Set1,1,Draw3,11,3,2,0.0,4,1.0,True,False,False,True,0023:1;023:1,0032:2;032:2,17.0
Combined,Set1,1,Draw3,3,4,2,0.0,5,1.0,True,False,False,False,007:1;002:1,700:2;200:1,17.0
