section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw3,24,4,4,0.0,3,1.0,False,False,False,True,148:1,418:1,18.0
Combined,Set1,1,Draw3,11,3,2,0.0,4,1.0,True,False,False,True,0023:1;023:1,0032:2;032:2,17.0
Combined,Set1,1,Draw4,11,4,2,0.0,2,1.0,True,False,False,True,0037:2;037:2;00223:1,00322:2;700322:2;70032:2,17.0
Combined,Set2,3,Draw1,24,4,4,0.0,5,1.0,False,False,False,False,114688:1;11488:1;1148:1,411886:1;41188:1;4118:1,17.0
Combined,Set3,2,Draw1,24,4,4,0.0,5,1.0,False,False,False,False,11488:1;1148:1;1488:1,41188:1;4118:1;8841:1,17.0
Combined,Set3,2,Draw1,11,4,3,0.0,5,1.0,False,False,False,False,0078:1;0028:1;00278:1,0087:1;2008:1;87002:1,16.0
Combined,Set3,3,Draw1,11,4,3,0.0,5,1.0,False,False,False,False,0078:1;0028:1;00278:1,0087:1;2008:1;87002:1,16.0
Combined,Set3,4,Draw1,11,4,3,0.0,5,1.0,False,False,False,False,00788:1;0028:1;00288:1,00887:1;2008:1;20088:1,16.0
Combined,Set1,4,Draw2,24,4,4,0.0,3,1.0,False,False,False,False,1148:2;148:2;114688:1,841:2;411886:1;41188:1,15.0
Combined,Set1,2,Draw3,24,4,4,0.0,3,1.0,False,False,False,False,114688:1;11488:1;1148:1,411886:1;41188:1;4118:1,15.0
Combined,Set2,3,Draw1,11,4,3,0.0,4,1.0,False,False,False,False,0078:1;0028:1;00278:1,0087:1;2008:1;87002:1,15.0
Combined,Set2,4,Draw1,11,4,3,0.0,4,1.0,False,False,False,False,00378:1;002378:1;00237:1,00387:1;870032:1;70032:1,15.0
Combined,Set1,4,Draw1,24,4,4,0.0,3,1.0,False,False,False,False,114688:1;11488:1;1148:1,411886:1;41188:1;4118:1,15.0
Combined,Set1,5,Draw1,11,4,3,0.0,3,1.0,False,False,False,False,00378:1;002378:1;00238:1,00387:1;870032:1;20083:1,14.0
Combined,Set1,2,Draw3,11,3,2,0.0,4,1.0,True,False,False,False,0023:1;023:1,0032:2;032:2,14.0
Combined,Set1,4,Draw1,11,4,3,0.0,3,1.0,False,False,False,False,0078:1;0028:1;00278:1,0087:1;2008:1;87002:1,14.0
Combined,Set1,3,Draw3,24,4,2,0.0,3,1.0,False,False,False,False,189:2;114688:1;116889:1,198:2;411886:1;688119:1,13.0
Combined,Set1,2,Draw4,11,4,2,0.0,3,1.0,False,False,False,False,0037:2;037:2;002235:1,0037:2;037:2;225003:1,13.0
Combined,Set3,4,Draw1,24,3,2,0.0,5,1.0,False,False,False,False,148:2;11488:1;1148:1,841:2;41188:1;4118:1,13.0
Combined,Set1,4,Draw3,24,4,2,0.0,3,0.0,False,False,False,False,1189:2;189:2;11344688:1,198:2;44113886:1;4411388:1,12.0
Combined,Set2,5,Draw1,24,3,2,0.0,5,0.0,False,False,False,False,1148:2;148:2;114688:1,841:2;411886:1;41188:1,12.0
Combined,Set2,5,Draw1,11,3,2,0.0,4,0.0,False,False,False,False,002388:1;002378:1;00237:1,200883:1;870032:1;70032:1,11.0
Combined,Set2,4,Draw1,24,2,2,0.0,5,1.0,False,False,False,False,114688:1;11488:1;14688:1,411886:1;41188:1;68841:1,11.0
Combined,Set3,3,Draw1,24,2,2,0.0,5,1.0,False,False,False,False,11488:1;1148:1;1488:1,41188:1;4118:1;8841:1,11.0
Combined,Set1,6,Draw1,11,3,2,0.0,3,0.0,False,False,False,False,002388:1;002378:1;0078:1,200883:1;870032:1;8700:1,10.0
Combined,Set1,6,Draw1,24,3,2,0.0,3,0.0,False,False,False,False,1148:2;148:2;114688:1,411886:1;41188:1;68841:1,10.0
Combined,Set1,5,Draw3,24,3,2,0.0,3,0.0,False,False,False,False,11344688:1;1134488:1;113448:1,44113886:1;4411388:1;441138:1,10.0
Combined,Set1,5,Draw2,24,3,2,0.0,3,0.0,False,False,False,False,1148:2;148:2;114688:1,841:2;411886:1;41188:1,10.0
Combined,Set1,1,Draw5,11,3,2,0.0,2,1.0,False,False,False,False,002237:1;00337:1;00223:1,700322:1;00337:1;22003:1,10.0
Combined,Set1,3,Draw3,11,2,2,0.0,4,1.0,False,False,False,False,0023:1;023:1,2003:1;032:1,10.0
Combined,Set1,6,Draw2,24,3,2,0.0,3,0.0,False,False,False,False,1889:2;189:2;114688:1,1988:2;198:2;411886:1,10.0
Combined,Set1,2,Draw5,24,2,2,0.0,3,1.0,False,False,False,False,11346688:1;1346688:1;346688:1,66883411:1;6688341:1;668834:1,9.0
Combined,Set1,1,Draw4,24,2,2,0.0,3,1.0,False,False,False,False,148:1,841:1,9.0
Combined,Set1,2,Draw4,24,2,2,0.0,3,1.0,False,False,False,False,114688:1;14688:1;4688:1,688411:1;68841:1;6884:1,9.0
Combined,Set1,1,Draw5,24,2,2,0.0,3,1.0,False,False,False,False,1348:1;3468:1;134:1,8341:1;6834:1;341:1,9.0
Combined,Set1,5,Draw1,24,2,2,0.0,3,1.0,False,False,False,False,114688:1;11488:1;14688:1,411886:1;41188:1;68841:1,9.0
Combined,Set3,6,Draw1,11,2,1,0.0,5,0.0,False,False,False,False,0028:1;00288:1;00233:1,2008:1;20088:1;00332:1,9.0
Combined,Set3,5,Draw1,11,2,1,0.0,5,0.0,False,False,False,False,0028:2;00288:1;00238:1,2008:2;20088:1;20083:1,9.0
Combined,Set2,6,Draw1,11,2,1,0.0,4,0.0,False,False,False,False,0028:2;0023:2;023:2,2008:2;0032:2;032:2,8.0
Combined,Set1,3,Draw4,24,2,2,0.0,3,0.0,False,False,False,False,189:2;114688:1;14688:1,198:2;688411:1;68841:1,8.0
Combined,Set1,3,Draw5,24,2,2,0.0,3,0.0,False,False,False,False,189:2;11346688:1;346688:1,198:2;66883411:1;668834:1,8.0
Combined,Set1,4,Draw3,11,2,1,0.0,4,0.0,False,False,False,False,0023:1;00238:1;00237:1,0032:1;20083:1;70032:1,8.0
Combined,Set1,3,Draw4,11,2,2,0.0,3,0.0,False,False,False,False,002235:1;0022357:1;00235:1,225003:1;7005322:1;25003:1,8.0
Combined,Set1,1,Draw6,24,2,2,0.0,2,1.0,False,False,False,False,13899:1;3468:1;13689:1,19983:1;6834:1;19836:1,8.0
Combined,Set1,3,Draw2,24,2,1,0.0,3,1.0,False,False,False,False,148:1;189:1,841:1;198:1,8.0
Combined,Set1,2,Draw5,11,2,1,0.0,2,1.0,False,False,False,False,00337:1;2235:1;235:1,00337:1;5322:1;532:1,7.0
Combined,Set1,1,Draw6,11,2,1,0.0,2,1.0,False,False,False,False,0033778:1;003378:1;033778:1,0033877:1;003387:1;033877:1,7.0
Combined,Set3,5,Draw1,24,1,1,0.0,5,0.0,False,False,False,False,11488:1;114688:1;1488:1,88411:1;688411:1;8841:1,7.0
Combined,Set1,2,Draw6,24,2,2,0.0,2,0.0,False,False,False,False,346688:1;1136889:1;13899:1,668834:1;1198836:1;19983:1,7.0
Combined,Set1,4,Draw4,11,2,1,0.0,3,0.0,False,False,False,False,0022357:1;00223577:1;002357:1,7005322:1;77005322:1;700532:1,7.0
Combined,Set3,6,Draw1,24,1,1,0.0,5,0.0,False,False,False,False,3344668:1;11488:1;334668:1,6683344:1;88411:1;668334:1,7.0
Combined,Set2,7,Draw1,24,1,1,0.0,5,0.0,False,False,False,False,114688:1;14688:1;11488:1,688411:1;68841:1;88411:1,7.0
Combined,Set2,6,Draw1,24,1,1,0.0,5,0.0,False,False,False,False,114688:1;14688:1;11488:1,688411:1;68841:1;88411:1,7.0
Combined,Set3,7,Draw1,24,2,1,0.0,2,0.0,False,False,False,False,3344668:1;11344688:1;334668:1,6683344:1;68834411:1;668334:1,6.0
Combined,Set1,4,Draw4,24,2,1,0.0,2,0.0,False,False,False,False,1189:2;189:2;11344688:1,1198:2;198:2;68834411:1,6.0
Combined,Set1,2,Draw6,11,2,1,0.0,2,0.0,False,False,False,False,0033778:1;003378:1;033778:1,0033877:1;003387:1;033877:1,6.0
Combined,Set3,7,Draw1,11,2,1,0.0,2,0.0,False,False,False,False,00223577:1;0023577:1;0022357:1,77005322:1;7700532:1;7005322:1,6.0
Combined,Set1,1,Draw7,11,2,1,0.0,1,0.0,False,False,False,False,0033778:1;003378:1;033778:1,0033877:1;003387:1;033877:1,5.0
Combined,Set1,7,Draw1,11,2,1,0.0,1,0.0,False,False,False,False,0235:2;235:2;002357:1,0532:2;532:2;700532:1,5.0
Combined,Set2,7,Draw1,11,2,1,0.0,1,0.0,False,False,False,False,00223577:1;0023577:1;0022357:1,77005322:1;7700532:1;7005322:1,5.0
Combined,Set1,1,Draw7,24,2,1,0.0,1,0.0,False,False,False,False,13899:1;13689:1;3468:1,19983:1;19836:1;6834:1,5.0
Combined,Set1,7,Draw1,24,2,1,0.0,1,0.0,False,False,False,False,11346688:1;1346688:1;1134688:1,66883411:1;6688341:1;6883411:1,5.0
Combined,Set1,4,Draw2,11,1,1,0.0,1,1.0,False,False,False,False,0028:1,2008:1,4.0
Combined,Set1,3,Draw5,11,1,1,0.0,2,0.0,False,False,False,False,2235:1;235:1,5322:1;532:1,4.0
Combined,Set1,5,Draw3,11,1,1,0.0,2,0.0,False,False,False,False,0037:1;00337:1;00233:1,7003:1;70033:1;00332:1,4.0
Combined,Set1,5,Draw2,11,1,1,0.0,1,0.0,False,False,False,False,00237:1;0037:1;0023:1,70032:1;7003:1;0032:1,3.0
