section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,5,4,2,0.0,7,1.0,True,True,False,True,559:1,559:3,26.0
Combined,Set1,1,Draw1,25,4,2,0.0,7,1.0,True,False,False,True,199:1,991:2,22.0
Combined,Set1,1,Draw1,11,4,3,0.0,1,1.0,True,False,False,True,5578:1;578:1,5587:2;587:2,17.0
Combined,Set1,1,Draw1,4,3,2,0.0,2,1.0,True,False,False,False,558:1,558:2,12.0
Combined,Set1,1,Draw1,3,1,1,0.0,1,1.0,False,False,False,False,557:1,755:1,4.0
Combined,Set1,1,Draw2,5,4,2,0.0,6,1.0,True,True,False,True,559:1;455:1,559:3;554:2,25.0
Combined,Set1,1,Draw2,25,4,2,0.0,6,1.0,True,False,False,True,199:1,991:2,21.0
Combined,Set1,1,Draw2,14,3,3,0.0,2,1.0,False,False,False,True,4558:1;458:1,5548:1;548:1,14.0
Combined,Set1,1,Draw2,30,3,3,0.0,2,1.0,False,False,False,False,478:1,487:1,11.0
Combined,Set1,1,Draw2,11,1,1,0.0,1,1.0,False,False,False,False,5578:1;578:1,8755:1;875:1,4.0
Combined,Set1,1,Draw2,12,1,1,0.0,1,1.0,False,False,False,False,4557:1,7554:1,4.0
Combined,Set1,1,Draw2,4,1,1,0.0,1,1.0,False,False,False,False,558:1,558:1,4.0
Combined,Set1,1,Draw2,3,1,1,0.0,1,1.0,False,False,False,False,557:1,755:1,4.0
Combined,Set1,1,Draw3,5,4,2,0.0,5,1.0,True,True,False,True,559:1;455:1;0455:1,559:3;554:2;5540:1,24.0
Combined,Set1,1,Draw3,15,4,2,0.0,5,1.0,True,True,False,False,599:1,599:3,21.0
Combined,Set1,1,Draw3,9,4,3,0.0,3,1.0,True,False,False,True,1599:1;159:1,5991:2;159:1,19.0
Combined,Set1,1,Draw3,14,3,3,0.0,3,1.0,True,False,False,True,04558:1;0458:1;048:1,084:2;55408:1;5408:1,17.0
Combined,Set1,1,Draw3,25,3,2,0.0,5,1.0,True,False,False,False,199:1,991:2,15.0
Combined,Set1,1,Draw3,11,3,3,0.0,5,1.0,False,False,False,False,078:1;05578:1;0578:1,087:1;87055:1;8705:1,14.0
Combined,Set1,1,Draw3,0,2,2,0.0,5,1.0,False,False,False,False,055:1,550:1,11.0
Combined,Set1,1,Draw3,30,1,1,0.0,2,1.0,False,False,False,False,478:1,847:1,5.0
Combined,Set1,1,Draw3,12,1,1,0.0,1,1.0,False,False,False,False,04557:1,70554:1,4.0
Combined,Set1,1,Draw3,4,1,1,0.0,1,1.0,False,False,False,False,0558:1;058:1,5508:1;508:1,4.0
Combined,Set1,1,Draw3,3,1,1,0.0,1,1.0,False,False,False,False,0557:1;057:1,7055:1;705:1,4.0
Combined,Set1,1,Draw4,12,4,3,0.0,4,1.0,True,False,False,True,5579:1;579:1;04557:1,5597:2;597:2;70554:1,20.0
Combined,Set1,1,Draw4,5,4,2,0.0,4,1.0,True,True,False,False,559:1;455:1;0455:1,559:3;554:2;5540:1,20.0
Combined,Set1,1,Draw4,15,4,2,0.0,4,1.0,True,True,False,False,599:1,599:3,20.0
Combined,Set1,1,Draw4,9,4,3,0.0,3,1.0,True,False,False,True,1599:1;159:1,5991:2;159:1,19.0
Combined,Set1,1,Draw4,14,3,3,0.0,3,1.0,True,False,False,True,04558:1;0458:1;048:1,084:2;55408:1;5408:1,17.0
Combined,Set1,1,Draw4,25,3,2,0.0,4,1.0,True,False,False,False,199:1,991:2,14.0
Combined,Set1,1,Draw4,11,3,3,0.0,4,1.0,False,False,False,False,0778:1;055778:1;078:1,0877:1;877055:1;087:1,13.0
Combined,Set1,1,Draw4,27,2,1,0.0,4,1.0,True,False,False,False,778:1,877:2,11.0
Combined,Set1,1,Draw4,10,2,1,0.0,4,1.0,True,False,False,False,077:1,770:2,11.0
Combined,Set1,1,Draw4,0,2,2,0.0,4,1.0,False,False,False,False,055:1,550:1,10.0
Combined,Set1,1,Draw4,3,1,1,0.0,4,1.0,False,False,False,False,557:1;05577:1;0577:1,755:1;77055:1;7705:1,7.0
Combined,Set1,1,Draw4,28,1,1,0.0,4,1.0,False,False,False,False,477:1,477:1,7.0
Combined,Set1,1,Draw4,30,1,1,0.0,2,1.0,False,False,False,False,4778:1;478:1,8477:1;847:1,5.0
Combined,Set1,1,Draw4,4,1,1,0.0,1,1.0,False,False,False,False,0558:1;058:1,5508:1;508:1,4.0
Combined,Set1,1,Draw5,5,4,2,0.0,3,1.0,True,True,False,True,5599:2;559:2;455:1,5599:6;559:6;554:2,22.0
Combined,Set1,1,Draw5,15,4,2,0.0,3,1.0,True,True,False,False,599:2,599:6,19.0
Combined,Set1,1,Draw5,14,3,3,0.0,1,1.0,True,False,False,True,04558:1;0458:1;048:1,084:2;55408:1;5408:1,15.0
Combined,Set1,1,Draw5,25,3,2,0.0,3,1.0,True,False,False,False,199:2;699:1,996:2;991:2,13.0
Combined,Set1,1,Draw5,9,4,2,0.0,3,1.0,False,False,False,False,15599:2;1599:2;55699:1,55991:2;5991:2;55996:1,13.0
Combined,Set1,1,Draw5,11,3,3,0.0,3,1.0,False,False,False,False,0778:1;055778:1;05778:1,0877:1;877055:1;87705:1,12.0
Combined,Set1,1,Draw5,22,3,3,0.0,2,1.0,False,False,False,False,1799:1;179:1,9917:1;917:1,11.0
Combined,Set1,1,Draw5,27,2,1,0.0,3,1.0,True,False,False,False,778:1,877:2,10.0
Combined,Set1,1,Draw5,10,2,1,0.0,3,1.0,True,False,False,False,077:1,770:2,10.0
Combined,Set1,1,Draw5,12,2,2,0.0,3,1.0,False,False,False,False,55799:1;5579:1;04557:1,55997:1;7559:1;70554:1,9.0
Combined,Set1,1,Draw5,0,2,2,0.0,3,1.0,False,False,False,False,055:1,550:1,9.0
Combined,Set1,1,Draw5,3,1,1,0.0,3,1.0,False,False,False,False,05577:1;557:1;0577:1,77055:1;755:1;7705:1,6.0
Combined,Set1,1,Draw5,28,1,1,0.0,3,1.0,False,False,False,False,477:1,477:1,6.0
Combined,Set1,1,Draw5,2,1,1,0.0,2,1.0,False,False,False,False,556:1,655:1,5.0
Combined,Set1,1,Draw5,4,1,1,0.0,1,1.0,False,False,False,False,0558:1;058:1,5508:1;508:1,4.0
Combined,Set1,1,Draw5,7,1,1,0.0,1,1.0,False,False,False,False,1557:1;157:1,1755:1;175:1,4.0
Combined,Set1,1,Draw5,30,1,1,0.0,1,1.0,False,False,False,False,4778:1;478:1,8477:1;847:1,4.0
Combined,Set1,1,Draw5,31,1,1,0.0,1,1.0,False,False,False,False,799:1,997:1,4.0
Combined,Set1,1,Draw6,5,4,2,0.0,2,1.0,True,True,False,True,559:3;5599:2;0559:2,559:9;5599:6;55990:2,21.0
Combined,Set1,1,Draw6,15,3,1,0.0,2,1.0,True,True,False,False,599:2;4559:1;459:1,599:6;5594:2;594:2,15.0
Combined,Set1,1,Draw6,14,3,3,0.0,2,1.0,False,False,False,True,089:2;0455889:1;045889:1,908:2;5594088:1;594088:1,14.0
Combined,Set1,1,Draw6,0,3,2,0.0,2,1.0,True,False,False,False,055:2;116:1,611:2;055:2,12.0
Combined,Set1,1,Draw6,19,3,2,0.0,2,1.0,True,False,False,False,6699:1;669:1;1199:1,9966:2;966:2;9911:1,12.0
Combined,Set1,1,Draw6,9,4,2,0.0,2,1.0,False,False,False,False,115599:1;556699:1;01599:1,559911:1;559966:1;59901:1,12.0
Combined,Set1,1,Draw6,25,3,2,0.0,2,1.0,True,False,False,False,199:2;699:1,996:2;991:1;199:1,12.0
Combined,Set1,1,Draw6,21,3,3,0.0,2,1.0,False,False,False,False,178:1,187:1,11.0
Combined,Set1,1,Draw6,11,3,2,0.0,2,1.0,False,False,False,False,07788:1;055778:1;05778:1,08877:1;877055:1;87705:1,10.0
Combined,Set1,1,Draw6,27,2,1,0.0,2,1.0,True,False,False,False,7788:1;778:1,8877:2;877:2,9.0
Combined,Set1,1,Draw6,13,2,1,0.0,2,1.0,True,False,False,False,088:1,088:2,9.0
Combined,Set1,1,Draw6,29,2,1,0.0,2,1.0,True,False,False,False,788:1,887:2,9.0
Combined,Set1,1,Draw6,10,2,1,0.0,2,1.0,True,False,False,False,077:1,770:2,9.0
Combined,Set1,1,Draw6,33,2,1,0.0,2,1.0,True,False,False,False,488:1;889:1,884:2;988:1,9.0
