section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,hp_span,orders_modal_value,orders_modal_rows,why
Combined,Set3,Draw1,1,005,straight,32.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,1,1.0,0.0,4.0,005,4.0,straight|cov4|span4|vstr2|vstr3|mirror|cons_full|hot1|dom_last|cons_3v
Combined,Set1,Draw1,1,559,boxed,31.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,7.0,559,3.0,boxed|cov4|span7|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set1,Draw2,1,559,boxed,30.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,6.0,559,3.0,boxed|cov4|span6|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set1,Draw3,1,559,boxed,29.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,5.0,559,3.0,boxed|cov4|span5|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set3,Draw1,2,005,straight,27.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,1.0,0.0,4.0,005,4.0,straight|cov4|span4|vstr2|vstr3|mirror|cons_full|hot1|cons_3v
Combined,Set1,Draw5,1,5599,boxed,27.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,True,False,2,2.0,0.0,3.0,5599,3.0,boxed|cov4|span3|vstr2|vstr3|hot2|dom_last|perm2
Combined,Set1,Draw1,1,199,boxed,27.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,7.0,991,2.0,boxed|cov4|span7|vstr2|hot2|dom_last|perm2
Combined,Set1,Draw2,1,199,boxed,26.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,2.0,0.0,6.0,991,2.0,boxed|cov4|span6|vstr2|hot2|dom_last|perm2
Combined,Set1,Draw4,1,5579,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,2,3.0,0.0,4.0,5597,2.0,boxed|cov4|span4|vstr2|hot2|dom_last|perm3
Combined,Set3,Draw1,1,299,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,1,2.0,0.0,7.0,992,3.0,boxed|cov4|span7|vstr2|vstr3|hot1|perm2
Combined,Set2,Draw1,1,199,boxed,25.0,"R2,R4,R6,R8",False,True,False,False,False,False,False,True,False,1,2.0,0.0,7.0,991,2.0,boxed|cov4|span7|vstr2|hot1|dom_last|perm2
Combined,Set1,Draw3,1,599,boxed,25.0,"R2,R4,R6,R8",False,True,True,False,False,False,False,False,False,2,2.0,0.0,5.0,599,3.0,boxed|cov4|span5|vstr2|vstr3|hot2|perm2
Combined,Set1,Draw7,1,5599,straight,24.5,"R2,R4,R6",False,True,True,True,False,False,False,True,False,0,1.0,0.0,1.0,5599,3.0,straight|cov3|vstr2|vstr3|single_left|dom_last
