section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,30,4,3,0.0,7,1.0,True,False,False,True,22349:2;2234:2;2239:2,93224:4;3224:4;9322:4,23.0
Combined,Set1,1,Draw1,28,4,2,0.0,7,1.0,True,True,False,False,224:2;2249:2;229:2,224:6;9224:2;922:2,23.0
Combined,Set1,1,Draw1,29,4,2,0.0,4,1.0,True,False,False,True,337:1,337:2,19.0
Combined,Set1,1,Draw1,11,4,2,0.0,1,1.0,True,False,False,True,023:1,023:2,16.0
Combined,Set1,1,Draw1,27,2,1,0.0,7,1.0,True,False,False,False,223:2,322:4,14.0
Combined,Set1,1,Draw1,34,1,1,0.0,1,1.0,False,False,False,False,349:2,934:2,4.0
Combined,Set1,1,Draw2,30,4,3,0.0,6,1.0,True,False,False,True,239:3;22349:2;2234:2,932:6;93224:4;3224:4,22.0
Combined,Set1,1,Draw2,28,4,2,0.0,6,1.0,True,True,False,False,224:2;2249:2;229:2,224:6;9224:2;922:2,22.0
Combined,Set1,1,Draw2,29,4,2,0.0,4,1.0,True,False,False,True,337:1,337:2,19.0
Combined,Set1,1,Draw2,27,2,1,0.0,6,1.0,True,False,False,False,223:2,322:4,13.0
Combined,Set1,1,Draw2,34,1,1,0.0,1,1.0,False,False,False,False,349:2,934:2,4.0
Combined,Set1,1,Draw3,30,4,3,0.0,5,1.0,True,False,False,True,239:3;223449:2;22344:2,932:6;932244:4;32244:4,21.0
Combined,Set1,1,Draw3,28,4,2,0.0,5,1.0,True,True,False,False,2244:2;224:2;2249:2,2244:6;224:6;9224:2,21.0
Combined,Set1,1,Draw3,31,3,1,0.0,5,1.0,True,True,False,False,244:2;22449:2,244:6;92244:2,18.0
Combined,Set1,1,Draw3,29,4,2,0.0,5,1.0,True,False,False,False,233:1;3377:1;337:1,332:2;7733:2;733:2,17.0
Combined,Set1,1,Draw3,27,3,2,0.0,5,1.0,True,False,False,False,223:2;377:1;23377:1,322:4;773:2;77332:2,15.0
Combined,Set1,1,Draw3,34,2,2,0.0,5,1.0,False,False,False,False,344:2;349:2,443:2;934:2,11.0
Combined,Set1,1,Draw3,33,2,2,0.0,5,1.0,False,False,False,False,334:1,433:1,11.0
Combined,Set1,1,Draw4,28,4,2,0.0,4,1.0,True,True,False,True,224:4;2249:3;229:3,224:12;2244:6;9224:3,23.0
Combined,Set1,1,Draw4,30,4,3,0.0,4,1.0,True,False,False,True,2234:4;22349:3;2239:3,3224:6;9322:5;932:5,20.0
Combined,Set1,1,Draw4,31,4,1,0.0,4,1.0,True,True,False,False,244:2;22449:2;447:2,244:6;92244:2;447:2,19.0
Combined,Set1,1,Draw4,27,4,2,0.0,4,1.0,True,False,False,False,223:4;2233:1;223377:1,322:7;3322:2;773322:2,16.0
Combined,Set1,1,Draw4,24,4,3,0.0,2,1.0,False,False,False,True,369:1;3469:1;346:1,963:1;9634:1;436:1,16.0
Combined,Set1,1,Draw4,29,4,2,0.0,4,1.0,True,False,False,False,3377:1;233:1;337:1,7733:2;332:2;733:2,16.0
Combined,Set1,1,Draw4,12,4,1,0.0,4,1.0,True,False,False,False,022449:2;02244:2;079:2,709:4;922440:2;22440:2,15.0
Combined,Set1,1,Draw4,14,4,2,0.0,2,1.0,True,False,False,False,039:2;0344:2;03449:2,093:4;4403:2;90344:2,14.0
Combined,Set1,1,Draw4,33,2,2,0.0,4,1.0,False,False,False,False,334:1,433:1,10.0
Combined,Set1,1,Draw4,22,2,1,0.0,4,1.0,False,False,False,False,2246:1;269:1,6224:1;296:1,9.0
Combined,Set1,1,Draw4,15,1,1,0.0,4,1.0,False,False,False,False,044:2,440:2,7.0
Combined,Set1,1,Draw4,34,1,1,0.0,4,1.0,False,False,False,False,344:2,344:2,7.0
Combined,Set1,1,Draw4,20,1,1,0.0,4,1.0,False,False,False,False,226:1,622:1,7.0
Combined,Set1,1,Draw4,21,1,1,0.0,2,1.0,False,False,False,False,2236:1;236:1,3622:1;362:1,5.0
Combined,Set1,1,Draw4,11,1,1,0.0,1,1.0,False,False,False,False,037:2,037:2,4.0
Combined,Set1,1,Draw5,28,4,2,0.0,3,1.0,True,True,False,True,224:4;2244:3;2249:3,224:12;2244:9;9224:3,22.0
Combined,Set1,1,Draw5,31,4,2,0.0,3,1.0,True,True,False,False,244:3;22449:3;447:2,244:9;92244:3;447:2,19.0
Combined,Set1,1,Draw5,30,4,2,0.0,3,1.0,True,False,False,True,2234:4;223449:3;22344:3,3224:7;93224:5;9322:5,18.0
Combined,Set1,1,Draw5,24,4,3,0.0,2,1.0,False,False,False,True,3699:1;3446:1;369:1,9963:1;4436:1;963:1,16.0
Combined,Set1,1,Draw5,12,4,2,0.0,3,1.0,True,False,False,False,022449:2;079:2;02244:2,709:4;922440:2;22440:2,15.0
Combined,Set1,1,Draw5,34,4,2,0.0,3,1.0,True,False,False,False,344:3;399:1,993:2;344:2;443:1,15.0
Combined,Set1,1,Draw5,14,4,2,0.0,2,1.0,True,False,False,False,039:2;0344:2;03449:2,093:4;4403:2;90344:2,14.0
Combined,Set1,1,Draw5,27,3,2,0.0,3,1.0,True,False,False,False,223:4;2233:1;223377:1,322:7;3322:2;773322:1,13.0
Combined,Set1,1,Draw5,29,3,2,0.0,3,1.0,True,False,False,False,233:1;3377:1;337:1,332:2;3377:1;337:1,13.0
Combined,Set1,1,Draw5,11,3,2,0.0,3,1.0,False,False,False,False,037:2;22335:1;2335:1,037:2;22533:1;2533:1,11.0
Combined,Set1,1,Draw5,10,3,2,0.0,3,1.0,False,False,False,False,225:1;577:1,522:1;775:1,11.0
Combined,Set1,1,Draw5,13,2,1,0.0,3,1.0,True,False,False,False,335:1,533:2,10.0
Combined,Set1,1,Draw5,25,2,2,0.0,3,1.0,False,False,False,False,699:1,996:1,9.0
Combined,Set1,1,Draw5,33,2,2,0.0,3,1.0,False,False,False,False,334:1,433:1,9.0
Combined,Set1,1,Draw5,22,1,1,0.0,3,1.0,False,False,False,False,22446:1;2246:1,62244:1;6224:1,6.0
Combined,Set1,1,Draw5,15,1,1,0.0,3,1.0,False,False,False,False,044:2,440:2,6.0
Combined,Set1,1,Draw5,20,1,1,0.0,3,1.0,False,False,False,False,226:1,622:1,6.0
Combined,Set1,1,Draw5,21,1,1,0.0,2,1.0,False,False,False,False,2236:1;236:1,3622:1;362:1,5.0
Combined,Set1,1,Draw6,28,4,2,0.0,2,1.0,True,True,False,True,224:4;2249:4;229:4,224:12;2244:9;9224:4,21.0
Combined,Set1,1,Draw6,15,4,2,0.0,2,1.0,True,True,False,False,044:3;599:1;099:1,599:3;440:3;990:1,18.0
Combined,Set1,1,Draw6,33,4,2,0.0,2,1.0,True,True,False,False,339:1;334:1;3349:1,933:3;433:1;9334:1,18.0
Combined,Set1,1,Draw6,30,4,2,0.0,2,1.0,True,False,False,True,22349:4;2234:4;223449:3,3224:7;932244:5;93224:5,17.0
Combined,Set1,1,Draw6,31,4,1,0.0,2,1.0,True,True,False,False,244:3;22449:3;4477:2,244:9;92244:3;4477:2,17.0
Combined,Set1,1,Draw6,12,4,2,0.0,2,1.0,True,False,False,False,022449:3;02244:3;0244:3,7709:4;709:4;922440:3,14.0
Combined,Set1,1,Draw6,14,4,2,0.0,2,1.0,True,False,False,False,0344:3;034:3;039:2,093:4;4403:3;403:3,14.0
Combined,Set1,1,Draw6,27,3,1,0.0,2,1.0,True,False,False,False,223:4;377:3;2233:1,322:7;377:3;3322:2,11.0
Combined,Set1,1,Draw6,10,3,1,0.0,2,1.0,True,False,False,False,077:2;225:2;577:1,770:4;225:2;775:1,11.0
Combined,Set1,1,Draw6,34,3,1,0.0,2,1.0,True,False,False,False,344:3;399:1,344:3;993:2,11.0
Combined,Set1,1,Draw6,29,3,1,0.0,2,1.0,True,False,False,False,233:1;3377:1;337:1,332:2;3377:1;337:1,11.0
Combined,Set1,1,Draw6,9,2,2,0.0,2,1.0,False,False,False,False,05699:1;0699:1;0569:1,59906:1;9906:1;6059:1,8.0
Combined,Set1,1,Draw6,5,2,2,0.0,2,1.0,False,False,False,False,0599:1;059:1,5990:1;059:1,8.0
Combined,Set1,1,Draw6,8,2,2,0.0,2,1.0,False,False,False,False,036:1,036:1,8.0
Combined,Set1,1,Draw6,24,2,1,0.0,1,1.0,False,False,False,False,3446:1;3699:1;346:1,6344:1;9936:1;634:1,6.0
Combined,Set1,1,Draw6,22,1,1,0.0,2,1.0,False,False,False,False,22446:1;2246:1,62244:1;6224:1,5.0
Combined,Set1,1,Draw6,2,1,1,0.0,2,1.0,False,False,False,False,056:1,605:1,5.0
Combined,Set1,1,Draw6,21,1,1,0.0,2,1.0,False,False,False,False,2236:1;236:1,3622:1;362:1,5.0
Combined,Set1,1,Draw6,20,1,1,0.0,2,1.0,False,False,False,False,226:1,622:1,5.0
Combined,Set1,1,Draw6,11,1,1,0.0,1,1.0,False,False,False,False,0377:2;037:2,0377:2;037:2,4.0
Combined,Set1,1,Draw7,28,4,1,0.0,1,0.0,True,True,False,True,2244:4;224:4;2249:4,2244:12;224:12;9224:4,18.0
Combined,Set1,1,Draw7,15,4,2,0.0,1,0.0,True,True,False,False,044:4;445:4;599:1,440:4;445:4;599:3,16.0
Combined,Set1,1,Draw7,31,4,1,0.0,1,0.0,True,True,False,False,244:4;22449:4;447:4,244:12;92244:4;447:4,15.0
Combined,Set1,1,Draw7,12,4,2,0.0,1,0.0,False,False,False,False,022449:4;2259:4;02244:4,922440:4;22440:4;22445:4,10.0
Combined,Set1,1,Draw7,23,3,2,0.0,1,0.0,True,False,False,False,336:1,336:2,10.0
Combined,Set1,1,Draw7,5,4,2,0.0,1,0.0,False,False,False,False,059:4;00599:1;0599:1,590:3;59900:1;5990:1,10.0
Combined,Set1,1,Draw7,20,3,1,0.0,1,0.0,True,False,False,False,226:4;677:3,677:6;622:4,9.0
Combined,Set1,1,Draw7,10,3,1,0.0,1,0.0,True,False,False,False,225:4;077:3,770:6;225:4,9.0
Combined,Set1,1,Draw7,34,3,1,0.0,1,0.0,True,False,False,False,344:4;399:1,344:4;993:2,9.0
Combined,Set1,1,Draw7,33,3,1,0.0,1,0.0,True,False,False,False,339:1;3344:1;334:1,933:2;3344:1;334:1,9.0
Combined,Set1,1,Draw7,3,2,1,0.0,1,0.0,True,False,False,False,0577:3;057:3;007:1,7705:3;705:3;700:2,7.0
Combined,Set1,1,Draw7,14,3,1,0.0,1,0.0,False,False,False,False,0359:3;0344:3;034:3,0593:3;4403:3;403:3,7.0
Combined,Set1,1,Draw7,8,2,2,0.0,1,0.0,False,False,False,False,036:4;0036:1;0336:1,036:3;0036:1;0336:1,6.0
Combined,Set1,1,Draw7,30,2,1,0.0,1,0.0,False,False,False,False,22344:4;3447:4;2234:4,32244:4;3447:4;3224:4,5.0
Combined,Set1,1,Draw7,21,2,1,0.0,1,0.0,False,False,False,False,2236:4;367:4;236:4,3622:4;367:4;362:4,5.0
Combined,Set1,1,Draw7,24,2,1,0.0,1,0.0,False,False,False,False,3446:3;346:3;369:3,6344:3;634:3;936:3,5.0
Combined,Set1,1,Draw7,9,1,1,0.0,1,0.0,False,False,False,False,0569:3;069:3;005699:1,5906:3;906:3;599006:1,3.0
Combined,Set1,1,Draw7,7,1,1,0.0,1,0.0,False,False,False,False,05677:3;0677:3;00567:1,67705:3;6770:3;67005:1,3.0
Combined,Set1,1,Draw7,22,1,1,0.0,1,0.0,False,False,False,False,22446:4;2246:4,62244:4;6224:4,3.0
Combined,Set1,1,Draw7,0,1,1,0.0,1,0.0,False,False,False,False,005:1,005:1,3.0
Combined,Set1,1,Draw7,27,1,1,0.0,1,0.0,False,False,False,False,223:4;2233:1,322:4;3322:1,3.0
Combined,Set1,1,Draw7,4,1,1,0.0,1,0.0,False,False,False,False,003:1,003:1,3.0
Combined,Set1,1,Draw7,2,1,1,0.0,1,0.0,False,False,False,False,006:1,006:1,3.0
Combined,Set1,1,Draw7,13,1,1,0.0,1,0.0,False,False,False,False,033:1,033:1,3.0
Combined,Set1,1,Draw7,29,1,1,0.0,1,0.0,False,False,False,False,233:1,332:1,3.0
Combined,Set1,2,Draw1,28,4,2,0.0,7,1.0,True,True,False,False,224:2;2249:2;229:2,224:6;9224:2;922:2,23.0
Combined,Set1,2,Draw1,33,4,2,0.0,6,1.0,True,True,False,False,339:2;334:2;3349:2,933:6;433:2;9334:2,22.0
Combined,Set1,2,Draw1,30,4,3,0.0,7,1.0,True,False,False,False,223349:2;2234:2;22334:2,933224:4;3224:4;33224:4,20.0
Combined,Set1,2,Draw1,29,4,2,0.0,6,1.0,True,False,False,False,233:3;337:1,332:4;233:2;337:2,18.0
Combined,Set1,2,Draw1,27,2,1,0.0,7,1.0,True,False,False,False,2233:2;223:2,3322:4;322:4,14.0
Combined,Set1,2,Draw2,13,4,1,0.0,4,1.0,True,True,True,False,033:1,033:4,21.0
