section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,hp_span,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,top_canonicals,top_modal_orders,family_score
Combined,Set1,1,Draw1,5,4,2,0.0,7,1.0,True,False,False,True,009:2,900:4,22.0
Combined,Set1,1,Draw1,4,4,1,0.0,1,1.0,True,True,True,True,008:1,008:4,21.0
Combined,Set1,1,Draw1,12,4,3,0.0,5,1.0,True,False,False,True,029:1,092:2,21.0
Combined,Set1,1,Draw2,4,4,1,0.0,1,1.0,True,True,True,True,008:1,008:4,21.0
Combined,Set1,1,Draw2,5,4,2,0.0,6,1.0,True,False,False,True,009:3,900:4;009:2,21.0
Combined,Set1,1,Draw2,12,4,3,0.0,5,1.0,True,False,False,True,0029:1;029:1,0092:2;092:2,21.0
Combined,Set1,1,Draw2,3,1,1,0.0,6,1.0,False,False,False,False,002:1,200:1,9.0
Combined,Set1,1,Draw3,12,4,3,0.0,5,1.0,True,False,False,True,0079:3;00279:1;0029:1,9007:4;70092:2;0092:2,21.0
Combined,Set1,1,Draw3,4,4,2,0.0,1,1.0,True,True,False,True,008:1,008:3,20.0
Combined,Set1,1,Draw3,5,4,2,0.0,5,1.0,True,False,False,False,009:3,900:4;009:2,17.0
Combined,Set1,1,Draw3,3,4,2,0.0,5,1.0,True,False,False,False,007:3;0027:1;002:1,007:6;2007:1;200:1,17.0
Combined,Set1,1,Draw4,12,4,3,0.0,4,1.0,True,False,False,True,0079:3;00779:2;002799:1,90077:4;9007:4;700992:2,20.0
Combined,Set1,1,Draw4,31,4,2,0.0,4,1.0,True,True,False,False,299:1,992:3,20.0
Combined,Set1,1,Draw4,11,4,3,0.0,3,1.0,True,False,False,True,028:1,208:2,19.0
Combined,Set1,1,Draw4,3,4,2,0.0,4,1.0,True,False,False,False,007:3;0077:2;0027:1,007:6;0077:4;2007:1,16.0
Combined,Set1,1,Draw4,5,4,2,0.0,4,1.0,True,False,False,False,009:3;0099:1,900:4;0099:2;009:2,16.0
Combined,Set1,1,Draw4,10,4,2,0.0,4,1.0,True,False,False,False,077:2,077:4,16.0
Combined,Set1,1,Draw4,15,3,2,0.0,4,1.0,True,False,False,False,099:1,099:2,14.0
Combined,Set1,1,Draw5,12,4,3,0.0,3,1.0,True,False,False,True,0079:3;00779:2;0024799:1,7009:6;77009:4;7009924:2,19.0
Combined,Set1,1,Draw5,31,4,2,0.0,3,1.0,True,True,False,False,2499:1;299:1;249:1,9924:3;992:3;924:3,19.0
Combined,Set1,1,Draw5,8,4,3,0.0,1,1.0,True,False,False,True,0068:2;068:2;0018:1,0018:2;018:2;0086:2,17.0
Combined,Set1,1,Draw5,21,4,2,0.0,1,1.0,True,False,False,True,6778:2;678:2;128:1,6877:4;687:4;182:1,16.0
Combined,Set1,1,Draw5,5,4,2,0.0,3,1.0,True,False,False,False,009:3;0099:1;004:1,900:4;0099:2;009:2,15.0
