section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Midday,Set3,Draw1,1,033,straight,30.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Midday,Set2,Draw1,1,033,straight,29.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span6|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Midday,Set3,Draw1,4,033,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Midday,Set3,Draw1,3,033,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Midday,Set3,Draw1,2,033,straight,26.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span7|vstr2|vstr3|cons_full|hot1|cons_3v
Midday,Set3,Draw1,5,033,straight,25.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,0,straight|cov4|span7|vstr2|vstr3|cons_full|cons_3v
Midday,Set2,Draw1,2,033,straight,25.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span6|vstr2|vstr3|cons_full|hot1|cons_3v
Midday,Set1,Draw1,1,335,boxed,25.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span5|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw1,1,0066,straight,24.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|hot2
Evening,Set1,Draw1,1,005667,boxed,24.0,"R2,R4,R6,R8",True,False,False,False,False,False,False,True,False,2,boxed|cov4|span5|mirror|hot2|dom_last
Midday,Set3,Draw1,4,003,straight,24.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span5|vstr2|vstr3|cons_full|hot1|cons_3v
Midday,Set3,Draw1,3,003,straight,24.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span5|vstr2|vstr3|cons_full|hot1|cons_3v
Evening,Set1,Draw1,1,006,straight,23.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|hot2
Evening,Set1,Draw1,1,066,straight,23.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|hot2
Evening,Set1,Draw1,1,667,straight,23.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|hot2
Evening,Set1,Draw2,1,0066,straight,23.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|hot2
Midday,Set3,Draw1,5,003,straight,23.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,0,straight|cov4|span5|vstr2|vstr3|cons_full|cons_3v
Midday,Set1,Draw2,1,335566,boxed,23.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,boxed|cov4|span5|hot2|dom_last
Evening,Set1,Draw1,3,0066,straight,22.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|hot2
Evening,Set1,Draw1,2,0066,straight,22.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|hot2
Evening,Set1,Draw2,1,006,straight,22.0,"R2,R4,R8",False,True,True,False,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|hot2
