section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Combined,Set1,Draw1,1,499,straight,31.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,2,straight|cov4|span5|vstr2|vstr3|mirror|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw3,1,499,straight,29.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,2,straight|cov4|span3|vstr2|vstr3|mirror|cons_full|hot2|dom_last|cons_3v
Midday,Set1,Draw1,1,249,boxed,27.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,2,boxed|cov4|span7|mirror|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw1,1,049,straight,26.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,2,straight|cov4|vstr2|vstr3|mirror|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw2,1,049,straight,26.5,"R2,R4,R6,R8",True,True,True,False,True,True,False,True,False,2,straight|cov4|vstr2|vstr3|mirror|cons_full|hot2|dom_last|cons_3v
Combined,Set3,Draw1,1,499,straight,26.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,straight|cov4|span5|vstr2|vstr3|mirror|cons_full|hot1|cons_3v
Combined,Set3,Draw1,1,449,straight,26.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,straight|cov4|span5|vstr2|vstr3|mirror|cons_full|hot1|cons_3v
Combined,Set1,Draw1,3,499,straight,26.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,straight|cov4|span5|vstr2|vstr3|mirror|cons_full|hot2|cons_3v
Combined,Set1,Draw1,2,499,straight,26.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,2,straight|cov4|span5|vstr2|vstr3|mirror|cons_full|hot2|cons_3v
Midday,Set1,Draw2,1,249,boxed,26.0,"R2,R4,R6,R8",True,False,False,False,True,True,False,True,False,2,boxed|cov4|span6|mirror|cons_full|hot2|dom_last|cons_3v
Combined,Set3,Draw1,1,4499,straight,25.5,"R2,R4,R6,R8",True,True,True,False,False,False,False,True,False,1,straight|cov4|span5|vstr2|vstr3|mirror|hot1|dom_last
Evening,Set3,Draw1,1,002,straight,25.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set2,Draw1,1,499,straight,25.0,"R2,R4,R6,R8",True,True,True,False,True,True,False,False,False,1,straight|cov4|span4|vstr2|vstr3|mirror|cons_full|hot1|cons_3v
