Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,960,769,635,584,955,971,616
Set3,Draw1,R2,24011338677,240113387,24011387,201137*,201137*,2013*,203*
Set3,Draw1,R4,20683347711,208334711,20834711,203711*,203711*,2031*,203*
Set3,Draw1,R6,68117703324,811703324,81170324,117032*,117032*,1032*,032*
Set3,Draw1,R8,77011833624,701183324,70118324,701132*,701132*,0132*,032*
Set2,Draw1,draw_data,769,635,584,955,971,616,038
Set2,Draw1,R2,522401133887,2240113887,22011387,22011387*,220138*,22038*,022*
Set2,Draw1,R4,225088334711,2208834711,22083711,22083711*,220831*,22083*,022*
Set2,Draw1,R6,881170533224,8811703224,81170322,81170322*,810322*,80322*,022*
Set2,Draw1,R8,701188332245,7011883224,70118322,70118322*,018322*,08322*,022*
Set1,Draw1,draw_data,635,584,955,971,616,038,620
Set1,Draw1,R2,522440113887,224011387,224011387*,2240138*,224038**,224**,024**
Set1,Draw1,R4,225088344711,220834711,220834711*,2208341*,220834**,224**,024**
Set1,Draw1,R6,881170532244,811703224,811703224*,8103224*,803224**,224**,024**
Set1,Draw1,R8,701188322445,701183224,701183224*,0183224*,083224**,224**,024**
Set1,Draw2,draw_data,N/A,584,955,971,616,038,620
Set1,Draw2,R2,N/A,92240011387,2240011387,22400138*,2240038*,2240**,024**
Set1,Draw2,R4,N/A,22900834711,2200834711,22008341*,2200834*,2204**,024**
Set1,Draw2,R6,N/A,81170093224,8117003224,81003224*,8003224*,0224**,024**
Set1,Draw2,R8,N/A,70011983224,7001183224,00183224*,0083224*,0224**,024**
Set1,Draw3,draw_data,N/A,N/A,955,971,616,038,620
Set1,Draw3,R2,N/A,N/A,9224001138677,2240013867,22400387*,22407**,247**
Set1,Draw3,R4,N/A,N/A,2290068347711,2200683471,22008347*,22047**,247**
Set1,Draw3,R6,N/A,N/A,6811770093224,6817003224,87003224*,70224**,724**
Set1,Draw3,R8,N/A,N/A,7700119836224,7001836224,70083224*,70224**,724**
Set1,Draw4,draw_data,N/A,N/A,N/A,971,616,038,620
Set1,Draw4,R2,N/A,N/A,N/A,224001338667,224003387,224037**,2437**
Set1,Draw4,R4,N/A,N/A,N/A,220066833471,220083347,220347**,2347**
Set1,Draw4,R6,N/A,N/A,N/A,668170033224,870033224,703224**,7324**
Set1,Draw4,R8,N/A,N/A,N/A,700183366224,700833224,703224**,7324**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,616,038,620
Set1,Draw5,R2,N/A,N/A,N/A,N/A,22440033887,22440387**,244387**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22008833447,22083447**,283447**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,88700332244,87032244**,873244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70088332244,70832244**,783244**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,038,620
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,55922440387,559244387*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22559083447,255983447*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,87055932244,875593244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,70983224455,798324455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,620
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,559924413877
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,255998344771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,817755993244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,771998324455
