Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,736,208,840,339,371,760,316
Set3,Draw1,R2,592200113887,592011387,5921137,52117*,521*,521*,052*
Set3,Draw1,R4,225900883711,259083711,2593711,25711*,251*,251*,025*
Set3,Draw1,R6,881170059322,811705932,1175932,11752*,152*,152*,052*
Set3,Draw1,R8,700119883225,701198325,7119325,71125*,125*,125*,025*
Set2,Draw1,draw_data,208,840,339,371,760,316,851
Set2,Draw1,R2,59924011387,59921137,592117,5921*,5921*,592*,092*
Set2,Draw1,R4,25990834711,25993711,259711,2591*,2591*,259*,029*
Set2,Draw1,R6,81170599324,11759932,117592,1592*,1592*,592*,092*
Set2,Draw1,R8,70119983245,71199325,711925,1925*,1925*,925*,092*
Set1,Draw1,draw_data,840,339,371,760,316,851,578
Set1,Draw1,R2,55992411367,559241167,5592416*,559241*,55924**,5924**,924**
Set1,Draw1,R4,25599634711,255964711,2559641*,255941*,25594**,2594**,294**
Set1,Draw1,R6,61175599324,611755924,6155924*,155924*,55924**,5924**,924**
Set1,Draw1,R8,71199362455,711962455,1962455*,192455*,92455**,9245**,924**
Set1,Draw2,draw_data,N/A,339,371,760,316,851,578
Set1,Draw2,R2,N/A,55924116677,559241667,5592416*,55924*,5924**,924**
Set1,Draw2,R4,N/A,25596647711,255966471,2559641*,25594*,2594**,294**
Set1,Draw2,R6,N/A,66117755924,661755924,6155924*,55924*,5924**,924**
Set1,Draw2,R8,N/A,77119662455,719662455,1962455*,92455*,9245**,924**
Set1,Draw3,draw_data,N/A,N/A,371,760,316,851,578
Set1,Draw3,R2,N/A,N/A,559224018667,559224186,5592248*,59224**,9224**
Set1,Draw3,R4,N/A,N/A,225590668471,225596841,2255984*,22594**,2294**
Set1,Draw3,R6,N/A,N/A,668170559224,681559224,8559224*,59224**,9224**
Set1,Draw3,R8,N/A,N/A,701986622455,198622455,9822455*,92245**,9224**
Set1,Draw4,draw_data,N/A,N/A,N/A,760,316,851,578
Set1,Draw4,R2,N/A,N/A,N/A,559224401886,5592244088,59224408**,922440**
Set1,Draw4,R4,N/A,N/A,N/A,225590688441,2255908844,22590844**,229044**
Set1,Draw4,R6,N/A,N/A,N/A,688105592244,8805592244,80592244**,092244**
Set1,Draw4,R8,N/A,N/A,N/A,019886224455,0988224455,09822445**,092244**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,316,851,578
Set1,Draw5,R2,N/A,N/A,N/A,N/A,55992244088,599224408**,9922440**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22559908844,225990844**,2299044**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,88055992244,805992244**,0992244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,09988224455,099822445**,0992244**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,851,578
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59922440387,99224403*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22599083447,22990344*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,87059932244,09932244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,70998322445,09932244*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,578
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,99224400367
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,22990063447
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,67009932244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70099362244
