Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,149,558,662,151,435,817,513
Set3,Draw1,R2,552400338867,240033867,4003387,4003387*,00387*,003*,000*
Set3,Draw1,R4,255006883347,200683347,0083347,0083347*,00837*,003*,000*
Set3,Draw1,R6,688700553324,687003324,8700334,8700334*,87003*,003*,000*
Set3,Draw1,R8,700883362455,700833624,7008334,7008334*,70083*,003*,000*
Set2,Draw1,draw_data,558,662,151,435,817,513,791
Set2,Draw1,R2,24001338667,40013387,4003387,00387*,003*,000*,000*
Set2,Draw1,R4,20066833471,00833471,0083347,00837*,003*,000*,000*
Set2,Draw1,R6,66817003324,81700334,8700334,87003*,003*,000*,000*
Set2,Draw1,R8,70018336624,70018334,7008334,70083*,003*,000*,000*
Set1,Draw1,draw_data,662,151,435,817,513,791,551
Set1,Draw1,R2,92400133877,9240033877,92003877*,920037*,92007**,200**,200**
Set1,Draw1,R4,29008334771,2900833477,29008377*,290037*,29007**,200**,200**
Set1,Draw1,R6,81770093324,8770093324,87700932*,700932*,70092**,002**,002**
Set1,Draw1,R8,77001983324,7700983324,77009832*,700932*,70092**,002**,002**
Set1,Draw2,draw_data,N/A,151,435,817,513,791,551
Set1,Draw2,R2,N/A,992440033877,9924003877,99240037*,9924007*,92400**,92400**
Set1,Draw2,R4,N/A,299008334477,2990083477,29900347*,2990047*,29004**,29004**
Set1,Draw2,R6,N/A,877009933244,8770099324,70099324*,7009924*,00924**,00924**
Set1,Draw2,R8,N/A,770099833244,7700998324,70099324*,7009924*,00924**,00924**
Set1,Draw3,draw_data,N/A,N/A,435,817,513,791,551
Set1,Draw3,R2,N/A,N/A,99240038877,992400387,99240087*,924008**,924008**
Set1,Draw3,R4,N/A,N/A,29900883477,299008347,29900847*,290084**,290084**
Set1,Draw3,R6,N/A,N/A,88770099324,870099324,87009924*,800924**,800924**
Set1,Draw3,R8,N/A,N/A,77009988324,700998324,70099824*,009824**,009824**
Set1,Draw4,draw_data,N/A,N/A,N/A,817,513,791,551
Set1,Draw4,R2,N/A,N/A,N/A,992240038667,99224008667,922400866**,922400866**
Set1,Draw4,R4,N/A,N/A,N/A,229900668347,22990066847,229006684**,229006684**
Set1,Draw4,R6,N/A,N/A,N/A,668700993224,66870099224,668009224**,668009224**
Set1,Draw4,R8,N/A,N/A,N/A,700998366224,70099866224,009866224**,009866224**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,513,791,551
Set1,Draw5,R2,N/A,N/A,N/A,N/A,99224008667,922400866**,922400866**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22990066847,229006684**,229006684**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66870099224,668009224**,668009224**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70099866224,009866224**,009866224**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,791,551
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,592244003866,92244003866*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,225900668344,22900668344*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668005932244,66800932244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,009836622445,00983662244*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,551
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,9224400388667
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2290066883447
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6688700932244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7009883662244
