Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,593,962,640,723,298,865,908
Set3,Draw1,R2,24013886677,401388677,138877,1887*,187*,017*,017*
Set3,Draw1,R4,20668834771,068834771,883771,8871*,871*,071*,071*
Set3,Draw1,R6,66881770324,688177034,881773,8817*,817*,017*,017*
Set3,Draw1,R8,77018836624,770188364,771883,7188*,718*,071*,071*
Set2,Draw1,draw_data,962,640,723,298,865,908,258
Set2,Draw1,R2,54011388677,51138877,511887,51187*,117*,117*,117*
Set2,Draw1,R4,50688347711,58837711,588711,58711*,711*,711*,711*
Set2,Draw1,R6,68811770534,88117753,881175,81175*,117*,117*,117*
Set2,Draw1,R8,77011883645,77118835,711885,71185*,711*,711*,711*
Set1,Draw1,draw_data,640,723,298,865,908,258,126
Set1,Draw1,R2,52401138877,54011887,5401187*,40117*,4117**,4117**,417**
Set1,Draw1,R4,25088347711,50884711,5084711*,04711*,4711**,4711**,471**
Set1,Draw1,R6,88117705324,88117054,8117054*,11704*,1174**,1174**,174**
Set1,Draw1,R8,77011883245,70118845,7011845*,70114*,7114**,7114**,714**
Set1,Draw2,draw_data,N/A,723,298,865,908,258,126
Set1,Draw2,R2,N/A,55940113887,554011387,5401137*,541137*,41137**,4137**
Set1,Draw2,R4,N/A,55908834711,550834711,5034711*,534711*,34711**,3471**
Set1,Draw2,R6,N/A,88117055934,811705534,1170534*,117534*,11734**,1734**
Set1,Draw2,R8,N/A,70119883455,701183455,7011345*,711345*,71134**,7134**
Set1,Draw3,draw_data,N/A,N/A,298,865,908,258,126
Set1,Draw3,R2,N/A,N/A,55940113867,59401137,541137*,41137**,4137**
Set1,Draw3,R4,N/A,N/A,55906834711,59034711,534711*,34711**,3471**
Set1,Draw3,R6,N/A,N/A,68117055934,11705934,117534*,11734**,1734**
Set1,Draw3,R8,N/A,N/A,70119836455,70119345,711345*,71134**,7134**
Set1,Draw4,draw_data,N/A,N/A,N/A,865,908,258,126
Set1,Draw4,R2,N/A,N/A,N/A,59440011367,544011367,44011367**,440137**
Set1,Draw4,R4,N/A,N/A,N/A,59006344711,506344711,06344711**,034471**
Set1,Draw4,R6,N/A,N/A,N/A,61170059344,611705344,61170344**,170344**
Set1,Draw4,R8,N/A,N/A,N/A,70011936445,701136445,70113644**,701344**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,908,258,126
Set1,Draw5,R2,N/A,N/A,N/A,N/A,524401133677,4401133677**,44013377**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,250633447711,0633447711**,03344771**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,611770533244,6117703344**,17703344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770113362445,7701133644**,77013344**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,258,126
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,924401133677,944013377*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,290633447711,903344771*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,611770933244,177093344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,770119336244,770193344*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,126
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,59440133677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,59063344771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,61770593344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,77019336445
