Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,769,697,133,258,960,635,955
Set3,Draw1,R2,59244001136,524400113,5244001,44001*,4401*,4401*,4401*
Set3,Draw1,R4,25900634411,250034411,2500441,00441*,0441*,0441*,0441*
Set3,Draw1,R6,61100593244,110053244,1005244,10044*,1044*,1044*,1044*
Set3,Draw1,R8,00119362445,001132445,0012445,00144*,0144*,0144*,0144*
Set2,Draw1,DRAW_DATA,697,133,258,960,635,955,616
Set2,Draw1,R2,52244001138,522440018,244001,24401*,24401*,24401*,2440*
Set2,Draw1,R4,22500834411,225008441,200441,20441*,20441*,20441*,2044*
Set2,Draw1,R6,81100532244,810052244,100244,10244*,10244*,10244*,0244*
Set2,Draw1,R8,00118322445,001822445,001244,01244*,01244*,01244*,0244*
Set1,Draw1,DRAW_DATA,133,258,960,635,955,616,620
Set1,Draw1,R2,55224400188,52440018,5244018*,244018*,244018**,24408**,448**
Set1,Draw1,R4,22550088441,25008441,2508441*,208441*,208441**,20844**,844**
Set1,Draw1,R6,88100552244,81005244,8105244*,810244*,810244**,80244**,844**
Set1,Draw1,R8,00188224455,00182445,0182445*,018244*,018244**,08244**,844**
Set1,Draw2,R2,N/A,59244001867,52440187,2440187*,2440187*,244087**,4487**
Set1,Draw2,R4,N/A,25900684471,25084471,2084471*,2084471*,208447**,8447**
Set1,Draw2,R6,N/A,68170059244,81705244,8170244*,8170244*,870244**,8744**
Set1,Draw2,R8,N/A,70019862445,70182445,7018244*,7018244*,708244**,7844**
Set1,Draw3,R2,N/A,N/A,59244018677,924401877,24401877*,2440877**,44877**
Set1,Draw3,R4,N/A,N/A,25906844771,290844771,20844771*,2084477**,84477**
Set1,Draw3,R6,N/A,N/A,68177059244,817709244,81770244*,8770244**,87744**
Set1,Draw3,R8,N/A,N/A,77019862445,770198244,77018244*,7708244**,77844**
Set1,Draw4,R2,N/A,N/A,N/A,92440113877,2440113877,244013877**,4413877**
Set1,Draw4,R4,N/A,N/A,N/A,29083447711,2083447711,208344771**,8344771**
Set1,Draw4,R6,N/A,N/A,N/A,81177093244,8117703244,817703244**,8177344**
Set1,Draw4,R8,N/A,N/A,N/A,77011983244,7701183244,770183244**,7718344**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,224401138877,22440138877**,244138877**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,220883447711,22088344771**,288344771**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,881177032244,88177032244**,881773244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770118832244,77018832244**,771883244**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,9224400138877,92440138877*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,2290088344771,29088344771*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,8817700932244,88177093244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,7700198832244,77019883244*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,924401338877
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,290883344771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,881770933244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,770198833244
