Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,596.0,158.0,426,489,507,701,178
Set3,Draw1,R2,92244011887.0,922440187.0,9240187,2017*,021*,002*,002*
Set3,Draw1,R4,22908844711.0,229084471.0,2908471,2071*,021*,002*,002*
Set3,Draw1,R6,88117092244.0,817092244.0,8170924,1702*,012*,002*,002*
Set3,Draw1,R8,70119882244.0,701982244.0,7019824,7012*,012*,002*,002*
Set2,Draw1,draw_data,158.0,426.0,489,507,701,178,861
Set2,Draw1,R2,92244013387.0,924013387.0,201337,2133*,233*,233*,233*
Set2,Draw1,R4,22908334471.0,290833471.0,203371,2331*,233*,233*,233*
Set2,Draw1,R6,81709332244.0,817093324.0,170332,1332*,332*,332*,332*
Set2,Draw1,R8,70198332244.0,701983324.0,701332,1332*,332*,332*,332*
Set1,Draw1,draw_data,426.0,489.0,507,701,178,861,531
Set1,Draw1,R2,92400133877.0,20013377.0,201337*,233*,233**,233**,023**
Set1,Draw1,R4,29008334771.0,20033771.0,203371*,233*,233**,233**,023**
Set1,Draw1,R6,81770093324.0,17700332.0,170332*,332*,332**,332**,032**
Set1,Draw1,R8,77001983324.0,77001332.0,701332*,332*,332**,332**,032**
Set1,Draw2,draw_data,,489.0,507,701,178,861,531
Set1,Draw2,R2,,59200133677.0,92013367,92336*,92336*,9233**,923**
Set1,Draw2,R4,,25900633771.0,29063371,29633*,29633*,2933**,293**
Set1,Draw2,R6,,61770059332.0,61709332,69332*,69332*,9332**,932**
Set1,Draw2,R8,,77001933625.0,70193362,93362*,93362*,9332**,932**
Set1,Draw3,draw_data,,,507,701,178,861,531
Set1,Draw3,R2,,,59201133867,59213386,592336*,59233**,923**
Set1,Draw3,R4,,,25906833711,25968331,259633*,25933**,293**
Set1,Draw3,R6,,,68117059332,68159332,659332*,59332**,932**
Set1,Draw3,R8,,,70119833625,19833625,933625*,93325**,932**
Set1,Draw4,draw_data,,,,701,178,861,531
Set1,Draw4,R2,,,,59224133866,592243366,59224336**,922436**
Set1,Draw4,R4,,,,22596683341,225966334,22596334**,229634**
Set1,Draw4,R6,,,,66815933224,665933224,65933224**,693224**
Set1,Draw4,R8,,,,19833662245,933662245,93362245**,936224**
Set1,Draw5,draw_data,,,,,178,861,531
Set1,Draw5,R2,,,,,599224433866,5992244336**,99224436**
Set1,Draw5,R4,,,,,225996683344,2259963344**,22996344**
Set1,Draw5,R6,,,,,668599332244,6599332244**,69932244**
Set1,Draw5,R8,,,,,998336622445,9933622445**,99362244**
Set1,Draw6,draw_data,,,,,,861,531
Set1,Draw6,R2,,,,,,559922440336,5992244036*
Set1,Draw6,R4,,,,,,225599063344,2259906344*
Set1,Draw6,R6,,,,,,605599332244,6059932244*
Set1,Draw6,R8,,,,,,099336224455,0993622445*
Set1,Draw7,draw_data,,,,,,,531
Set1,Draw7,R2,,,,,,,599224400367
Set1,Draw7,R4,,,,,,,225990063447
Set1,Draw7,R6,,,,,,,670059932244
Set1,Draw7,R8,,,,,,,700993622445
