Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,865.0,775.0,337,846,525,233,451
Set3,Draw1,R2,922400133877.0,9224001338.0,92240018,922001*,92001*,9001*,900*
Set3,Draw1,R4,229008334771.0,2290083341.0,22900841,229001*,29001*,9001*,900*
Set3,Draw1,R6,817700933224.0,8100933224.0,81009224,100922*,10092*,1009*,009*
Set3,Draw1,R8,770019833224.0,19833224.0,00198224,001922*,00192*,0019*,009*
Set2,Draw1,draw_data,775.0,337.0,846,525,233,451,194
Set2,Draw1,R2,922440011338.0,9224400118.0,92240011,9240011*,940011*,9001*,000*
Set2,Draw1,R4,229008334411.0,2290084411.0,22900411,2900411*,900411*,9001*,000*
Set2,Draw1,R6,811009332244.0,8110092244.0,11009224,1100924*,110094*,1009*,000*
Set2,Draw1,R8,1198332244.0,11982244.0,00119224,0011924*,001194*,0019*,000*
Set1,Draw1,draw_data,337.0,846.0,525,233,451,194,186
Set1,Draw1,R2,992244001186.0,992240011.0,99240011*,9940011*,99001**,900**,900**
Set1,Draw1,R4,229900684411.0,229900411.0,29900411*,9900411*,99001**,900**,900**
Set1,Draw1,R6,681100992244.0,110099224.0,11009924*,1100994*,10099**,009**,009**
Set1,Draw1,R8,1199862244.0,1199224.0,00119924*,0011994*,00199**,009**,009**
Set1,Draw2,draw_data,,846.0,525,233,451,194,186
Set1,Draw2,R2,,599224001186.0,9924001186,994001186*,9900186*,90086**,900**
Set1,Draw2,R4,,225990068411.0,2990068411,990068411*,9900681*,90068**,900**
Set1,Draw2,R6,,681100599224.0,6811009924,681100994*,6810099*,68009**,009**
Set1,Draw2,R8,,1199862245.0,0011998624,001199864*,0019986*,00986**,009**
Set1,Draw3,draw_data,,,525,233,451,194,186
Set1,Draw3,R2,,,99240011867,9940011867,99001867*,900867**,9007**
Set1,Draw3,R4,,,29900684711,9900684711,99006871*,900687**,9007**
Set1,Draw3,R6,,,68117009924,6811700994,68170099*,687009**,7009**
Set1,Draw3,R8,,,70011998624,7001199864,70019986*,700986**,7009**
Set1,Draw4,draw_data,,,,233,451,194,186
Set1,Draw4,R2,,,,99400118677,990018677,9008677**,90077**
Set1,Draw4,R4,,,,99006847711,990068771,9006877**,90077**
Set1,Draw4,R6,,,,68117700994,681770099,6877009**,77009**
Set1,Draw4,R8,,,,77001199864,770019986,7700986**,77009**
Set1,Draw5,draw_data,,,,,451,194,186
Set1,Draw5,R2,,,,,994001886677,900886677**,9008677**
Set1,Draw5,R4,,,,,990066884771,900668877**,9006877**
Set1,Draw5,R6,,,,,668817700994,668877009**,6877009**
Set1,Draw5,R8,,,,,770019988664,770098866**,7700986**
Set1,Draw6,draw_data,,,,,,194,186
Set1,Draw6,R2,,,,,,59200886677,592008677*
Set1,Draw6,R4,,,,,,25900668877,259006877*
Set1,Draw6,R6,,,,,,66887700592,687700592*
Set1,Draw6,R8,,,,,,77009886625,770098625*
Set1,Draw7,draw_data,,,,,,,186
Set1,Draw7,R2,,,,,,,592200338677
Set1,Draw7,R4,,,,,,,225900683377
Set1,Draw7,R6,,,,,,,687700593322
Set1,Draw7,R8,,,,,,,770098336225
