Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,311,008,985,817,279,558,151
Set3,Draw1,R2,55924403886,559244386,524436,524436*,54436*,4436*,4436*
Set3,Draw1,R4,25590688344,255968344,256344,256344*,56344*,6344*,6344*
Set3,Draw1,R6,68805593244,685593244,653244,653244*,65344*,6344*,6344*
Set3,Draw1,R8,09883624455,983624455,362445,362445*,36445*,3644*,3644*
Set2,Draw1,DRAW_DATA,008,985,817,279,558,151,817
Set2,Draw1,R2,559922443867,592244367,59224436,524436*,24436*,24436*,24436*
Set2,Draw1,R4,225599683447,225963447,22596344,256344*,26344*,26344*,26344*
Set2,Draw1,R6,687559932244,675932244,65932244,653244*,63244*,63244*,63244*
Set2,Draw1,R8,799836224455,793622445,93622445,362445*,36244*,36244*,36244*
Set1,Draw1,DRAW_DATA,985,817,279,558,151,817,791
Set1,Draw1,R2,59224436677,5922443667,5244366*,244366*,244366**,244366**,244366**
Set1,Draw1,R4,22596634477,2259663447,2566344*,266344*,266344**,266344**,266344**
Set1,Draw1,R6,66775932244,6675932244,6653244*,663244*,663244**,663244**,663244**
Set1,Draw1,R8,77936622445,7936622445,3662445*,366244*,366244**,366244**,366244**
Set1,Draw2,R2,N/A,592244133667,524413366,24413366*,2443366*,2443366**,2443366**
Set1,Draw2,R4,N/A,225966334471,256633441,26633441*,2663344*,2663344**,2663344**
Set1,Draw2,R6,N/A,661759332244,661533244,66133244*,6633244*,6633244**,6633244**
Set1,Draw2,R8,N/A,719336622445,133662445,13366244*,3366244*,3366244**,3366244**
Set1,Draw3,R2,N/A,N/A,52440013366,2440013366,244003366*,244003366**,244003366**
Set1,Draw3,R4,N/A,N/A,25006633441,2006633441,200663344*,200663344**,200663344**
Set1,Draw3,R6,N/A,N/A,66100533244,6610033244,660033244*,660033244**,660033244**
Set1,Draw3,R8,N/A,N/A,00133662445,0013366244,003366244*,003366244**,003366244**
Set1,Draw4,R2,N/A,N/A,N/A,92440013366,9244003366,9244003366**,244003366**
Set1,Draw4,R4,N/A,N/A,N/A,29006633441,2900663344,2900663344**,200663344**
Set1,Draw4,R6,N/A,N/A,N/A,66100933244,6600933244,6600933244**,660033244**
Set1,Draw4,R8,N/A,N/A,N/A,00193366244,0093366244,0093366244**,003366244**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,924400338667,9244003366**,244003366**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,290066833447,2900663344**,200663344**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668700933244,6600933244**,660033244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,700983366244,0093366244**,003366244**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,9922440033667,92244003366*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,2299006633447,22900663344*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,6670099332244,66009332244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,7009933662244,00933662244*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5922440033866
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2259006683344
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6680059332244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,0098336622445
