Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,904,248,813,293,891,891,458
Set3,Draw1,R2,55922138867,559213867,559267,5567*,5567*,5567*,567*
Set3,Draw1,R4,22559688371,255968371,255967,5567*,5567*,5567*,567*
Set3,Draw1,R6,68817559322,681755932,675592,6755*,6755*,6755*,675*
Set3,Draw1,R8,71988362255,719836255,796255,7655*,7655*,7655*,765*
Set2,Draw1,DRAW_DATA,248,813,293,891,891,458,452
Set2,Draw1,R2,55920113867,55920167,550167,55067*,55067*,5067*,067*
Set2,Draw1,R4,25590683711,25590671,550671,55067*,55067*,5067*,067*
Set2,Draw1,R6,68117055932,61705592,617055,67055*,67055*,6705*,670*
Set2,Draw1,R8,70119836255,70196255,701655,70655*,70655*,7065*,706*
Set1,Draw1,DRAW_DATA,813,293,891,891,458,452,741
Set1,Draw1,R2,55920136677,55016677,5506677*,5506677*,506677**,06677**,0667**
Set1,Draw1,R4,25590663771,55066771,5506677*,5506677*,506677**,06677**,0667**
Set1,Draw1,R6,66177055932,66177055,6677055*,6677055*,667705**,66770**,6670**
Set1,Draw1,R8,77019366255,77016655,7706655*,7706655*,770665**,77066**,7066**
Set1,Draw2,R2,N/A,55940016677,554006677,554006677*,5006677*,006677**,00667**
Set1,Draw2,R4,N/A,55900664771,550066477,550066477*,5006677*,006677**,00667**
Set1,Draw2,R6,N/A,66177005594,667700554,667700554*,6677005*,667700**,66700**
Set1,Draw2,R8,N/A,77001966455,770066455,770066455*,7700665*,770066**,70066**
Set1,Draw3,R2,N/A,N/A,55244006677,55244006677,524006677*,006677**,00667**
Set1,Draw3,R4,N/A,N/A,25500664477,25500664477,250066477*,006677**,00667**
Set1,Draw3,R6,N/A,N/A,66770055244,66770055244,667700524*,667700**,66700**
Set1,Draw3,R8,N/A,N/A,77006624455,77006624455,770066245*,770066**,70066**
Set1,Draw4,R2,N/A,N/A,N/A,552440036677,5240036677,0036677**,003667**
Set1,Draw4,R4,N/A,N/A,N/A,255006634477,2500663477,0066377**,006637**
Set1,Draw4,R6,N/A,N/A,N/A,667700553244,6677005324,6677003**,667003**
Set1,Draw4,R8,N/A,N/A,N/A,770036624455,7700366245,7700366**,700366**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,522400336677,200336677**,20033667**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,225006633477,200663377**,20066337**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,667700533224,667700332**,66700332**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770033662245,770033662**,70033662**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,92001336677,920033667*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,29006633771,290066337*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66177009332,667009332*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77001933662,700933662*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,992001338667
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,299006683371
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,668170099332
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,700199833662
