Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,764,354,617,541,051,531,434
Set3,Draw1,R2,92240033867,922003867,9220038,9220038*,922038*,92208*,92208*
Set3,Draw1,R4,22900683347,229006837,2290083,2290083*,229083*,22908*,22908*
Set3,Draw1,R6,68700933224,687009322,8009322,8009322*,809322*,80922*,80922*
Set3,Draw1,R8,70098336224,700983622,0098322,0098322*,098322*,09822*,09822*
Set2,Draw1,DRAW_DATA,354,617,541,051,531,434,261
Set2,Draw1,R2,92200138867,92200388,92200388,9220388*,922088*,922088*,92088*
Set2,Draw1,R4,22900688371,22900883,22900883,2290883*,229088*,229088*,29088*
Set2,Draw1,R6,68817009322,88009322,88009322,8809322*,880922*,880922*,88092*
Set2,Draw1,R8,70019883622,00988322,00988322,0988322*,098822*,098822*,09882*
Set1,Draw1,DRAW_DATA,617,541,051,531,434,261,266
Set1,Draw1,R2,59922001388,992200388,99220388*,9922088*,9922088**,992088**,99088**
Set1,Draw1,R4,22599008831,229900883,22990883*,2299088*,2299088**,299088**,99088**
Set1,Draw1,R6,88100599322,880099322,88099322*,8809922*,8809922**,880992**,88099**
Set1,Draw1,R8,00199883225,009988322,09988322*,0998822*,0998822**,099882**,09988**
Set1,Draw2,R2,N/A,99220038867,9922038867,992208867*,992208867*,9920887**,990887**
Set1,Draw2,R4,N/A,22990068837,2299068837,229906887*,229906887*,2990887**,990887**
Set1,Draw2,R6,N/A,68870099322,6887099322,688709922*,688709922*,8870992**,887099**
Set1,Draw2,R8,N/A,70099883622,7099883622,709988622*,709988622*,7099882**,709988**
Set1,Draw3,R2,N/A,N/A,992240338867,99224038867,992208867*,9920887**,990887**
Set1,Draw3,R4,N/A,N/A,229906883347,22990688347,229906887*,2990887**,990887**
Set1,Draw3,R6,N/A,N/A,688709933224,68870993224,688709922*,8870992**,887099**
Set1,Draw3,R8,N/A,N/A,709988336224,70998836224,709988622*,7099882**,709988**
Set1,Draw4,R2,N/A,N/A,N/A,9922403886677,99220886677,992088677**,9908877**
Set1,Draw4,R4,N/A,N/A,N/A,2299066883477,22990668877,299068877**,9908877**
Set1,Draw4,R6,N/A,N/A,N/A,6688770993224,66887709922,688770992**,8877099**
Set1,Draw4,R8,N/A,N/A,N/A,7709988366224,77099886622,770998862**,7709988**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,99220886677,992088677**,9908877**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22990668877,299068877**,9908877**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66887709922,688770992**,8877099**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,77099886622,770998862**,7709988**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59920088677,599008877*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25990068877,599008877*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,68877005992,887700599*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77009988625,770099885*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,559900138877
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,559900883771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,881770055993
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,770019988355
