+----------+-------+------------+-----------+----------------+----------------+
| Pattern  | Score | Frequency | Hot Zones | Sections       | Example        |
+----------+-------+------------+-----------+----------------+----------------+
| 554      | 109   | 25         | 25        | Combined, E... | Evening:Dra... |
| 559      | 86    | 16         | 16        | Combined, E... | Midday:Draw1:7 |
| 011      | 86    | 20         | 20        | Combined, E... | Midday:Draw4:1 |
| 411      | 74    | 18         | 18        | Combined       | Combined:Dr... |
| 5544     | 70    | 17         | 17        | Evening        | Evening:Dra... |
| 544      | 70    | 17         | 17        | Evening        | Evening:Dra... |
| 001      | 54    | 12         | 12        | Combined, E... | Midday:Draw4:4 |
| 224      | 44    | 8          | 8         | Evening, Mi... | Midday:Draw2:4 |
| 244      | 41    | 7          | 7         | Combined, E... | Midday:Draw1:7 |
| 983      | 36    | 8          | 8         | Combined, M... | Midday:Draw1:5 |
| 599      | 34    | 6          | 6         | Combined, M... | Midday:Draw2:6 |
| 833      | 32    | 7          | 7         | Combined, M... | Midday:Draw1:5 |
| 116      | 32    | 7          | 7         | Combined, E... | Evening:Dra... |
| 552      | 28    | 6          | 6         | Combined, E... | Evening:Dra... |
| 5524     | 28    | 6          | 6         | Combined, E... | Evening:Dra... |
| 524      | 28    | 6          | 6         | Combined, E... | Evening:Dra... |
| 5599     | 27    | 5          | 5         | Combined       | Combined:Dr... |
| 688      | 26    | 5          | 5         | Combined, E... | Midday:Draw3:4 |
| 883      | 24    | 5          | 5         | Combined, M... | Midday:Draw3:4 |
| 55244    | 24    | 5          | 5         | Combined, E... | Evening:Dra... |
+----------+-------+------------+-----------+----------------+----------------+
