Set,Draw,RowType,7,6,5,4,3,2,1
=== Midday Combined Table ===,,,,,,,,,
Set3,Draw1,DRAW_DATA,515,702,923,901,965,775,846
Set3,Draw1,R2,992440018667,994401866,94401866,44866*,4486*,4486*,4*
Set3,Draw1,R4,299006684471,990668441,90668441,66844*,6844*,6844*,4*
Set3,Draw1,R6,668170099244,668109944,66810944,66844*,6844*,6844*,4*
Set3,Draw1,R8,700199866244,019986644,01986644,86644*,8644*,8644*,4*
Set2,Draw1,DRAW_DATA,702,923,901,965,775,846,233
Set2,Draw1,R2,99440138667,944018667,448667,44867*,4486*,4*,4*
Set2,Draw1,R4,99066834471,906684471,668447,68447*,6844*,4*,4*
Set2,Draw1,R6,66817099344,668170944,668744,68744*,6844*,4*,4*
Set2,Draw1,R8,70199836644,701986644,786644,78644*,8644*,4*,4*
Set1,Draw1,DRAW_DATA,923,901,965,775,846,233,194
Set1,Draw1,R2,94401388667,44388667,4438867*,443886*,438**,48**,8**
Set1,Draw1,R4,90668834471,66883447,6883447*,688344*,834**,84**,8**
Set1,Draw1,R6,66881709344,66887344,6887344*,688344*,834**,84**,8**
Set1,Draw1,R8,70198836644,78836644,7883644*,883644*,834**,84**,8**
Set1,Draw2,R2,N/A,55441388667,544138867,4413886*,4138*,418**,8**
Set1,Draw2,R4,N/A,55668834471,568834471,6883441*,8341*,841**,8**
Set1,Draw2,R6,N/A,66881755344,688175344,6881344*,8134*,814**,8**
Set1,Draw2,R8,N/A,71883664455,718836445,1883644*,1834*,184**,8**
Set1,Draw3,R2,N/A,N/A,524401388677,244013886,240138*,4018**,08**
Set1,Draw3,R4,N/A,N/A,250688344771,206883441,208341*,0841**,08**
Set1,Draw3,R6,N/A,N/A,688177053244,688103244,810324*,8104**,80**
Set1,Draw3,R8,N/A,N/A,770188362445,018836244,018324*,0184**,08**
Set1,Draw4,R2,N/A,N/A,N/A,22440133886,22401338,24018**,208**
Set1,Draw4,R4,N/A,N/A,N/A,22068833441,22083341,20841**,208**
Set1,Draw4,R6,N/A,N/A,N/A,68810332244,81033224,81024**,802**
Set1,Draw4,R8,N/A,N/A,N/A,01883362244,01833224,01824**,082**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,92240011338,92400118**,20018**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22900833411,29008411**,20081**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,81100933224,81100924**,81002**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,00119833224,00119824**,00182**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59924001186,59200186*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25990068411,25900681*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,68110059924,68100592*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,00119986245,00198625*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55920018677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,25590068771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68177005592
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,77001986255
,,,,,,,,,
=== Midday R2-only Table ===,,,,,,,,,
Set3,Draw1,,N/A,N/A,N/A,N/A,992440018667,994401866,94401866
Set2,Draw1,,N/A,N/A,N/A,N/A,99440138667,944018667,448667
Set1,Draw1,,N/A,N/A,N/A,N/A,94401388667,44388667,4438867
Set1,Draw2,,N/A,N/A,N/A,N/A,N/A,55441388667,544138867
Set1,Draw3,,N/A,N/A,N/A,N/A,N/A,N/A,524401388677
Set1,Draw4,,N/A,N/A,N/A,N/A,N/A,N/A,22440133886
