Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,038,760,612,316,538,851,217
Set3,Draw1,R2,55992244066,559922446,5599244,5599244*,599244*,99244*,9944*
Set3,Draw1,R4,22559906644,225599644,2559944,2559944*,259944*,29944*,9944*
Set3,Draw1,R6,66055992244,655992244,5599244,5599244*,599244*,99244*,9944*
Set3,Draw1,R8,09966224455,996224455,9924455,9924455*,992445*,99244*,9944*
Set2,Draw1,DRAW_DATA,760,612,316,538,851,217,578
Set2,Draw1,R2,55992244186,55992448,55992448,599244*,99244*,9944*,9944*
Set2,Draw1,R4,22559968441,25599844,25599844,259944*,29944*,9944*,9944*
Set2,Draw1,R6,68155992244,85599244,85599244,599244*,99244*,9944*,9944*
Set2,Draw1,R8,19986224455,99824455,99824455,992445*,99244*,9944*,9944*
Set1,Draw1,DRAW_DATA,612,316,538,851,217,578,541
Set1,Draw1,R2,55992441387,559924487,5992447*,992447*,9944**,9944**,994**
Set1,Draw1,R4,25599834471,255998447,2599447*,299447*,9944**,9944**,994**
Set1,Draw1,R6,81755993244,875599244,7599244*,799244*,9944**,9944**,994**
Set1,Draw1,R8,71998324455,799824455,7992445*,799244*,9944**,9944**,994**
Set1,Draw2,R2,N/A,559924403887,599244087,9924407*,99440*,99440**,9940**
Set1,Draw2,R4,N/A,255990883447,259908447,2990447*,99044*,99044**,9904**
Set1,Draw2,R6,N/A,887055993244,870599244,7099244*,09944*,09944**,0994**
Set1,Draw2,R8,N/A,709988324455,709982445,7099244*,09944*,09944**,0994**
Set1,Draw3,R2,N/A,N/A,59924400877,992440077,9944007*,994400**,99400**
Set1,Draw3,R4,N/A,N/A,25990084477,299004477,9900447*,990044**,99004**
Set1,Draw3,R6,N/A,N/A,87700599244,770099244,7009944*,009944**,00994**
Set1,Draw3,R8,N/A,N/A,77009982445,770099244,7009944*,009944**,00994**
Set1,Draw4,R2,N/A,N/A,N/A,99224400677,992440067,99244006**,9924006**
Set1,Draw4,R4,N/A,N/A,N/A,22990064477,299006447,29900644**,2990064**
Set1,Draw4,R6,N/A,N/A,N/A,67700992244,670099244,60099244**,6009924**
Set1,Draw4,R8,N/A,N/A,N/A,77009962244,700996244,00996244**,0099624**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,99244003667,9924400366**,992400366**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,29900663447,2990066344**,299006634**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66700993244,6600993244**,660099324**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70099366244,0099366244**,009936624**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,99244003366,9924003366*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,29900663344,2990066334*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66009933244,6600993324*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,00993366244,0099336624*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,99240033866
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,29900668334
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,66800993324
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,00998336624
