Set,Draw,RowType,7,6,5,4,3,2,1
=== Midday Combined Table ===,,,,,,,,,
Set3,Draw1,DRAW_DATA,832,563,922,006,863,916,917
Set3,Draw1,R2,559920011377,5992001177,59001177,591177,591177,5177,57
Set3,Draw1,R4,255990037711,2599007711,59007711,597711,597711,5771,57
Set3,Draw1,R6,117700559932,1177005992,11770059,117759,117759,1775,75
Set3,Draw1,R8,770011993255,7700119925,77001195,771195,771195,7715,75
Set2,Draw1,DRAW_DATA,563,922,006,863,916,917,753
Set2,Draw1,R2,599200118677,5900118677,5911877,591177,5177,57,nan
Set2,Draw1,R4,259900687711,5900687711,5987711,597711,5771,57,nan
Set2,Draw1,R6,681177005992,6811770059,8117759,117759,1775,75,nan
Set2,Draw1,R8,770011998625,7700119865,7711985,771195,7715,75,nan
Set1,Draw1,DRAW_DATA,922,006,863,916,917,753,737
Set1,Draw1,R2,594400118677,594411877,59441177*,544177*,5447*,44*,44*
Set1,Draw1,R4,590068447711,598447711,59447711*,544771*,5447*,44*,44*
Set1,Draw1,R6,681177005944,811775944,11775944*,177544*,7544*,44*,44*
Set1,Draw1,R8,770011986445,771198445,77119445*,771445*,7445*,44*,44*
Set1,Draw2,R2,N/A,59441138877,594411877*,5441877*,54487*,448*,448*
Set1,Draw2,R4,N/A,59883447711,598447711*,5844771*,58447*,844*,844*
Set1,Draw2,R6,N/A,88117759344,811775944*,8177544*,87544*,844*,844*
Set1,Draw2,R8,N/A,77119883445,771198445*,7718445*,78445*,844*,844*
Set1,Draw3,R2,N/A,N/A,55944113877*,554413877*,5544387*,5448*,5448*
Set1,Draw3,R4,N/A,N/A,55983447711*,558344771*,5583447*,5844*,5844*
Set1,Draw3,R6,N/A,N/A,81177559344*,817755344*,8755344*,8544*,8544*
Set1,Draw3,R8,N/A,N/A,77119834455*,771834455*,7834455*,8445*,8445*
Set1,Draw4,R2,N/A,N/A,N/A,559224413877*,552244387*,522448*,522448*
Set1,Draw4,R4,N/A,N/A,N/A,225598344771*,225583447*,225844*,225844*
Set1,Draw4,R6,N/A,N/A,N/A,817755932244*,875532244*,852244*,852244*
Set1,Draw4,R8,N/A,N/A,N/A,771983224455*,783224455*,822445*,822445*
Set1,Draw5,R2,N/A,N/A,N/A,N/A,55224400387,52244008*,52244008*
Set1,Draw5,R4,N/A,N/A,N/A,N/A,22550083447,22500844*,22500844*
Set1,Draw5,R6,N/A,N/A,N/A,N/A,87005532244,80052244*,80052244*
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70083224455,00822445*,00822445*
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,52244003886,5224400886
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,22500688344,2250068844
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,68800532244,6880052244
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,00883622445,0088622445
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5922440018866
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2259006688441
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6688100592244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,0019886622445
,,,,,,,,,
=== Midday R2-only Table ===,,,,,,,,,
Set3,Draw1,,N/A,N/A,N/A,N/A,559920011377,5992001177,59001177
Set2,Draw1,,N/A,N/A,N/A,N/A,599200118677,5900118677,5911877
Set1,Draw1,,N/A,N/A,N/A,N/A,594400118677,594411877,59441177
Set1,Draw2,,N/A,N/A,N/A,N/A,N/A,59441138877,594411877
Set1,Draw3,,N/A,N/A,N/A,N/A,N/A,N/A,55944113877
Set1,Draw4,,N/A,N/A,N/A,N/A,N/A,N/A,559224413877
Set1,Draw5,,N/A,N/A,N/A,N/A,N/A,N/A,55224400387
Set1,Draw6,,N/A,N/A,N/A,N/A,N/A,N/A,52244003886
Set1,Draw7,,N/A,N/A,N/A,N/A,N/A,N/A,5922440018866
,,,,,,,,,
,,,,,,,,,
=== Evening Combined Table ===,,,,,,,,,
Set3,Draw1,DRAW_DATA,143,280,955,612,934,319,723
Set3,Draw1,R2,99224008667,99240667,9240667,94067,067,067,06
Set3,Draw1,R4,22990066847,29906647,2906647,90647,067,067,06
Set3,Draw1,R6,66870099224,66709924,6670924,67094,670,670,60
Set3,Draw1,R8,70099866224,70996624,7096624,70964,706,706,06
Set2,Draw1,DRAW_DATA,280,955,612,934,319,723,832
Set2,Draw1,R2,99240136677,9240136677,9403677,0677,0677,067,067
Set2,Draw1,R4,29906634771,2906634771,9063477,0677,0677,067,067
Set2,Draw1,R6,66177099324,6617709324,6770934,6770,6770,670,670
Set2,Draw1,R8,77019936624,7701936624,7709364,7706,7706,706,706
Set1,Draw1,DRAW_DATA,955,612,934,319,723,832,140
Set1,Draw1,R2,92401386677,94038677,08677*,08677*,0867*,067*,67*
Set1,Draw1,R4,29066834771,90683477,06877*,06877*,0687*,067*,67*
Set1,Draw1,R6,66817709324,68770934,68770*,68770*,6870*,670*,67*
Set1,Draw1,R8,77019836624,77098364,77086*,77086*,7086*,706*,76*
Set1,Draw2,R2,N/A,94401338677,40138677*,408677*,40867*,4067*,67*
Set1,Draw2,R4,N/A,90683344771,06834771*,068477*,06847*,0647*,67*
Set1,Draw2,R6,N/A,68177093344,68177034*,687704*,68704*,6704*,67*
Set1,Draw2,R8,N/A,77019833644,77018364*,770864*,70864*,7064*,76*
Set1,Draw3,R2,N/A,N/A,24001388677*,240088677*,4008867*,400867*,0867*
Set1,Draw3,R4,N/A,N/A,20068834771*,200688477*,0068847*,006847*,0687*
Set1,Draw3,R6,N/A,N/A,68817700324*,688770024*,6887004*,687004*,6870*
Set1,Draw3,R8,N/A,N/A,77001883624*,770088624*,7008864*,700864*,7086*
Set1,Draw4,R2,N/A,N/A,N/A,55240088677*,554008867*,55400867*,550867*
Set1,Draw4,R4,N/A,N/A,N/A,25500688477*,550068847*,55006847*,550687*
