section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Midday,Set1,Draw1,1,007,straight,27.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,2,straight|cov4|span2|vstr2|vstr3|cons_full|hot2|dom_last|cons_3v
Combined,Set2,Draw1,1,007,straight,25.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Midday,Set3,Draw1,1,007,straight,25.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set3,Draw1,1,007,straight,24.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Midday,Set2,Draw1,1,007,straight,24.5,"R2,R4,R6,R8",False,True,True,False,True,True,False,True,False,1,straight|cov4|vstr2|vstr3|cons_full|hot1|dom_last|cons_3v
Combined,Set1,Draw2,1,079,boxed,23.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span4|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw1,1,08899,boxed,23.0,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,2,boxed|cov4|span6|hot2|dom_last
Combined,Set1,Draw1,1,079,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span3|cons_full|hot2|dom_last|cons_3v
Combined,Set1,Draw3,1,079,boxed,22.0,"R2,R4,R6,R8",False,False,False,False,True,True,False,True,False,2,boxed|cov4|span3|cons_full|hot2|dom_last|cons_3v
Evening,Set1,Draw2,1,788,straight,22.0,"R2,R4,R6",False,True,True,False,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|hot2
Midday,Set3,Draw1,2,077,straight,22.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span3|vstr2|vstr3|cons_full|hot1|cons_3v
Midday,Set1,Draw1,2,007,straight,22.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,2,straight|cov4|span2|vstr2|vstr3|cons_full|hot2|cons_3v
Combined,Set2,Draw1,2,007,straight,21.0,"R2,R4,R6,R8",False,True,True,False,True,True,False,False,False,1,straight|cov4|span2|vstr2|vstr3|cons_full|hot1|cons_3v
