section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Midday,Set1,Draw3,2,334,straight,23,"R4,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span4|vstr2|vstr3|single_left|hot2
Midday,Set1,Draw3,3,334,straight,22,"R4,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span4|vstr2|vstr3|single_left|hot1
Midday,Set1,Draw3,3,3349,straight,22,"R4,R6,R8",True,True,True,True,False,False,False,False,False,1,straight|cov3|span3|vstr2|vstr3|mirror|single_left|hot1
Midday,Set1,Draw3,3,339,straight,21,"R4,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span3|vstr2|vstr3|single_left|hot1
Midday,Set1,Draw2,2,347,boxed,20,"R2,R4,R6,R8",False,False,False,False,True,False,False,True,False,2,boxed|cov4|span3|cons_full|hot2|dom_last
Midday,Set1,Draw3,5,339,straight,20,"R4,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span3|vstr2|vstr3|single_left
Midday,Set1,Draw3,4,339,straight,20,"R4,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span3|vstr2|vstr3|single_left
Midday,Set1,Draw2,6,244,straight,19,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span2|vstr2|vstr3|single_left
Midday,Set1,Draw2,5,244,straight,19,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span2|vstr2|vstr3|single_left
Midday,Set1,Draw4,4,559,straight,19,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,straight|cov3|span2|vstr2|vstr3|single_left
Midday,Set1,Draw4,3,559,straight,19,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,straight|cov3|span2|vstr2|vstr3|single_left
Midday,Set1,Draw3,5,244,straight,18,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|vstr2|vstr3|single_left
Midday,Set1,Draw5,3,559,straight,18,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,straight|cov3|vstr2|vstr3|single_left
Midday,Set1,Draw6,2,559,straight,18,"R2,R4,R6",False,True,True,True,False,False,False,False,False,0,straight|cov3|vstr2|vstr3|single_left
Midday,Set1,Draw7,1,244,straight,18,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|vstr2|vstr3|single_left
Midday,Set3,Draw1,3,477,boxed,17,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,1,boxed|cov4|span5|hot1|dom_last
Midday,Set2,Draw1,4,177,boxed,15,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,boxed|cov4|span4|hot1
Midday,Set2,Draw1,3,779,boxed,15,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,1,boxed|cov4|span3|hot1|dom_last
Midday,Set1,Draw1,4,779,boxed,15,"R2,R4,R6,R8",False,False,False,False,False,False,False,True,False,1,boxed|cov4|span3|hot1|dom_last
Midday,Set1,Draw1,5,177,boxed,14,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,1,boxed|cov4|span3|hot1
Midday,Set1,Draw2,3,349,boxed,14,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,boxed|cov4|span3|mirror|hot1
Midday,Set1,Draw4,2,1336,straight,14,"R2,R8",True,True,False,False,False,False,False,False,False,2,straight|cov2|span3|vstr2|mirror|hot2
Midday,Set3,Draw1,4,4779,boxed,13,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,boxed|cov4|mirror|hot1
Midday,Set3,Draw1,4,477,straight,13,"R2,R4",False,True,False,False,False,False,False,False,False,1,straight|cov2|span5|vstr2|hot1
Midday,Set1,Draw3,2,133,straight,13,"R2,R8",False,True,False,False,False,False,False,False,False,2,straight|cov2|span4|vstr2|hot2
Midday,Set1,Draw4,2,336,boxed,13,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov3|span3|hot2
Midday,Set1,Draw5,2,1336,straight,13,"R2,R8",True,True,False,False,False,False,False,False,False,2,straight|cov2|span2|vstr2|mirror|hot2
Midday,Set3,Draw1,4,479,boxed,12,"R2,R4,R6,R8",True,False,False,False,False,False,False,False,False,1,boxed|cov4|mirror|hot1
Midday,Set2,Draw1,5,177,boxed,12,"R4,R6,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span4
Midday,Set1,Draw3,2,1337,boxed,12,"R2,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov2|span4|hot2
Midday,Set1,Draw3,3,3359,straight,12,"R4,R6",False,True,False,False,False,False,False,False,False,1,straight|cov2|span3|vstr2|hot1
Midday,Set1,Draw3,2,3345,boxed,12,"R4,R6,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov3|span2|hot2
Midday,Set1,Draw4,2,133,straight,12,"R2,R8",False,True,False,False,False,False,False,False,False,2,straight|cov2|span3|vstr2|hot2
Midday,Set1,Draw4,2,334,straight,12,"R4,R6",False,True,False,False,False,False,False,False,False,2,straight|cov2|span3|vstr2|hot2
Midday,Set1,Draw5,2,336,boxed,12,"R2,R4,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov3|span2|hot2
Midday,Set1,Draw5,2,013,straight,12,"R2,R8",False,True,False,False,False,False,False,False,False,2,straight|cov2|span3|vstr2|hot2
Midday,Set1,Draw5,2,0133,straight,12,"R2,R8",False,True,False,False,False,False,False,False,False,2,straight|cov2|span2|vstr2|hot2
Midday,Set1,Draw5,1,013,straight,12,"R2,R8",False,True,False,False,False,False,False,False,False,2,straight|cov2|span3|vstr2|hot2
Midday,Set3,Draw1,7,249,straight,11,"R2,R6",True,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2|mirror
Midday,Set3,Draw1,6,249,straight,11,"R2,R6",True,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2|mirror
Midday,Set3,Draw1,5,249,straight,11,"R2,R6",True,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2|mirror
Midday,Set2,Draw1,7,668,boxed,11,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov4
Midday,Set2,Draw1,7,2499,straight,11,"R2,R6",True,True,False,False,False,False,False,False,False,0,straight|cov2|span2|vstr2|mirror
Midday,Set2,Draw1,6,2499,straight,11,"R2,R6",True,True,False,False,False,False,False,False,False,0,straight|cov2|span2|vstr2|mirror
Midday,Set2,Draw1,4,1477,boxed,11,"R2,R4",False,False,False,False,False,False,False,False,False,1,boxed|cov2|span4|hot1
Midday,Set1,Draw1,7,688,boxed,11,"R2,R4,R6,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov4
Midday,Set1,Draw1,6,177,boxed,11,"R4,R6,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span3
Midday,Set1,Draw2,4,234,boxed,11,"R2,R6,R8",False,False,False,False,False,False,False,False,False,1,boxed|cov3|span3|hot1
Midday,Set1,Draw2,4,239,boxed,11,"R4,R6,R8",False,False,False,False,False,False,False,False,False,1,boxed|cov3|span3|hot1
Midday,Set1,Draw2,4,3779,straight,11,"R6,R8",False,True,False,False,False,False,False,False,False,1,straight|cov2|span2|vstr2|hot1
Midday,Set1,Draw2,4,379,straight,11,"R6,R8",False,True,False,False,False,False,False,False,False,1,straight|cov2|span3|vstr2|hot1
Midday,Set1,Draw2,4,779,straight,11,"R6,R8",False,True,False,False,False,False,False,False,False,1,straight|cov2|span3|vstr2|hot1
Midday,Set1,Draw2,3,379,straight,11,"R6,R8",False,True,False,False,False,False,False,False,False,1,straight|cov2|span3|vstr2|hot1
Midday,Set1,Draw3,2,1334,boxed,11,"R2,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov2|span3|hot2
Midday,Set1,Draw3,1,137,boxed,11,"R2,R6,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov3|span2|hot2
Midday,Set1,Draw3,1,134,boxed,11,"R2,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov2|span4|hot2
Midday,Set1,Draw3,5,3359,straight,11,"R4,R6",False,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2
Midday,Set1,Draw3,4,3359,straight,11,"R4,R6",False,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2
Midday,Set1,Draw3,3,359,straight,11,"R4,R6",False,True,False,False,False,False,False,False,False,1,straight|cov2|span3|vstr2|hot1
Midday,Set1,Draw3,1,347,boxed,11,"R4,R6",False,False,False,False,False,False,False,False,False,2,boxed|cov2|span4|hot2
Midday,Set1,Draw4,4,336,boxed,11,"R2,R4,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span3
Midday,Set1,Draw4,3,336,boxed,11,"R2,R4,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span3
Midday,Set1,Draw4,1,136,straight,11,"R2,R8",True,True,False,False,False,False,False,False,False,2,straight|cov2|vstr2|mirror|hot2
Midday,Set1,Draw4,2,3346,boxed,11,"R4,R8",False,False,False,False,False,False,False,False,False,2,boxed|cov2|span3|hot2
Midday,Set1,Draw4,2,167,straight,11,R6,True,False,False,False,False,False,False,False,False,2,straight|cov1|span4|mirror|hot2
Midday,Set1,Draw4,1,167,straight,11,R6,True,False,False,False,False,False,False,False,False,2,straight|cov1|span4|mirror|hot2
Midday,Set1,Draw5,2,133,straight,11,"R2,R8",False,True,False,False,False,False,False,False,False,2,straight|cov2|span2|vstr2|hot2
Midday,Set1,Draw5,1,136,straight,11,"R2,R8",True,True,False,False,False,False,False,False,False,2,straight|cov2|vstr2|mirror|hot2
Midday,Set1,Draw6,1,366,boxed,11,"R2,R4,R8",False,False,False,False,False,False,False,False,False,1,boxed|cov3|span2|hot1
Midday,Set3,Draw1,6,009,boxed,10,"R4,R6,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span2
Midday,Set3,Draw1,7,0077,straight,10,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|span2|vstr2
Midday,Set3,Draw1,7,077,straight,10,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2
Midday,Set3,Draw1,6,0077,straight,10,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|span2|vstr2
Midday,Set3,Draw1,6,077,straight,10,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2
Midday,Set3,Draw1,6,00779,straight,10,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|vstr2
Midday,Set3,Draw1,5,077,straight,10,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|span3|vstr2
Midday,Set2,Draw1,7,299,boxed,10,"R2,R4,R6",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span2
Midday,Set2,Draw1,7,249,straight,10,"R2,R6",True,True,False,False,False,False,False,False,False,0,straight|cov2|span2|vstr2|mirror
Midday,Set2,Draw1,6,299,boxed,10,"R2,R4,R6",False,False,False,False,False,False,False,False,False,0,boxed|cov3|span2
