Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,943,640,648,289,205,439,352
Set3,Draw1,R2,559224003866,559220386,5592203,55203,53,5,nan
Set3,Draw1,R4,225590066834,225590683,2255903,25503,53,5,nan
Set3,Draw1,R6,668005593224,680559322,0559322,05532,53,5,nan
Set3,Draw1,R8,009836622455,098362255,0932255,03255,35,5,nan
Set2,Draw1,DRAW_DATA,640,648,289,205,439,352,990
Set2,Draw1,R2,55922038677,559220377,5520377,5377,577,77,77
Set2,Draw1,R4,22559068377,225590377,2550377,5377,577,77,77
Set2,Draw1,R6,68770559322,770559322,7705532,7753,775,77,77
Set2,Draw1,R8,77098362255,770932255,7703255,7735,775,77,77
Set1,Draw1,DRAW_DATA,648,289,205,439,352,990,990
Set1,Draw1,R2,559220113877,552011377,511377*,51177*,1177*,1177*,1177*
Set1,Draw1,R4,225590837711,255037711,537711*,57711*,7711*,7711*,7711*
Set1,Draw1,R6,811770559322,117705532,117753*,11775*,1177*,1177*,1177*
Set1,Draw1,R8,770119832255,770113255,771135*,77115*,7711*,7711*,7711*
Set1,Draw2,R2,N/A,55920113377,59113377*,511377*,1177*,1177*,1177*
Set1,Draw2,R4,N/A,25590337711,59337711*,537711*,7711*,7711*,7711*
Set1,Draw2,R6,N/A,11770559332,11775933*,117753*,1177*,1177*,1177*
Set1,Draw2,R8,N/A,77011933255,77119335*,771135*,7711*,7711*,7711*
Set1,Draw3,R2,N/A,N/A,59401133677*,50113677*,011677*,11677*,11677*
Set1,Draw3,R4,N/A,N/A,59063347711*,50637711*,067711*,67711*,67711*
Set1,Draw3,R6,N/A,N/A,61177059334*,61177053*,611770*,61177*,61177*
Set1,Draw3,R8,N/A,N/A,77011933645*,77011365*,770116*,77116*,77116*
Set1,Draw4,R2,N/A,N/A,N/A,54011386677*,401186677*,41186677*,41186677*
Set1,Draw4,R4,N/A,N/A,N/A,50668347711*,066847711*,66847711*,66847711*
Set1,Draw4,R6,N/A,N/A,N/A,66811770534*,668117704*,66811774*,66811774*
Set1,Draw4,R8,N/A,N/A,N/A,77011836645*,770118664*,77118664*,77118664*
Set1,Draw5,R2,N/A,N/A,N/A,N/A,94011886677,411886677*,411886677*
Set1,Draw5,R4,N/A,N/A,N/A,N/A,90668847711,668847711*,668847711*
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66881177094,668811774*,668811774*
Set1,Draw5,R8,N/A,N/A,N/A,N/A,77011988664,771188664*,771188664*
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,524011886677,52411886677
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,250668847711,25668847711
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668811770524,66881177524
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,770118866245,77118866245
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,5244113886677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,2566883447711
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,6688117753244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,7711883662445
