Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,133,981,527,939,417,314,525
Set3,Draw1,R2,592001886677,520086677,008667,008667,00866,00866,00866
Set3,Draw1,R4,259006688771,250066877,006687,006687,00668,00668,00668
Set3,Draw1,R6,668817700592,668770052,668700,668700,66800,66800,66800
Set3,Draw1,R8,770019886625,770086625,700866,700866,00866,00866,00866
Set2,Draw1,DRAW_DATA,981,527,939,417,314,525,012
Set2,Draw1,R2,559220086677,592008667,52008667,5200866,5200866,00866,0866
Set2,Draw1,R4,225590066877,259006687,25006687,2500668,2500668,00668,0668
Set2,Draw1,R6,668770055922,668700592,66870052,6680052,6680052,66800,6680
Set2,Draw1,R8,770098662255,700986625,70086625,0086625,0086625,00866,0866
Set1,Draw1,DRAW_DATA,527,939,417,314,525,012,776
Set1,Draw1,R2,59244008667,5244008667,52400866*,5200866*,00866*,0866*,086*
Set1,Draw1,R4,25900668447,2500668447,25006684*,2500668*,00668*,0668*,068*
Set1,Draw1,R6,66870059244,6687005244,66800524*,6680052*,66800*,6680*,680*
Set1,Draw1,R8,70098662445,7008662445,00866245*,0086625*,00866*,0866*,086*
Set1,Draw2,R2,N/A,524400138667,524003866*,5200866*,00866*,0866*,086*
Set1,Draw2,R4,N/A,250066834471,250066834*,2500668*,00668*,0668*,068*
Set1,Draw2,R6,N/A,668170053244,668005324*,6680052*,66800*,6680*,680*
Set1,Draw2,R8,N/A,700183662445,008366245*,0086625*,00866*,0866*,086*
Set1,Draw3,R2,N/A,N/A,52400138866*,52008866*,008866*,08866*,0886*
Set1,Draw3,R4,N/A,N/A,25006688341*,25006688*,006688*,06688*,0688*
Set1,Draw3,R6,N/A,N/A,66881005324*,66880052*,668800*,66880*,6880*
Set1,Draw3,R8,N/A,N/A,00188366245*,00886625*,008866*,08866*,0886*
Set1,Draw4,R2,N/A,N/A,N/A,55220088667*,20088667*,088667*,0886*
Set1,Draw4,R4,N/A,N/A,N/A,22550066887*,20066887*,066887*,0688*
Set1,Draw4,R6,N/A,N/A,N/A,66887005522*,66887002*,668870*,6880*
Set1,Draw4,R8,N/A,N/A,N/A,70088662255*,70088662*,708866*,0886*
Set1,Draw5,R2,N/A,N/A,N/A,N/A,99200388667,990388667*,9903886*
Set1,Draw5,R4,N/A,N/A,N/A,N/A,29900668837,990668837*,9906883*
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66887009932,668870993*,6880993*
Set1,Draw5,R8,N/A,N/A,N/A,N/A,70099883662,709988366*,0998836*
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,99403886677,99403886
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,99066883477,99068834
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66887709934,68809934
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77099883664,09988364
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,99440133886
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,99068833441
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68810993344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,01998833644
