Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,387,222,722,259,133,527,417
Set3,Draw1,R2,559924001667,55994001667,5599400166,59400166,5940066,940066,90066
Set3,Draw1,R4,255990066471,55990066471,5599006641,59006641,5900664,900664,90066
Set3,Draw1,R6,661700559924,66170055994,6610055994,66100594,6600594,660094,66009
Set3,Draw1,R8,700199662455,70019966455,0019966455,00196645,0096645,009664,00966
Set2,Draw1,DRAW_DATA,222,722,259,133,527,417,525
Set2,Draw1,R2,559940011667,55994001166,594001166,59400166,9400166,90066,90066
Set2,Draw1,R4,559900664711,55990066411,590066411,59006641,9006641,90066,90066
Set2,Draw1,R6,661170055994,66110055994,661100594,66100594,6610094,66009,66009
Set2,Draw1,R8,700119966455,00119966455,001196645,00196645,0019664,00966,00966
Set1,Draw1,DRAW_DATA,722,259,133,527,417,525,776
Set1,Draw1,R2,55994400113866,594400113866,5944001866*,944001866*,9400866*,9400866*,940086*
Set1,Draw1,R4,55990066834411,590066834411,5900668441*,900668441*,9006684*,9006684*,900684*
Set1,Draw1,R6,66811005599344,668110059344,6681005944*,668100944*,6680094*,6680094*,680094*
Set1,Draw1,R8,00119983664455,001198366445,0019866445*,001986644*,0098664*,0098664*,009864*
Set1,Draw2,R2,N/A,594400113388667,594400188667*,9440018866*,94008866*,94008866*,9400886*
Set1,Draw2,R4,N/A,590066883344711,590066884471*,9006688441*,90066884*,90066884*,9006884*
Set1,Draw2,R6,N/A,668811700593344,668817005944*,6688100944*,66880094*,66880094*,6880094*
Set1,Draw2,R8,N/A,700119883366445,700198866445*,0019886644*,00988664*,00988664*,0098864*
Set1,Draw3,R2,N/A,N/A,594400188667*,9440018866*,94008866*,94008866*,9400886*
Set1,Draw3,R4,N/A,N/A,590066884471*,9006688441*,90066884*,90066884*,9006884*
Set1,Draw3,R6,N/A,N/A,668817005944*,6688100944*,66880094*,66880094*,6880094*
Set1,Draw3,R8,N/A,N/A,700198866445*,0019886644*,00988664*,00988664*,0098864*
Set1,Draw4,R2,N/A,N/A,N/A,94400188667*,94008866*,94008866*,9400886*
Set1,Draw4,R4,N/A,N/A,N/A,90066884471*,90066884*,90066884*,9006884*
Set1,Draw4,R6,N/A,N/A,N/A,66881700944*,66880094*,66880094*,6880094*
Set1,Draw4,R8,N/A,N/A,N/A,70019886644*,00988664*,00988664*,0098864*
Set1,Draw5,R2,N/A,N/A,N/A,N/A,59924008866,994008866*,99400886*
Set1,Draw5,R4,N/A,N/A,N/A,N/A,25990066884,990066884*,99006884*
Set1,Draw5,R6,N/A,N/A,N/A,N/A,66880059924,668800994*,68800994*
Set1,Draw5,R8,N/A,N/A,N/A,N/A,00998866245,009988664*,00998864*
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,994001338866,99400133886
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,990066883341,99006883341
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668810099334,68810099334
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,001998833664,00199883364
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,992400133886
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,299006883341
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,688100993324
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,001998833624
