Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,665,212,887,274,174,790,199
Set3,Draw1,R2,2244001338877,4400338877,4400337,40033*,0033*,033*,033*
Set3,Draw1,R4,2200883344771,0088334477,0033447,00334*,0033*,033*,033*
Set3,Draw1,R6,8817700332244,8877003344,7003344,00334*,0033*,033*,033*
Set3,Draw1,R8,7700188332244,7700883344,7003344,00334*,0033*,033*,033*
Set2,Draw1,DRAW_DATA,212,887,274,174,790,199,008
Set2,Draw1,R2,9944001338877,9944001337,99400133,990033*,9033*,033*,33*
Set2,Draw1,R4,9900883344771,9900334471,99003341,990033*,9033*,033*,33*
Set2,Draw1,R6,8817700993344,1700993344,10099334,009933*,0933*,033*,33*
Set2,Draw1,R8,7700199883344,7001993344,00199334,009933*,0933*,033*,33*
Set1,Draw1,DRAW_DATA,887,274,174,790,199,008,491
Set1,Draw1,R2,59944001337,599400133,5990033*,59033*,5033**,533**,533**
Set1,Draw1,R4,59900334471,599003341,5990033*,59033*,5033**,533**,533**
Set1,Draw1,R6,17005993344,100599334,0059933*,05933*,0533**,533**,533**
Set1,Draw1,R8,70019933445,001993345,0099335*,09335*,0335**,335**,335**
Set1,Draw2,R2,N/A,559940013366,5599003366,55903366*,5503366*,553366**,553366**
Set1,Draw2,R4,N/A,559900663341,5599006633,55906633*,5506633*,556633**,556633**
Set1,Draw2,R6,N/A,661005599334,6600559933,66055933*,6605533*,665533**,665533**
Set1,Draw2,R8,N/A,001993366455,0099336655,09336655*,0336655*,336655**,336655**
Set1,Draw3,R2,N/A,N/A,559920013366,5592013366,55203366*,5523366**,5523366**
Set1,Draw3,R4,N/A,N/A,255990066331,2559066331,25506633*,2556633**,2556633**
Set1,Draw3,R6,N/A,N/A,661005599332,6610559332,66055332*,6655332**,6655332**
Set1,Draw3,R8,N/A,N/A,001993366255,0193366255,03366255*,3366255**,3366255**
Set1,Draw4,R2,N/A,N/A,N/A,559201338866,5520338866,55233866**,55233866**
Set1,Draw4,R4,N/A,N/A,N/A,255906688331,2550668833,25566833**,25566833**
Set1,Draw4,R6,N/A,N/A,N/A,668810559332,6688055332,66855332**,66855332**
Set1,Draw4,R8,N/A,N/A,N/A,019883366255,0883366255,83366255**,83366255**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,552240338866,5522433866**,552233866**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,225506688334,2255668334**,225566833**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668805533224,6685533224**,668553322**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,088336622455,8336622455**,833662255**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,5522441338667,55224338667*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,2255668334471,22556683347*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,6681755332244,66875533224*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,7183366224455,78336622455*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,552243386677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,225566833477
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,668775533224
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,778336622455
