Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,201,913,763,950,155,281,835
Set3,Draw1,R2,5599441338867,5594438867,5594488,54488*,4488*,448*,044*
Set3,Draw1,R4,5599688334471,5596883447,5598844,58844*,8844*,844*,044*
Set3,Draw1,R6,6881755993344,6887559344,8855944,88544*,8844*,844*,044*
Set3,Draw1,R8,7199883364455,7988364455,9884455,88445*,8844*,844*,044*
Set2,Draw1,draw_data,913,763,950,155,281,835,130
Set2,Draw1,R2,55944388677,55944887,544887,44887*,4487*,447*,447*
Set2,Draw1,R4,55968834477,55988447,588447,88447*,8447*,447*,447*
Set2,Draw1,R6,68877559344,88755944,887544,88744*,8744*,744*,744*
Set2,Draw1,R8,77988364455,79884455,788445,78844*,7844*,744*,744*
Set1,Draw1,draw_data,763,950,155,281,835,130,938
Set1,Draw1,R2,55924408867,52448867,2448867*,44867*,4467**,4467**,4467**
Set1,Draw1,R4,25590688447,25688447,2688447*,68447*,6447**,6447**,6447**
Set1,Draw1,R6,68870559244,68875244,6887244*,68744*,6744**,6744**,6744**
Set1,Draw1,R8,70988624455,78862445,7886244*,78644*,7644**,7644**,7644**
Set1,Draw2,draw_data,N/A,950,155,281,835,130,938
Set1,Draw2,R2,N/A,52244018867,224408867,2440867*,244067*,24467**,24467**
Set1,Draw2,R4,N/A,22506884471,220688447,2068447*,206447*,26447**,26447**
Set1,Draw2,R6,N/A,68817052244,688702244,6870244*,670244*,67244**,67244**
Set1,Draw2,R8,N/A,70188622445,708862244,7086244*,706244*,76244**,76244**
Set1,Draw3,draw_data,N/A,N/A,155,281,835,130,938
Set1,Draw3,R2,N/A,N/A,922440138867,924403867,9244067*,924467**,24467**
Set1,Draw3,R4,N/A,N/A,229068834471,290683447,2906447*,296447**,26447**
Set1,Draw3,R6,N/A,N/A,688170932244,687093244,6709244*,679244**,67244**
Set1,Draw3,R8,N/A,N/A,701988362244,709836244,7096244*,796244**,76244**
Set1,Draw4,draw_data,N/A,N/A,N/A,281,835,130,938
Set1,Draw4,R2,N/A,N/A,N/A,924403386677,9244036677,92446677**,2446677**
Set1,Draw4,R4,N/A,N/A,N/A,290668334477,2906634477,29664477**,2664477**
Set1,Draw4,R6,N/A,N/A,N/A,668770933244,6677093244,66779244**,6677244**
Set1,Draw4,R8,N/A,N/A,N/A,770983366244,7709366244,77966244**,7766244**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,835,130,938
Set1,Draw5,R2,N/A,N/A,N/A,N/A,992440036677,9924406677**,924406677**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,299006634477,2990664477**,290664477**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,667700993244,6677099244**,667709244**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,770099366244,7709966244**,770966244**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,130,938
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,59924406677,5924406677*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25990664477,2590664477*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66770599244,6677059244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77099662445,7709662445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,938
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,592244016677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,225906644771
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,661770592244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,770196622445
