Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,626,197,964,542,181,191,528
Set3,Draw1,R2,559900113388,5590013388,550013388,50013388*,500338*,500338*,0033*
Set3,Draw1,R4,559900883311,5590088331,550088331,50088331*,500833*,500833*,0033*
Set3,Draw1,R6,881100559933,8810055933,881005533,88100533*,800533*,800533*,0033*
Set3,Draw1,R8,001199883355,0019883355,001883355,00188335*,008335*,008335*,0033*
Set2,Draw1,DRAW_DATA,197,964,542,181,191,528,292
Set2,Draw1,R2,559440013388,5540013388,50013388,500338*,500338*,0033*,0033*
Set2,Draw1,R4,559008833441,5500883341,50088331,500833*,500833*,0033*,0033*
Set2,Draw1,R6,881005593344,8810055334,88100533,800533*,800533*,0033*,0033*
Set2,Draw1,R8,001988334455,0018833455,00188335,008335*,008335*,0033*,0033*
Set1,Draw1,DRAW_DATA,964,542,181,191,528,292,778
Set1,Draw1,R2,552400133887,500133887,5003387*,5003387*,00337**,00337**,0033**
Set1,Draw1,R4,255008833471,500883371,5008337*,5008337*,00337**,00337**,0033**
Set1,Draw1,R6,881700553324,881700533,8700533*,8700533*,70033**,70033**,0033**
Set1,Draw1,R8,700188332455,700188335,7008335*,7008335*,70033**,70033**,0033**
Set1,Draw2,R2,N/A,52001338867,520033867,520033867*,003367*,003367**,00336**
Set1,Draw2,R4,N/A,25006883371,250068337,250068337*,006337*,006337**,00633**
Set1,Draw2,R6,N/A,68817005332,687005332,687005332*,670033*,670033**,60033**
Set1,Draw2,R8,N/A,70018833625,700833625,700833625*,700336*,700336**,00336**
Set1,Draw3,R2,N/A,N/A,59200338677,5200338677,0033677*,0033677**,00336**
Set1,Draw3,R4,N/A,N/A,25900683377,2500683377,0063377*,0063377**,00633**
Set1,Draw3,R6,N/A,N/A,68770059332,6877005332,6770033*,6770033**,60033**
Set1,Draw3,R8,N/A,N/A,77009833625,7700833625,7700336*,7700336**,00336**
Set1,Draw4,R2,N/A,N/A,N/A,5924003386677,9400336677,400336677**,4003366**
Set1,Draw4,R4,N/A,N/A,N/A,2590066833477,9006633477,006633477**,0066334**
Set1,Draw4,R6,N/A,N/A,N/A,6687700593324,6677009334,667700334**,6600334**
Set1,Draw4,R8,N/A,N/A,N/A,7700983366245,7700933664,770033664**,0033664**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,5924400336677,54400336677**,544003366**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,2590066334477,50066334477**,500663344**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6677005933244,66770053344**,660053344**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,7700933662445,77003366445**,003366445**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,544003386677,544003366*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,500668334477,500663344*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668770053344,660053344*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,770083366445,003366445*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,594400113366
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,590066334411
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,661100593344
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,001193366445
