Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,366,438,894,221,620,913,950
Set3,Draw1,R2,5599224401387,5599224017,55922017,55907*,5597*,557*,057*
Set3,Draw1,R4,2255990834471,2255990471,22559071,55907*,5597*,557*,057*
Set3,Draw1,R6,8170559932244,1705599224,17055922,70559*,7559*,755*,075*
Set3,Draw1,R8,7019983224455,7019922455,70192255,70955*,7955*,755*,075*
Set2,Draw1,draw_data,438,894,221,620,913,950,281
Set2,Draw1,R2,5599224001877,5592200177,5590077,559077*,55077*,577*,577*
Set2,Draw1,R4,2255990084771,2255900771,5590077,559077*,55077*,577*,577*
Set2,Draw1,R6,8177005599224,1770055922,7700559,770559*,77055*,775*,775*
Set2,Draw1,R8,7700199822455,7700192255,7700955,770955*,77055*,775*,775*
Set1,Draw1,draw_data,894,221,620,913,950,281,130
Set1,Draw1,R2,55922001177,55900177,5590177*,55077*,577**,577**,577**
Set1,Draw1,R4,22559007711,55900771,5590771*,55077*,577**,577**,577**
Set1,Draw1,R6,11770055922,17700559,1770559*,77055*,775**,775**,775**
Set1,Draw1,R8,77001192255,77001955,7701955*,77055*,775**,775**,775**
Set1,Draw2,draw_data,N/A,221,620,913,950,281,130
Set1,Draw2,R2,N/A,55900136677,559013677,550677*,5677*,5677**,5677**
Set1,Draw2,R4,N/A,55900663771,559063771,550677*,5677*,5677**,5677**
Set1,Draw2,R6,N/A,66177005593,617705593,677055*,6775*,6775**,6775**
Set1,Draw2,R8,N/A,77001936655,770193655,770655*,7765*,7765**,7765**
Set1,Draw3,draw_data,N/A,N/A,620,913,950,281,130
Set1,Draw3,R2,N/A,N/A,559401338677,554038677,5438677*,543677**,54677**
Set1,Draw3,R4,N/A,N/A,559068334771,550683477,5683477*,563477**,56477**
Set1,Draw3,R6,N/A,N/A,681770559334,687705534,6877534*,677534**,67754**
Set1,Draw3,R8,N/A,N/A,770198336455,770836455,7783645*,773645**,77645**
Set1,Draw4,draw_data,N/A,N/A,N/A,913,950,281,130
Set1,Draw4,R2,N/A,N/A,N/A,559440388677,544388677,54438677**,5448677**
Set1,Draw4,R4,N/A,N/A,N/A,559068834477,568834477,56834477**,5684477**
Set1,Draw4,R6,N/A,N/A,N/A,688770559344,688775344,68775344**,6877544**
Set1,Draw4,R8,N/A,N/A,N/A,770988364455,778836445,77836445**,7786445**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,950,281,130
Set1,Draw5,R2,N/A,N/A,N/A,N/A,52441388677,54438677**,5448677**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,25688344771,56834477**,5684477**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,68817753244,68775344**,6877544**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,77188362445,77836445**,7786445**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,281,130
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,52440386677,524486677*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,25066834477,256684477*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,66877053244,668775244*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77083662445,778662445*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,130
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,59244386677
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,25966834477
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,66877593244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,77983662445
