Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,272,929,083,658,238,771,197
Set3,Draw1,R2,599440033867,5440033867,5440367,44037*,4407*,440*,440*
Set3,Draw1,R4,599006833447,5006833447,5063447,03447*,0447*,044*,044*
Set3,Draw1,R6,687005993344,6870053344,6705344,70344*,7044*,044*,044*
Set3,Draw1,R8,700998336445,7008336445,7036445,70344*,7044*,044*,044*
Set2,Draw1,DRAW_DATA,929,083,658,238,771,197,438
Set2,Draw1,R2,5440011338867,5440113867,4401137,440117*,4401*,440*,40*
Set2,Draw1,R4,5006883344711,5068344711,0344711,044711*,0441*,044*,04*
Set2,Draw1,R6,6881170053344,6811705344,1170344,117044*,1044*,044*,04*
Set2,Draw1,R8,7001188336445,7011836445,7011344,701144*,0144*,044*,04*
Set1,Draw1,DRAW_DATA,083,658,238,771,197,438,569
Set1,Draw1,R2,554401138667,544011367,54401167*,544016*,54406**,5406**,40**
Set1,Draw1,R4,550668344711,506344711,50644711*,506441*,50644**,5064**,04**
Set1,Draw1,R6,668117055344,611705344,61170544*,610544*,60544**,6054**,04**
Set1,Draw1,R8,701183664455,701136445,70116445*,016445*,06445**,0645**,04**
Set1,Draw2,R2,N/A,52440113677,544011677,544016*,54406*,5406**,40**
Set1,Draw2,R4,N/A,25063447711,506447711,506441*,50644*,5064**,04**
Set1,Draw2,R6,N/A,61177053244,611770544,610544*,60544*,6054**,04**
Set1,Draw2,R8,N/A,77011362445,770116445,016445*,06445*,0645**,04**
Set1,Draw3,R2,N/A,N/A,599244011677,599244016,5924406*,592406**,240**
Set1,Draw3,R4,N/A,N/A,259906447711,259906441,2590644*,259064**,204**
Set1,Draw3,R6,N/A,N/A,611770599244,610599244,6059244*,605924**,024**
Set1,Draw3,R8,N/A,N/A,770119962445,019962445,0962445*,096245**,024**
Set1,Draw4,R2,N/A,N/A,N/A,59924400136,592440036,5924006**,2400**
Set1,Draw4,R4,N/A,N/A,N/A,25990063441,259006344,2590064**,2004**
Set1,Draw4,R6,N/A,N/A,N/A,61005993244,600593244,6005924**,0024**
Set1,Draw4,R8,N/A,N/A,N/A,00199362445,009362445,0096245**,0024**
Set1,Draw5,R2,N/A,N/A,N/A,N/A,559244003866,559240066**,524006**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,255900668344,255900664**,250064**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,668005593244,660055924**,600524**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,009836624455,009662455**,006245**
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,559224003866,522400386*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,225590066834,225006834*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,668005593224,680053224*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,009836622455,008362245*
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,52240013867
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,22500683471
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68170053224
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70018362245
