Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,DRAW_DATA,233.0,384.0,199,626,372,777,796
Set3,Draw1,R2,59920118877.0,5992011877.0,5201877,501877,50187,5018,5018
Set3,Draw1,R4,25990887711.0,2599087711.0,2508771,508771,50871,5081,5081
Set3,Draw1,R6,88117705992.0,8117705992.0,8177052,817705,81705,8105,8105
Set3,Draw1,R8,77011998825.0,7701199825.0,7701825,770185,70185,0185,0185
Set2,Draw1,DRAW_DATA,384.0,199.0,626,372,777,796,775
Set2,Draw1,R2,559920011877.0,552001877.0,55001877,5500187,550018,550018,50018
Set2,Draw1,R4,255990087711.0,255008771.0,55008771,5500871,550081,550081,50081
Set2,Draw1,R6,811770055992.0,817700552.0,81770055,8170055,810055,810055,81005
Set2,Draw1,R8,770011998255.0,770018255.0,77001855,7001855,001855,001855,00185
Set1,Draw1,DRAW_DATA,199.0,626.0,372,777,796,775,214
Set1,Draw1,R2,552400186677.0,554001877.0,55400187*,5540018*,5540018*,540018*,5008*
Set1,Draw1,R4,255006684771.0,550084771.0,55008471*,5500841*,5500841*,500841*,5008*
Set1,Draw1,R6,668177005524.0,817700554.0,81700554*,8100554*,8100554*,810054*,8005*
Set1,Draw1,R8,770018662455.0,770018455.0,70018455*,0018455*,0018455*,001845*,0085*
Set1,Draw2,R2,,55240013877.0,55400187*,5540018*,5540018*,540018*,5008*
Set1,Draw2,R4,,25500834771.0,55008471*,5500841*,5500841*,500841*,5008*
Set1,Draw2,R6,,81770055324.0,81700554*,8100554*,8100554*,810054*,8005*
Set1,Draw2,R8,,77001832455.0,70018455*,0018455*,0018455*,001845*,0085*
Set1,Draw3,R2,,,55440013887*,5544001388*,5544001388*,544001388*,5400388*
Set1,Draw3,R4,,,55008834471*,5500883441*,5500883441*,500883441*,5008834*
Set1,Draw3,R6,,,88170055344*,8810055344*,8810055344*,881005344*,8800534*
Set1,Draw3,R8,,,70018834455*,0018834455*,0018834455*,001883445*,0088345*
Set1,Draw4,R2,,,,5599440011388*,559440011388*,59440011388*,594001388*
Set1,Draw4,R4,,,,5599008834411*,559008834411*,59008834411*,590088341*
Set1,Draw4,R6,,,,8811005599344*,881100559344*,88110059344*,881005934*
Set1,Draw4,R8,,,,0011998834455*,001198834455*,00119883445*,001988345*
Set1,Draw5,R2,,,,,55924400113886,5924400113886*,5940013886*
Set1,Draw5,R4,,,,,25590068834411,2590068834411*,5900688341*
Set1,Draw5,R6,,,,,68811005593244,6881100593244*,6881005934*
Set1,Draw5,R8,,,,,00119883624455,0011988362445*,0019883645*
Set1,Draw6,R2,,,,,,592244001133886,592400133886
Set1,Draw6,R4,,,,,,225900688334411,259006883341
Set1,Draw6,R6,,,,,,688110059332244,688100593324
Set1,Draw6,R8,,,,,,001198833622445,001988336245
Set1,Draw7,R2,,,,,,,592400133886
Set1,Draw7,R4,,,,,,,259006883341
Set1,Draw7,R6,,,,,,,688100593324
Set1,Draw7,R8,,,,,,,001988336245
