
Midday	Evening
Arizona		295
Arkansas		070
California	853	366
Colorado	748	041
Connecticut	281	835
Delaware	979	127
Florida	330	924
Georgia	541	564
015
Idaho	638	625
Illinois	272	592
Indiana	174	702
Iowa	979	791
Kansas	634	258
Kentucky	269	988
Louisiana		881
Maryland	612	817
Michigan	309	700
Minnesota		261
Mississippi	879	186
Missouri	776	943
Nebraska		412
New Jersey	985	887
New Mexico	890	190
New York	202	968
North Carolina	765	153
Ohio	976	199
Oklahoma		879
Ontario	918	616
Pennsylvania	398	570
Québec		925
South Carolina		675
Tennessee		737
Tri-State (ME, NH & VT)	330	210
Virginia	793	938
Washington		753
Washington, D.C.	925	323
882
Western Canada		947
Wisconsin	170	011
