Pick 3
Midday	Evening
Arizona		4-5-7
Arkansas		3-0-6
California	8-5-4	9-0-7
Colorado	5-5-9	3-7-7
Connecticut	9-9-8	6-7-4
Delaware	2-7-7	0-5-9
Florida	0-6-5	5-1-6
Georgia	3-3-8	8-6-7
7-6-4
Idaho	9-0-1	9-7-4
Illinois	2-1-0	6-9-7
Indiana	6-7-3	0-8-8
Iowa	8-5-2	4-6-0
Kansas	8-7-5	9-8-7
Kentucky	4-1-7	5-7-5
Louisiana		6-8-9
Maryland	9-6-9	8-7-8
Michigan	3-1-9	4-4-6
Minnesota		9-1-6
Mississippi	7-3-3	8-4-3
Missouri	1-5-6	3-4-6
Nebraska		7-4-2
New Jersey	9-4-5	3-3-6
New Mexico	8-9-5	9-3-1
New York	5-3-4	4-6-7
North Carolina	9-1-9	2-7-0
Ohio	4-2-4	5-0-8
Oklahoma		5-1-6
Ontario	1-3-8	0-8-3
Pennsylvania	5-1-5	2-6-8
Québec		3-8-0
South Carolina		0-7-2
Tennessee		1-0-1
Tri-State (ME, NH & VT)	8-6-4	4-8-6
Virginia	3-9-0	6-3-6
Washington		1-6-0
Washington, D.C.	4-0-9	3-7-1
4-6-0
Western Canada		2-2-9
Wisconsin	6-4-2	3-4-7
