State	Pick 3
Midday	Evening
Arizona		2-6-7
Arkansas		1-0-3
California	0-1-3	1-0-4
Colorado	3-8-1	7-1-7
Connecticut	5-6-9	3-1-1
Delaware	0-5-7	2-6-9
Florida	1-7-1	8-7-1
Georgia	3-0-3	6-2-0
3-6-2
Idaho	5-5-2	1-2-4
Illinois	4-0-8	6-7-9
Indiana	8-1-3	5-1-7
Iowa	6-6-7	6-7-5
Kansas	3-8-0	5-4-2
Kentucky	4-1-4	1-7-8
Louisiana		2-3-2
Maryland	6-1-7	5-5-4
Michigan	5-3-9	3-2-4
Minnesota		3-5-7
Mississippi	7-5-1	6-1-7
Missouri	3-8-4	9-3-4
Nebraska		8-3-4
New Jersey	2-7-5	2-6-1
New Mexico	9-0-1	7-7-0
New York	7-9-3	4-8-9
North Carolina	1-8-7	8-8-7
Ohio	6-7-4	4-9-2
Oklahoma		5-9-1
Ontario	9-5-8	3-8-2
Pennsylvania	3-5-9	9-8-0
Québec		3-7-7
South Carolina		4-3-2
Tennessee		3-8-0
Tri-State (ME, NH & VT)	5-2-1	0-7-7
Virginia	2-0-0	2-1-7
Washington		9-2-6
Washington, D.C.	6-8-8	3-5-5
1-7-3
Western Canada		9-5-7
Wisconsin	9-1-7	1-5-4
