deleted_path	preserved_source_path	checkpoint_snapshot	head_sha256	source_sha256	snapshot_sha256	head_snapshot_byte_identical	head_snapshot_normalized_identical	source_snapshot_byte_identical
tasks/New folder/CODEX_LOG_DIGIT.txt	tasks/PICS/CODEX_LOG_DIGIT.txt	snapshots/legacy_relocations/digit/pics_root/CODEX_LOG_DIGIT.txt	c212fb4a0312b45e3257cbc638d34dbe8bbab5185dddd24a1044e12519fc5984	02a6349b4b2e38f40a105d036a6b3b33675c82990254b3c66a6cc0af1088c6d6	02a6349b4b2e38f40a105d036a6b3b33675c82990254b3c66a6cc0af1088c6d6	no	yes	yes
tasks/New folder/New Text Document.txt	tasks/New Text Document.txt	snapshots/legacy_relocations/misc/New Text Document.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	yes	yes	yes
tasks/New folder/New folder/A design charter for an “unstoppabl.txt	tasks/PICS/New folder/A design charter for an “unstoppabl.txt	snapshots/legacy_relocations/digit/pics_new_folder/A design charter for an “unstoppabl.txt	1349b24bf57a375c876f4925d9b1b68fa9b64cb82fa52320850b7ed3ec541b73	0c9dfab99e6d33abe75d74f8dfecc10d046484d1a1e1bb8fb32e19c6fda66e82	0c9dfab99e6d33abe75d74f8dfecc10d046484d1a1e1bb8fb32e19c6fda66e82	no	yes	yes
tasks/New folder/New folder/BASIS FOR ANALYSIS DIGIT REDUCTION.txt	tasks/PICS/New folder/BASIS FOR ANALYSIS DIGIT REDUCTION.txt	snapshots/legacy_relocations/digit/pics_new_folder/BASIS FOR ANALYSIS DIGIT REDUCTION.txt	da7b047740bebb8f765c55a1572d1ea7a73137ec158ab3e5146087983f3ac269	f01c2a7dfec2a57c255d0288a8fff699b19d77e442bd2c16540484072a9a976b	f01c2a7dfec2a57c255d0288a8fff699b19d77e442bd2c16540484072a9a976b	no	yes	yes
tasks/New folder/New folder/DR training notes.txt	tasks/PICS/New folder/DR training notes.txt	snapshots/legacy_relocations/digit/pics_new_folder/DR training notes.txt	56dac495b2d9bc4b323fb161be24c42141d5f1d10dc998be7cbec626d2664648	a822176a46d53f7ea91718fe158f6a50f13e95d12887bea693a02d57cddeb1b3	a822176a46d53f7ea91718fe158f6a50f13e95d12887bea693a02d57cddeb1b3	no	yes	yes
tasks/New folder/New folder/digit_05.txt	tasks/PICS/New folder/digit_05.txt	snapshots/legacy_relocations/digit/pics_new_folder/digit_05.txt	fd85e633448ea9d0ab80a87b9dbbca1df4b45c4f56a3c641130cee06a8ce1cac	2aea49c568b726daf275d58ebac423981da749d331010ff7c578c4a331e6f772	2aea49c568b726daf275d58ebac423981da749d331010ff7c578c4a331e6f772	no	yes	yes
tasks/New folder/New folder/digit_log.txt	tasks/PICS/New folder/digit_log.txt	snapshots/legacy_relocations/digit/pics_new_folder/digit_log.txt	80bb613cc5ab570df2054007013e86f998c438749a52f25a0bc6dabfed90847c	53570f96afb70663d453a1bf90914421b23cf58ca89d58c93a3365f8ae3b43f4	53570f96afb70663d453a1bf90914421b23cf58ca89d58c93a3365f8ae3b43f4	no	yes	yes
tasks/New folder/New folder/digit_training.txt	tasks/PICS/New folder/digit_training.txt	snapshots/legacy_relocations/digit/pics_new_folder/digit_training.txt	46cc03bcf185a8f18a6d8d608aa71a95df1a6119cafcb49dfd6c9ab669758b32	6a68db37b372545a51876c382e584d8138c0d893b60325bcebb78371026b82ab	6a68db37b372545a51876c382e584d8138c0d893b60325bcebb78371026b82ab	no	yes	yes
tasks/New folder/design_note.txt	tasks/PICS/design_note.txt	snapshots/legacy_relocations/digit/pics_root/design_note.txt	1349b24bf57a375c876f4925d9b1b68fa9b64cb82fa52320850b7ed3ec541b73	1349b24bf57a375c876f4925d9b1b68fa9b64cb82fa52320850b7ed3ec541b73	1349b24bf57a375c876f4925d9b1b68fa9b64cb82fa52320850b7ed3ec541b73	yes	yes	yes
tasks/New folder/digit/CODEX_LOG_DIGIT.txt	tasks/PICS/digit/CODEX_LOG_DIGIT.txt	snapshots/legacy_relocations/digit/pics_digit/CODEX_LOG_DIGIT.txt	d66158fdda4ce93273540f4581a0884f55d16d35d306a977096459578d9b3ef9	0363624766e7147038b7023369355454de9e54201ceac07e8428978632c6cca9	0363624766e7147038b7023369355454de9e54201ceac07e8428978632c6cca9	no	yes	yes
tasks/New folder/digit/CORE_THEORY.txt	tasks/PICS/digit/CORE_THEORY.txt	snapshots/legacy_relocations/digit/pics_digit/CORE_THEORY.txt	5fd1e4a4bcb4a822e0bcf8a84037a5faddca1b0f87e22433cf410054f4692a17	59682865436407b4ae4678156051bd669df9593165a1c194f37bc94163dc2da2	59682865436407b4ae4678156051bd669df9593165a1c194f37bc94163dc2da2	no	yes	yes
tasks/New folder/digit/DIGIT_TRAINING.txt	tasks/PICS/digit/DIGIT_TRAINING.txt	snapshots/legacy_relocations/digit/pics_digit/DIGIT_TRAINING.txt	63d5a04a85422a5f05d560f4d5fe9e60a535753e4d3719f9a6129be320a2d8de	976d54b66484622dcb630aab82006c860f37a93ad6250c1b7575316bf98bed65	976d54b66484622dcb630aab82006c860f37a93ad6250c1b7575316bf98bed65	no	yes	yes
tasks/New folder/digit/current_hand_off.txt	tasks/PICS/digit/current_hand_off.txt	snapshots/legacy_relocations/digit/pics_digit/current_hand_off.txt	aa04c46bb1ee407fefacffb783d0cfaaea893674e928bbf744910ca25200574e	2ec393a967f98fcf9c3c7a5c54b3dfdbad49646af0cb2ee3dda9baa931d1e391	2ec393a967f98fcf9c3c7a5c54b3dfdbad49646af0cb2ee3dda9baa931d1e391	no	yes	yes
tasks/New folder/digit/digit_recap.txt	tasks/PICS/digit/digit_recap.txt	snapshots/legacy_relocations/digit/pics_digit/digit_recap.txt	95bc131473224e14658e19159002c9eedf8f05430145870cab812ee706a13d71	95bc131473224e14658e19159002c9eedf8f05430145870cab812ee706a13d71	95bc131473224e14658e19159002c9eedf8f05430145870cab812ee706a13d71	yes	yes	yes
tasks/New folder/digit/digit_reduction_14.txt	tasks/PICS/digit/digit_reduction_14.txt	snapshots/legacy_relocations/digit/pics_digit/digit_reduction_14.txt	60fb8d62e65ab605958aeaffbd3f436c25d595de142f2292bf145a6bf2db0c06	60fb8d62e65ab605958aeaffbd3f436c25d595de142f2292bf145a6bf2db0c06	60fb8d62e65ab605958aeaffbd3f436c25d595de142f2292bf145a6bf2db0c06	yes	yes	yes
