vtrac table as should be seen and tracked within app of each state some varations of this in better layout:

Index	singles	doubles
1	·	005 055
2	015 056	001 006 155 556
3	025 057	002 007 255 557
4	035 058	003 008 355 558
5	045 059	004 009 455 559
6	016 156	011 066 115 566
7	012 017 026 067 125 157 256 567	·
8	013 018 036 068 135 158 356 568	·
9	014 019 046 069 145 159 456 569	·
10	027 257	022 077 225 577
11	023 028 037 078 235 258 357 578	·
12	024 029 047 079 245 259 457 579	·
13	038 358	033 088 335 588
14	034 039 048 089 345 359 458 589	·
15	049 459	044 099 445 599
16	·	116 166
17	126 167	112 117 266 667
18	136 168	113 118 366 668
19	146 169	114 119 466 669
20	127 267	122 177 226 677
21	123 128 137 178 236 268 367 678	·
22	124 129 147 179 246 269 467 679	·
23	138 368	133 188 336 688
24	134 139 148 189 346 369 468 689	·
25	149 469	144 199 446 699
26	·	227 277
27	237 278	223 228 377 778
28	247 279	224 229 477 779
29	238 378	233 288 337 788
30	234 239 248 289 347 379 478 789	·
31	249 479	244 299 447 799
32	·	338 388
33	348 389	334 339 488 889
34	349 489	344 399 448 899
35	·	449 499
