section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Combined,Set1,Draw1,3,224,straight,26,"R2,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|single_left|hot2
Combined,Set1,Draw1,2,224,straight,26,"R2,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|single_left|hot2
Combined,Set1,Draw1,1,224,straight,26,"R2,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span7|vstr2|vstr3|single_left|hot2
Combined,Set2,Draw1,4,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|single_left|hot1
Combined,Set2,Draw1,3,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|single_left|hot1
Combined,Set2,Draw1,2,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|single_left|hot1
Combined,Set2,Draw1,1,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|single_left|hot1
Combined,Set1,Draw1,5,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|single_left|hot1
Combined,Set1,Draw1,4,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span7|vstr2|vstr3|single_left|hot1
Combined,Set1,Draw1,3,339,straight,25,"R4,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|single_left|hot2
Combined,Set1,Draw1,2,339,straight,25,"R4,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|single_left|hot2
Combined,Set1,Draw2,2,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|single_left|hot2
Combined,Set1,Draw2,1,224,straight,25,"R2,R6,R8",False,True,True,True,False,False,False,False,False,2,straight|cov3|span6|vstr2|vstr3|single_left|hot2
Combined,Set2,Draw1,7,224,straight,24,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span7|vstr2|vstr3|single_left
Combined,Set2,Draw1,6,224,straight,24,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span7|vstr2|vstr3|single_left
Combined,Set2,Draw1,5,224,straight,24,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span7|vstr2|vstr3|single_left
Combined,Set1,Draw1,7,224,straight,24,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span7|vstr2|vstr3|single_left
Combined,Set1,Draw1,6,224,straight,24,"R2,R6,R8",False,True,True,True,False,False,False,False,False,0,straight|cov3|span7|vstr2|vstr3|single_left
Combined,Set1,Draw1,4,339,straight,24,"R4,R6,R8",False,True,True,True,False,False,False,False,False,1,straight|cov3|span6|vstr2|vstr3|single_left|hot1
