section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_vtrac_boxed,is_exact_straight
Midday,Set1,Draw1,6,5,4,2,0.0,6,0.0,True,True,False,False,False,False,True,2,7,2,7,7,0,0,0,559:1;5599:1;0559:1,559:3;5599:3;0559:1,8,6,1,0.0,0,0,2,4,0,0,0.5,1,8,4,1,0.0,35.5,66.0,3,True,False,950,155,True,True,True
Midday,Set1,Draw2,6,5,4,2,0.0,5,0.0,True,True,False,False,False,False,True,2,7,2,7,6,0,0,0,559:1;5599:1;0559:1,559:3;5599:3;0559:1,8,5,1,0.0,0,0,2,4,0,0,0.5,1,8,4,0,0.0,33.5,66.0,3,False,False,950,155,True,True,True
Midday,Set1,Draw1,3,5,4,3,0.0,6,1.0,True,True,False,False,False,False,True,2,7,2,7,3,0,3,0,559:1;0559:1;059:1,559:3;5590:2;590:2,8,6,2,0.0,0,1,2,4,0,0,0.5,1,8,0,1,0.0,33.5,66.0,1,True,False,950,155,True,True,True
Midday,Set1,Draw1,5,5,4,2,0.0,6,1.0,True,True,False,False,False,False,True,2,7,2,7,5,5,0,0,559:1;5599:1;05599:1,559:3;5599:3;55990:2,8,6,1,0.0,0,1,2,4,0,0,0.5,1,8,1,1,0.0,33.5,66.0,2,True,False,950,155,True,True,True
Midday,Set1,Draw1,4,5,4,2,0.0,6,1.0,True,True,False,False,False,False,True,2,7,2,7,3,3,0,0,559:1;0559:1;059:1,559:3;5590:2;590:2,8,6,1,0.0,0,1,2,4,0,0,0.5,1,8,0,1,0.0,32.5,66.0,1,True,False,950,155,True,True,True
Midday,Set1,Draw1,7,5,4,2,0.0,6,0.0,True,True,False,False,False,False,True,2,7,2,7,7,0,0,0,559:1;5599:1;0559:1,559:3;5599:3;0559:1,8,6,1,0.0,0,0,2,4,0,0,0.5,1,8,1,1,0.0,32.5,66.0,2,True,False,950,155,True,True,True
Midday,Set1,Draw2,3,5,4,3,0.0,5,1.0,True,True,False,False,False,False,True,2,7,2,7,3,3,0,0,559:1;0559:1;059:1,559:3;5590:2;590:2,8,5,2,0.0,0,1,2,4,0,0,0.5,1,8,0,0,0.0,31.5,66.0,1,False,False,950,155,True,True,True
Midday,Set1,Draw1,2,5,4,2,0.0,6,1.0,True,True,False,False,False,False,True,1,7,1,7,1,0,1,0,559:1,559:3,8,6,1,0.0,0,1,2,4,0,0,0.5,1,6,0,1,0.0,30.5,66.0,1,True,False,950,155,True,True,True
Midday,Set1,Draw3,3,5,4,3,0.0,4,1.0,True,True,False,False,False,False,True,2,7,2,7,6,6,0,0,559:1;0559:1;059:1,559:3;5590:2;590:2,8,4,2,0.0,0,1,2,4,0,0,0.5,1,8,0,0,0.0,30.5,66.0,1,False,False,950,155,True,True,True
Midday,Set1,Draw4,2,5,4,2,0.0,3,1.0,True,True,False,False,False,True,True,2,7,2,7,3,0,3,0,559:1;059:1;0559:1,559:3;590:2;5590:2,8,3,1,0.0,0,1,2,4,0,1,0.5,1,8,1,0,0.0,30.5,66.0,2,False,False,950,155,True,True,True
