Set,Draw,RowType,7,6,5,4,3,2,1
Set3,Draw1,draw_data,778,894,059,221,070,620,201
Set3,Draw1,R2,55940011366,550011366,5011366,501366*,51366*,5136*,536*
Set3,Draw1,R4,55900663411,550066311,5066311,506631*,56631*,5631*,563*
Set3,Draw1,R6,66110055934,661100553,6611053,661053*,66153*,6153*,653*
Set3,Draw1,R8,00119366455,001136655,0113665,013665*,13665*,1365*,365*
Set2,Draw1,draw_data,894,059,221,070,620,201,913
Set2,Draw1,R2,559220011366,522011366,501366,51366*,5136*,536*,056*
Set2,Draw1,R4,225590066311,225066311,506631,56631*,5631*,563*,056*
Set2,Draw1,R6,661100559322,661105322,661053,66153*,6153*,653*,065*
Set2,Draw1,R8,001193662255,011366225,013665,13665*,1365*,365*,065*
Set1,Draw1,draw_data,059,221,070,620,201,913,763
Set1,Draw1,R2,52240113366,54013366,5413366*,541336*,54336**,5436**,054**
Set1,Draw1,R4,22506633411,50663341,5663341*,563341*,56334**,5634**,054**
Set1,Draw1,R6,66110533224,66105334,6615334*,615334*,65334**,6534**,054**
Set1,Draw1,R8,01133662245,01336645,1336645*,133645*,33645**,3645**,045**
Set1,Draw2,draw_data,N/A,221,070,620,201,913,763
Set1,Draw2,R2,N/A,54013386677,541338667,54133867*,5433867*,543867**,548**
Set1,Draw2,R4,N/A,50668334771,566833471,56833471*,5683347*,568347**,584**
Set1,Draw2,R6,N/A,66817705334,668175334,68175334*,6875334*,687534**,854**
Set1,Draw2,R8,N/A,77018336645,718336645,71833645*,7833645*,783645**,845**
Set1,Draw3,draw_data,N/A,N/A,070,620,201,913,763
Set1,Draw3,R2,N/A,N/A,594413388667,59441338867,5944338867*,54438867**,54488**
Set1,Draw3,R4,N/A,N/A,596688334471,59688334471,5968833447*,56883447**,58844**
Set1,Draw3,R6,N/A,N/A,668817593344,68817593344,6887593344*,68875344**,88544**
Set1,Draw3,R8,N/A,N/A,719883366445,71988336445,7988336445*,78836445**,88445**
Set1,Draw4,draw_data,N/A,N/A,N/A,620,201,913,763
Set1,Draw4,R2,N/A,N/A,N/A,5599441338867,559944338867,5594438867**,5594488**
Set1,Draw4,R4,N/A,N/A,N/A,5599688334471,559968833447,5596883447**,5598844**
Set1,Draw4,R6,N/A,N/A,N/A,6881755993344,688755993344,6887559344**,8855944**
Set1,Draw4,R8,N/A,N/A,N/A,7199883364455,799883364455,7988364455**,9884455**
Set1,Draw5,draw_data,N/A,N/A,N/A,N/A,201,913,763
Set1,Draw5,R2,N/A,N/A,N/A,N/A,5599441338867,5594438867**,5594488**
Set1,Draw5,R4,N/A,N/A,N/A,N/A,5599688334471,5596883447**,5598844**
Set1,Draw5,R6,N/A,N/A,N/A,N/A,6881755993344,6887559344**,8855944**
Set1,Draw5,R8,N/A,N/A,N/A,N/A,7199883364455,7988364455**,9884455**
Set1,Draw6,draw_data,N/A,N/A,N/A,N/A,N/A,913,763
Set1,Draw6,R2,N/A,N/A,N/A,N/A,N/A,55944388677,55944887*
Set1,Draw6,R4,N/A,N/A,N/A,N/A,N/A,55968834477,55988447*
Set1,Draw6,R6,N/A,N/A,N/A,N/A,N/A,68877559344,88755944*
Set1,Draw6,R8,N/A,N/A,N/A,N/A,N/A,77988364455,79884455*
Set1,Draw7,draw_data,N/A,N/A,N/A,N/A,N/A,N/A,763
Set1,Draw7,R2,N/A,N/A,N/A,N/A,N/A,N/A,55924408867
Set1,Draw7,R4,N/A,N/A,N/A,N/A,N/A,N/A,25590688447
Set1,Draw7,R6,N/A,N/A,N/A,N/A,N/A,N/A,68870559244
Set1,Draw7,R8,N/A,N/A,N/A,N/A,N/A,N/A,70988624455
