section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,366,18.0,70.0,23.5,1,6,0,False,4,8,6,0,0,15,21,21,straight|cov1|hp_repeat6|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain6;straight|cov1|hp_repeat5|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain6,draw_chain6|col1x6|hot1x4|hot2x8|vstrx15|dblmirrorx21
Combined,668,18.0,65.5,26.5,1,6,0,False,4,8,6,0,0,0,21,21,boxed|cov3|hp_repeat6|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6;boxed|cov3|hp_repeat5|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain6,draw_chain6|col1x6|hot1x4|hot2x8|dblmirrorx21
Combined,368,23.0,64.5,27.5,2,6,0,False,6,11,6,0,0,0,0,28,boxed|cov3|hp_repeat6|mirror|hot2|perm3|hidden3v|set_chain2|draw_chain6;boxed|cov3|hp_repeat6|mirror|hot2|perm3|hidden3v|set_chain2|draw_chain6,set_chain2|draw_chain6|col1x6|hot1x6|hot2x11
Combined,566,6.0,57.0,19.5,1,5,0,False,4,8,5,0,0,8,12,12,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|double_mirror|draw_chain5;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x4|hot2x8|vstrx8|dblmirrorx12
Combined,066,6.0,56.5,21.5,1,5,0,False,2,6,5,0,0,12,15,15,straight|cov1|hp_repeat5|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5;straight|cov1|hp_repeat4|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x2|hot2x6|vstrx12|dblmirrorx15
Combined,556,2.0,55.0,18.5,2,5,0,False,8,6,1,0,0,5,17,17,straight|cov1|hp_repeat7|hot1|hidden3v|double_mirror|vtrac_straight|set_chain2;boxed|cov2|hp_repeat7|hot1|perm2|hidden3v|double_mirror|set_chain2,set_chain2|draw_chain5|col1x1|hot1x8|hot2x6|vstrx5|dblmirrorx17
Combined,3668,23.0,53.0,25.5,1,5,0,False,4,8,5,0,0,0,0,20,boxed|cov3|hp_repeat6|mirror|hot2|perm3|hidden3v|draw_chain5;boxed|cov3|hp_repeat5|mirror|hot2|perm3|hidden3v|draw_chain5,draw_chain5|col1x5|hot1x4|hot2x8
Combined,355,4.0,51.0,22.0,2,4,0,False,4,5,0,0,0,8,14,14,straight|cov2|hp_repeat3|vstr2|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|hot1x4|hot2x5|vstrx8|dblmirrorx14
Combined,3566,8.0,51.0,19.0,1,5,0,False,3,8,5,0,0,11,0,11,straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain5;straight|cov1|hp_repeat3|hot2|vtrac_straight|draw_chain5,draw_chain5|col1x5|hot1x3|hot2x8|vstrx11
Combined,35668,8.0,50.0,28.0,1,3,0,False,3,6,3,0,0,5,0,9,boxed|cov4|hp_repeat4|mirror|hot2|dom_last|perm4|draw_chain3;boxed|cov3|hp_repeat4|mirror|hot2|perm3|draw_chain3,draw_chain3|col1x3|hot1x3|hot2x6|vstrx5
